Charles Mingus,Versions,File Type
Drive - B,,
,,
,,
[1964],,
"4-10-1964 / Amsterdam, Holland / Concertgebouw",AUD,FLAC
"4-12-1964 / Oslo, Norway (flambay pitch fixed)",AUD,FLAC
"4-13-1964 / Stockholm, Sweden (First Concert) (flambay pitch fixed)",AUD,FLAC
"4-16-1964 / Bremen, Germany - Sendesaal ",preFM,FLAC
"4-16-1964 / Bremen, Germany (Update) (cary wolfson)",AUD,FLAC
"4-28-1964 / Liederhalle, Stuttgart  / Mozartsaal ",FM,FLAC
"4-28-1964 / Stuttgart, Germany / Liederhalle (Flambay Pitch Fixed) ",FM,FLAC
"10-31-1964 / Toronto, Ontario / Inner Voices CBC TV (flambay speed corrected)",TV,FLAC
,,
[1970],,
"10-28-1970 / Paris, France / Theatre National Populaire du Palais Du Chaillot",FM,FLAC
"11-1-1970 / Rotterdam, The Netherlands / Newport in Europe Festival",FM,FLAC
,,
[1972],,
"7-4-1972 / New York, NY / Newport Jazz Festival - Philharmonic Hall ",SBD,FLAC
7-20-1972 / At the 2nd Nice Jazz Festival,FM,FLAC
"8-14/15-1972 / London, England / Ronnie Scotts",Silver CD,FLAC
"8-19-1972 / Emmaboda, Sweden / Unknown Venue",FM,FLAC
"10-11-1972 / Boston, MA / Boston Sound Improved - WBCN Radio Broadcast (u014945)",FM,FLAC
"11-7-1972 / Stuttgart, Germany / Liederhalle",FM,FLAC
11-10-1972 / Bologna / Palazzo dello Sport,AUD,FLAC
,,
[1973],,
"1-23-1973 / Boston, MA / Jazz Workshop (WBCN-FM)",FM,FLAC
"3-12-1973 / Detroit, MI / Strata Concert Gallery (WBET Radio)",FM,FLAC
"10-3-1973 / Boston, MA / Jazz Workshop",FM,FLAC
,,
[1974],,
"7-27-1974 / Ravenna, ITaly / Rocca Brancaleone (flambay U014945) ",AUD,FLAC
"7-27-1974 / Ravenna, Italy / Rocca Brancaleone (unk)",AUD,FLAC
,,
[1975],,
"4-15-1975 / New York, NY / Village Vanguard",AUD,FLAC
"5-10-1975 / Columbia, MO / Jesse Hall",FM,FLAC
"7-24-1975 / Juan-les-Pins, France / Festival de jazz d'Antibes",FM,FLAC
,,
[1976],,
3-26-1976 / Palermo *Without First Title,SBD,FLAC
"8-26-1976 / Amsterdam, Holland / Paradiso",AUD,FLAC
,,
[1977],,
"2-4-1977 / Ann Arbor, MI / Michigan Union Ballroom (u014945)",SBD,FLAC
"3-5-1977 / New York, NY / Village Gate",AUD,FLAC
"4-3-1977 / Tumwater, WA / Tyee Motor Inn",SBD,FLAC
"4-30-1977 / Boston, MA / Morse Auditorium (Early Set) (Sony TC-56) (unk)",AUD,FLAC
"6-3-1977 / Buenos Aires, Argentina / Unknown Venue",SBD,FLAC
"7-13-1977 / Nice, France / Nice Jazz Festival",FM,FLAC
,,
[2003],,
"8-31-2003 / Willisau, Switzerland / Jazz Festival",SBD,FLAC
,,
[MISC],,
"1961-1962 Complete Birdland Broadcasts / - Symphony Sid Show - New York, NY (WADO 1280)",FM,FLAC
