311,Versions,File Type
Drive - E,,
,,
,,
[1991],,
"4-22-1991 / Omaha, NE / Omaha Earth Day Festival (unk) ",AUD,FLAC
,,
[1992],,
"2-1-1992 / Omaha, NE / Peony Park Ballroom",SBD,FLAC
,,
[1993],,
"4-5-1993 / Chicago, IL / Cabaret Metro - VHS(x) - Broadcast",PRO,FLAC
"4-23-1993 / Omaha, NE / Unknown Venue",SBD,FLAC
"9-19-1993 / Lincoln, NE / Floodfest, Sandstock & Edgefest",SBD,FLAC
"9-19-1993 / Lincoln, NE / Pinewood Bowl Amphitheatre - Floodfest '93",SBD,FLAC
"10-10-1993 / Salt Lake City, UT / Zephyr Club - ANA(x) ",SBD,FLAC
,,
[1994],,
"8-25-1994 / Richmond, VA / The Floodzone",SBD,FLAC
"8-28-1994 / Washington, DC / The Bayou (brad downen transfer)",SBD,FLAC
"8-28-1994 / Washington, DC / The Bayou (vadnais transfer)",SBD,FLAC
"10-9-1994 / Danbury, CT / Tuxedo Junction *The Kind",Silver CD,FLAC
"10-14-1994 / Danbury, CT / Tuxedo Junction *Kind",Silver CD,FLAC
"10-26-1994 / Boise, ID / Crater Club",SBD,FLAC
"10-XX-1994 / Boulder, CO / Fox Theatre (unk)",SBD,FLAC
"11-6-1994 / Boulder, CO / Fox Theater - ANA(M)",SBD,FLAC
,,
[1995],,
"5-26-1995 / Costa Mesa, CA / The Empire Ballroom (DSM6m) (unk)",AUD,FLAC
"9-18-1995 / Iowa City, IA / IMU Main Lounge - DAT(M) (CSB) (so)",AUD,FLAC
"11-19-1995 / Cincinnati, OH / Bogart's (unk) ",AUD,FLAC
,,
[1996],,
"2-8-1996 / Glen Burnie, MD / Michaels",SBD,FLAC
"5-15-1996 / Minneapolis, MN / Orpheum Theatre (unk) ",AUD,FLAC
"5-22-1996 / Baton Rouge, LA / Centroplex (unk)",AUD,FLAC
"5-26-1996 / Winston-Salem, NC / Millenium Center (unk) ",SBD,FLAC
"5-26-1996 / Winston-Salem, NC / Millenium Center (unk) ",SBD,FLAC
"5-27-1996 / Hampton, VA / Strawberry Banks",SBD,FLAC
"6-7-1996 / Omaha, NE / Mancuso Auditorium (brad downen transfer)",SBD,FLAC
"6-8-1996 / Bonner Springs, CA / Sandstone Amphitheatre - DAT(M) (unk)",AUD,FLAC
"6-15-1996 / Irvine, CA / Irvine Meadows Amphitheatre - KROQ Weenie Roast",SBD,FLAC
"6-15-1996 / Morrison, CO / Red Rocks Amphitheatre",SBD,FLAC
"6-21-1996 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC
"8-13-1996 / San Diego, CA / Choose or Lose Benefit",SBD,FLAC
"8-21-1996 / Pittsburgh, PA / Metropol (joelmahaffey) ",AUD,FLAC
"8-21-1996 / Pittsburgh, PA / Metropol (unk)",AUD,FLAC
"8-22-1996 / Rochester, NY / New York Nights (unk)",AUD,FLAC
"8-25-1996 / Washington, DC / Pavilion at Stone Ridge (unk) ",AUD,FLAC
"9-11-1996 / Philadelphia, PA / Electric Factory (downen transfer)",AUD,FLAC
"9-25-1996 / Boulder, CO / Fox Theatre",AUD,FLAC
,,
,,
[1999],,
"9-20-1999 / Nashville, TN / 328 Performance Hall (unk)",AUD,FLAC
"9-20-1999 / Nashville, TN / 328 Performance Hall (unk)",SBD,FLAC
"10-29-1999 / Birmingham, AL / Five Points Music Hall (unk)",AUD,FLAC
"11-13-1999 / Worcester, MA / The Palladium (unk)",AUD,FLAC
,,
[2000],,
"2-23-2000 / Lake Buena Vista, FL / House of Blues (unk) ",AUD,FLAC
,,
[2001],,
"7-27-2001 / Orlando, FL / Central FL Fairgrounds - Warped Tour (unk)",AUD,FLAC
,,
[2004],,
"8-1-2004 / Tampa, FL / Ford Amphitheater (Sony ECM-DS70P) (kevdogg)",AUD,FLAC
,,
[2005],,
"10-15-2005 / Los Angeles, CA / Dodger's Stadium",SBD,FLAC
,,
[2011],,
"8-6-2011 /  Live Oak, FL / Spirit of Suwanee Music Park (scotch ralston)",SBD,FLAC 24
,,
[2014],,
"7-25-2014 / Atlanta, GA / The Tabernacle (scotch ralston)",SBD,FLAC 24
,,
[2021],,
"3-11-2021 / Los Angeles, CA / 311 Live at the Hive (kind2311) ",SBD,FLAC 24
"10-31-2021 / Estes Park, CO / Stanley Hotel Concert Hall (brad downed)",SBD,FLAC
,,
[2022],,
"10-23-2022 / Chicago, IL / House of Blues (soundman31)",SBD,FLAC 24
,,
[2024],,
"7-20-2024 / Cincinnati, OH / Hard Rock Casino (unk) (brad downen)",MIX,FLAC 24
"7-21-2024 / Chicago, IL / Salt Shed (Schoeps MK22 + SBD) (brad downed)",MIX,FLAC 24
"7-21-2024 / Chicago, IL / Salt Shed Fairgrounds (AT943) (englishskylarking)",AUD,FLAC
"8-25-2024 / San Diego, CA / Cal Coast Credit Union Open Air Theatre (DPA 4081) (faninor) ",AUD,FLAC 24
,,
[2026],,
"3-1-2026 / Sacramento, CA / Channel 24 (SP-CMC-4U) (vibrioidxire) ",AUD,FLAC 24
