A Perfect Circle,Versions,File Type,
Drive - B,,,
,,,
,,,
[1999],,,
"9-2-1999 / Los Angeles, CA / Key Club - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"10-9-1999 / Indio, CA / Empire Polo Fields (Coachella '99) (CSB) (catalystx)",AUD,FLAC,
"10-9-1999 / Indio, CA / Empire Polo Fields (Coachella '99) (CSB) (ed)",AUD,FLAC,
"10-17-1999 / Tucson, AZ / The Rock - ANA(M)",AUD,FLAC,
"10-18-1999 / Mesa, AZ / Nile Theatre (CSB) (unk)",AUD,FLAC,
"10-18-1999 / Mesa, AZ / Nile Theatre (unk)",AUD,FLAC,
"10-21-1999 / Santa Ana, CA / Galaxy Theater - MD(M) (CSB) (dpodeath)",AUD,FLAC,
"10-21-1999 / Santa Ana, CA / Galaxy Theater - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"10-21-1999 / Santa Ana, CA / Galaxy Theater (unk)",AUD,FLAC,
"10-22-1999 / West Hollywood, CA / The Troubadour - MD(M) (CSB) (dpodeath)",AUD,FLAC,
"10-22-1999 / West Hollywood, CA / The Troubadour - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"10-22-1999 / West Hollywood, CA / The Troubadour - DAT(M) (CSBmod) (unk)",AUD,FLAC,
"10-22-1999 / West Hollywood, CA / The Troubadour (unk)",AUD,FLAC,
"10-24-1999 / Ventura, CA / Ventura Theater - MD(M) (CSB) (dpodeath)",AUD,FLAC,
"10-27-1999 / San Francisco, CA / The Warfield Theatre - MD(M) (unk)",AUD,FLAC,
"10-30-1999 / Fullerton, CA / Fullerton Club - ANA(M) (ECM-909) (unk)",AUD,FLAC,
"11-13-1999 / Scottsdale, AZ / Chauncey's - CD(1) (CSB) (unk)",AUD,FLAC,
,,,
[2000],,,
"4-5-2000 / Los Angeles, CA / Key Club (CSB) (cesaro)",AUD,FLAC,
"4-5-2000 / Los Angeles, CA / Key Club - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"4-12-2000 / Cleveland, OH / CSU Convocation Center (CSC) (acc123456 transfer)",AUD,FLAC,
"4-14-2000 / Detroit, MI / Palace at Auburn Hills - ANA(M) (Sony Recorder) (unk)",AUD,FLAC,
"4-15-2000 / Columbus, OH / Schottenstein Center (CSC) (unk)",AUD,FLAC,
"4-17-2000 / Minneapolis, MN / Target Center (CSC) (unk)",AUD,FLAC,
"4-18-2000 / Milwaukee, WI / US Cellular Center (AT933s) (unk)",AUD,FLAC,
"4-20-2000 / Indianapolis, IN / Conseco Fieldhouse (CSC) (unk)",AUD,FLAC,
"4-20-2000 / Indianapolis, IN / Conseco Fieldhouse (unk)",AUD,FLAC,
