Alanis Morissette,Versions,File Type
Drive - C,,
,,
,,
[1995],,
XX-XX-1995 / *Hard to Swallow (KTS 515),Silver CD,FLAC
"7-18-1995 / Seattle, WA / Weathered Wall *Erotica (PD 080)",Silver CD,FLAC
"7-24-1995 / Minneapolis, MN / Fine Line Music Cafe",FM,FLAC
"7-24-1995 / Minneapolis, MN / Fine Line Music Cafe *Going North (Moonraker 041)",Silver CD,FLAC
"9-17-1995 / Hollywood, CA / Rockin' the Ford",Silver CD,FLAC
"9-28-1995 / London, UK / Subterania *The Girl with the Thorn in Her Side",Silver CD,FLAC
"10-13-1995 / Baden Baden, Germany / New Pop Festival",FM,FLAC
"10-17-1995 / Amsterdam, Holland / Melkweg *Miss Thing",Silver CD,FLAC
,,
[1996],,
XX-XX-1996 / *You Can Kiss It (KTS 591),Silver CD,SHN
"1-4-1996 / Irvine, CA / UCI Crawford Hall - ANA(M)",SBD,FLAC
"2-7-1996 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC
"2-8-1996 / New York, NY / Roseland Ballroom",SBD,FLAC
"2-13-1996 / Troy, NY / RPI Fieldhouse (Aiwa Walkman w/ clip on mic) (firemt)",AUD,FLAC
"4-1-1996 / Munich, Germany / Alabamahalle",SBD,FLAC
"4-1-1996 / Munchen, Germany / Alabamahalle *Eyes Of A Child (Oxygen OXY 069)",Silver CD,FLAC
"4-4-1996 / Ludwigsburg, Germany / Forum Am Schlosspark - ANAM)",SBD,FLAC
"6-29-1996 / London, UK / Hyde Park - Hyde 'N' Chic",Silver CD,FLAC
"7-13-1996 / Dublin, Ireland / The Point *The Dublin Point",Silver CD,FLAC
"7-16-1996 / Vienne, France / Vienne Antique - ANA(M) (Sony TCS 430) (zuma 66)",AUD,FLAC
"8-17-1996 / Wantagh, NY / Jones Beach - ANA(M) (Sony WM-D3) (ken g.) ",AUD,FLAC
"8-20-1996 / Hartford, CT / Meadows Music Center (Aiwa Walkman w/ clip on mic) (firemt)",AUD,FLAC
"10-3-1996 / New Orleans, LA / Keifer Lake Front Stadium",SBD,FLAC
,,
[1997],,
"10-18-1997 / Mountain View, CA / Bridge School Benefit (unk)",AUD,FLAC
"10-19-1997 / Mountain View, CA / Bridge School Benefit (unk)",AUD,FLAC
,,
[1998],,
"10-14-1998 / Hollywood, CA / Hollywood Palladium - ANA(M) (unk)",AUD,FLAC
"10-21-1998 / Boston, MA / Avalon  (Aiwa Walkman w/ clip on mic) (unk)",AUD,FLAC
"10-25-1998 / New York, NY / Roseland Ballroom",FM,FLAC
"11-1-1998 / Toronto, Canada / Much Music Intimate and Interactive (unk) ",SBD,FLAC
"11-9-1998 / Paris, France / Forum des Halles (plg)",FM,FLAC
"12-10-1998 / Paris, France / Palais Omnisports de Paris-Bercy (unk)",AUD,FLAC
,,
[1999],,
"3-2-1999 / Paris, France / RTL Studio - Concert D'un Soir",FM,FLAC
"4-25-1999 / Tokyo, Japan / Budokan",FM,FLAC
