Alice In Chains,Versions,File Type,
Drive - C,,,
,,,
,,,
[1986],,,
"XX-XX-1986 / Seattle, WA / London Bridge Studios *Demo #1",SBD,FLAC,
,,,
[1987],,,
"XX-XX-1987 / Seattle, WA / London Bridge Studios",SBD,,
"5-1-1987 / Tacoma, WA / Tacoma Little Theatre - ANA(x) (iron_gland)",AUD,SHN,
,,,
[1989],,,
"7-15-1989 / Bremerton, WA / Natasha's - VHS(x)",AUD,DVD,
"8-7-1989 / Seattle, WA / Mural Amphitheatre (nernazf dvd productions)",AUD,DVD,
"8-22-1989 / Seattle, WA / The Vogue",AUD,DVD,
"10-14-1989 / Tacoma, WA / Legends - VHS(1) (unk)",AUD,DVD,
"12-27-1989 / Concrete, WA / The Stone Pub *We Die Young (Primadonna PD119)",Silver CD,FLAC,
,,,
[1990],,,
"2-9-1990 / Seattle, WA - *Motorized",Silver CD,FLAC,
"8-21-1990 / Seattle, WA / Off-Ramp Cafe",AUD,DVD,
"9-2-1990 / Seattle, WA / Seattle Center / Bumbershoot Festival *Sea of Love",Silver CD,SHN,
"9-2-1990 / Seattle, WA /  Seattle Center - Bumbershoot Festival - VHS(x)",AUD,DVD,
"9-15-1990 / Los Angeles, CA / Sheraton La Reina *Happier Than Snot",FM,FLAC,
"9-15-1990 / Los Angeles, CA / Sheraton La Reina *Sunshine",Silver CD,FLAC,
9-26-1990 / Roseville / The Ritz (unk),AUD,FLAC,
"10-27-1990 / New York, NY / Limelight (Aiwa CM30a) (lance)",AUD,FLAC,
"11-5-1990 / Dallas, TX / The Marquee Club *We Die Young (PD119)",Silver CD,FLAC,
"12-15-1990 / Berkeley, CA / Berkeley Community Theatre - ANA(2) (unk)",AUD,FLAC,
"12-22-1990 / Seattle, WA / The Moore Theater",DVD Audio,FLAC,
"12-22-1990 / Seattle, WA / The Moore Theater *2 For 1 (digital underground)", ,DVD,
,,,
[1991],,,
"1-XX-1991 / Dallas, TX / Dallas Amphitheater *Alice in Wonderland (Transatlantic Records)",Silver CD,FLAC,
"2-2-1991 / Bremerton, WA / Kitsap Pavilion - ANA(1) (UM)",AUD,FLAC,
"2-11-1991 / Los Angeles, CA / Club with No Name",AUD,DVD,
"2-15-1991 / San Francisco, CA / Emo's - ANA(x)",SBD,FLAC,
"3-13-1991 / Hannover, Germany / Music Hall",SBD,SHN,
"3-16-1991 / Saarbruken, Germany / Sporthalle (unk) (koondog)",AUD,FLAC,
"3-16-1991 / Saarbruken, Germany / Sporthalle (unk)",AUD,FLAC,
"3-21-1991 / Paris, France / Le Zenith - ANA(x) (unk)",AUD,FLAC,
