Aphex Twin,Versions,File Type
Drive - C,,
,,
,,
[1993],,
4-9-1993 / Sheffield / Hallam University (Sound City BBC),FM,FLAC
,,
[1996],,
"7-13-1996 / Kristiansand, Norway / Quart Festival",FM,FLAC
,,
[1997],,
"1-25-1997 / Melbourne, AUS / Flemington Racecourse - Big Day Out",SBD,FLAC
"1-27-1997 / Sydney, AUS / Sydney Showground - Big Day Out",SBD,FLAC
"6-29-1997 / Roskilde, Denmark / Roskilde Festival",FM,FLAC
"7-13-1997 / Kristiansand, Norway / Odderoya - ANA(1)",FM,FLAC
"9-17-1997 / Denver, CO / Ogden Theater (unk)",AUD,FLAC
"9-20-1997 / Running Springs, CA / Organic Underworld - ANA(M) (unk)",AUD,FLAC
,,
[2002],,
"3-16-2002 / Los Angeles, CA / Royce Hall, UCLA - Large Sports Hall (Sonics D8 + CSB) (unk)",MIX,FLAC
,,
[2005],,
4-8-2005 / Mayrhofen / Snowbombing,FM,FLAC
,,
[2008],,
"4-25-2008 / Indio, CA / Coachella Festival (RDJ - CSBs) (unk)",AUD,FLAC
,,
[2009],,
"8-7-2009 / Tokyo, Japan / Summer Sonic Festival (unk)",AUD,FLAC
,,
[2016],,
"3-2-2016 / Royce Hall, UCLA / Large Sports Hall",AUD,FLAC
"12-17-2016 / Houston, TX / Barbara Jordan Post Office (unk)",Vinyl,FLAC
,,
[2019],,
"4-13-2019 / Indio, CA / Coachella Festival - Mojave Tent (SP-CMC-8) (unk)",AUD,FLAC
"4-20-2019 / Indio, CA / Coachella Festival - Mojave Tent (SP-CMC-8)",AUD,FLAC 24
"9-15-2019 / London, UK / Printworks - Red Bull Music Festival",WEB,TS
,,
[MISC],,
Analogue Bubblebath 2,,FLAC
XX-XX-1995 / Analogue Bubblebath 5,,FLAC
Melodies From Mars (Unreleased Album - 1995),,FLAC
Hangable Auto Bulb,,FLAC
Hangable Auto Bulb 2,,FLAC
Peel Sessions,,FLAC
Unreleased Live Tracks (2016-2019),,FLAC
Aphex Twin - All User18081971 Soundcloud Tracks,,MP3 + FLAC
