Beastie Boys,Versions,File Type
Drive - D,,
,,
,,
[1985],,
"5-21-1985 / St. Paul, MN / St. Paul Civic Center - ANA(1) (unk)",AUD,FLAC
,,
[1986],,
"XX-XX-1986 / New York, NY / Original Ill Demos (Blue Moon Records)",Silver CD,FLAC
XX-XX-1986 / I'm Down (previously unreleased track),,FLAC
"4-19-1986 / Harlem, NY / The Apollo - WBLS 107.5FM",FM,FLAC
"8-9-1986 / Los Angeles, CA / Power Tools",SBD,FLAC
"12-31-1986 / New York, NY / The Ritz - ANA(x) (unk)",TV,FLAC
,,
[1987],,
XX-XX-1987 / Brooklyn Sessions (Demo Tape),,FLAC
"2-4-1987 / Cupertino, CA / Flint Center - De Anza College - ANA(x)",AUD,FLAC
"2-7-1987 / Los Angeles, CA / Hollywood Palladium - ANA(M)",AUD,FLAC
"2-7-1987 / Los Angeles, CA / Hollywood Palladium (unk)",AUD,FLAC
"2-12-1987 / Los Angeles, CA / Unknown Venue (inc)",AUD,DVD
"3-23-1987 / Cleveland, OH / Public Hall *Pass the Mic Down",AUD,FLAC
"4-1-1987 / Passaic, NJ / The Capitol Theatre",AUD,FLAC
"4-1-1987 / Passaic, NJ / The Capitol Theatre - ANA(1) (mike ziegler transfer)",AUD,FLAC
"4-6-1987 / New York, NY / WXRK-FM (K-Rock) The Howard Stern Show (notsaved)",FM,FLAC
"5-17-1987 / Hamburg, Germany / Knopf's Music Hall - ANA(x)",AUD,FLAC
"5-20-1987 / Genk, Belgium / Limburghal",AUD,FLAC
"5-21-1987 / Amsterdam, The Netherlands / De Edenhal (fredheadset)",FM,FLAC
"5-21-1987 / Amsterdam, The Netherlands / De Edenhal (frankvink)",FM,FLAC
"5-21-1987 / Amsterdam, The Netherlands / Jaap Edenhal - ANA(1) (dimitroy 2022 transfer)",FM,FLAC
"8-20-1987 / New York, NY / Madison Square Garden",AUD,FLAC
,,
[1989],,
XX-XX-1989 / Paul's Boutique Demos,,FLAC
,,
[1992],,
"3-7-1992 / Los Angeles, CA / Cal State University Northridge - Fly ID Show",FM,FLAC
"5-22-1992 / Randy's Rodeo, NJ / City Gardens Trenton State (thir13en remaster)",SBD,APE
"6-5-1992 / Denver, CO / Gothic Theatre (unk)",AUD,FLAC
"9-2-1992 / Munich, Germany / Circus Krone (unk)",AUD,FLAC
"11-24-1992 / Universal, City, CA / Universal Amphitheatre - ANA(M)",AUD,FLAC
,,
[1994],,
"4-29-1994 / Carson, CA / CSUDH Olympic Velodrome - Benefit for the Freedom of Leonard Peltier - ANA(M)",AUD,FLAC
"5-28-1994 / Washington, D.C. / The Radio Music Hall",AUD,DVD
"6-21-1994 / Amsterdam, Holland / Paradiso *Rabid",Silver CD,FLAC
"7-7-1994 / Las Vegas, NV / Silver Bowl (Lollapalooza) (Sony stereo mic) (scott tillotson)",AUD,FLAC
"7-12-1994 / St. Paul, MN / Harriet Park (Lollapalooza) (unk)",AUD,FLAC
"7-22-1994 / Noblesville, IN / Deer Creek Music Center - DAT(M) (Schoeps MK4s) (roger jones)",AUD,FLAC
"7-28-1994 / Barrie, Ontario / Molson Park (Lollapalooza) - DAT(M) (Schoeps)",AUD,FLAC 24
"8-1-1994 / Philadelphia, PA / FDR Park - (Lollapalooza)",AUD,FLAC
"8-18-1994 / New Orleans, LA / Kiefer UNO Lakefront Arena *Lollapalooza 1994",Silver CD,FLAC
"9-4-1994 / Carson, CA / Velodrome Field (Lollapalooza) - ANA(M) (unk)",AUD,FLAC
,,
[1995],,
"2-10-1995 / Hague, The Netherlands / Statenhal",FM,FLAC
"2-17-1995 / Warsaw, Poland / Coloseum",FM,FLAC
"3-4-1995 / London, UK / Brixton Academy *White Trash",Silver CD,FLAC
"5-21-1995 / Minneapolis, MN / Target Center - ANA(x)",AUD,FLAC
,,
[1996],,
"6-15-1996 / San Francisco, CA / Golden Gate Park - Polo Fields *Fight For Tibet (BLZD-148)",Silver CD,FLAC
"6-15-1996 / San Francisco, CA / Golden Gate Park - Tibetan Freedom Concert (unk) (neekrive)",AUD,FLAC
,,
[1997],,
"1-26-1997 / Sydney, Australia / Manning Bar - University of Sydney - DAT(x)",AUD,FLAC
"6-8-1997 / Randall's Island, NY / Downing Stadium - ANA(2) (Sony D8) (unk)",AUD,FLAC
,,
[1998],,
"6-20-1998 / St. Goarshausen, Germany / Loreley Festival (thir13en remaster)",SBD,FLAC
"6-20-1998 / St. Goarshausen, Germany / Loreley Festival ",SBD,FLAC
6-26-1998 / St. Gallen - Switzerland  *Beastie Beat's Live (CDX 1596425 MPH),Silver CD,FLAC
"6-27-1998 / Roskilde, Denmark / Roskilde Festival *Bone Crush (62798)",Silver CD,FLAC
"8-20-1998 / Philadelphia, PA / Corestates Center (yer mom)",SBD,FLAC
"8-29-1998 / Reading, England / Reading Festival - ANA(x) (chatts99) ",SBD,FLAC 24
,,
[1999],,
"5-3-1999 / Glasgow, Scotland / Scottish Exhibition & Conference Centre *Glasgow 99 (Wonder Boy Records #013)",FM,FLAC
"5-3-1999 / Glasgow, Scotland / Scottish Exhibition & Conference Centre",,DVD
"5-7-1999 / London, England / Wembley Arena - DAT(M) (ao)",FM,FLAC
,,
[2001],,
"10-28-2001 / New York, NY / Hammerstein Ballroom (unk)",AUD,FLAC
,,
[2004],,
"9-13-2004 / Universal City, CA / Universal Amphitheatre (SS-DSM6) (unk)",AUD,FLAC
"12-6-2004 / Manchester, UK / Manchester Evening News Arena (BBC Radio 1)",FM,FLAC
,,
[2005],,
"1-26-2005 / Sydney, Australia / Big Day Out",FM,FLAC
,,
[2007],,
"6-24-2007 / Neuhausen Ob Eck, Allemagne / Southside (Sony ECM 719) (elysium)",AUD,FLAC
7-13-2007 / Serbia / Novi Sad - Exit Fest,PRO,DVD
"7-14-2007 / St. Poelten, Austria / Nuke Festival - Sun Stage",FM,FLAC
"8-19-2007 / Los Angeles, CA / Greek Theatre (DSM6) (unk)",AUD,FLAC
"8-21-2007 / Los Angeles, CA / Wiltern Theatre (DSM6) (unk)",AUD,FLAC
,,
[2008],,
"3-7-2008 / Big Cypress Seminole Indian Reservation, FL / Langerado Music Festival - Everglades Stage (AK43s) (klowe)",AUD,FLAC
"11-1-2008 / St. Paul, MN / Roy Wilkins St. *Get Out and Vote (Modded WM-61s) (kingjman)",AUD,FLAC
,,
[2009],,
"6-10-2009 / Asheville, NC / The Orange Peel (Tascam D-100) (taylor maurer)",AUD,FLAC
"6-12-2009 / Manchester, TN / Bonnaroo Festival (CA-STC11s) (mark t)",AUD,FLAC
