Beck,Versions,File Type
Drive - B,,
,,
,,
[1986],,
"XX-XX-1986 / Los Angeles, CA / A bedroom (presumably)",,FLAC
,,
[1993],,
"7-23-1993 / Los Angeles, CA / KCRW Morning Becomes Eclectic - ANA(x)",FM,FLAC
,,
[1994],,
"1-26-1994 / Olympia, WA / KAOS Radio Stations",preFM,SHN
"3-1-1994 / Los Angeles, CA / KCRW Morning Becomes Eclectic",FM,SHN
"3-8-1994 / Los Angeles, CA / KXLU (Geffen Promo Cassette)",,FLAC
"3-30-1994 / Boston, MA / Axis - ANA(2) (unk)",AUD,SHN
"4-4-1994 / Toronto, Ontario / Downtown Streets Improv + Studio Intvw",AUD,FLAC
"4-18-1994 / San Francisco, CA / Slim's - ANA(M) (ECM-909) (tjcruz)",AUD,FLAC
"6-29-1994 / Minneapolis, MN / First Avenue",FM,SHN
"8-22-1994 / Sydney, Australia / JJJ Studios (Live at the Wireless) (remastered by thir13en)",FM,FLAC
XX-XX-1994 / Australia / The Andrew Denton Show,FM,SHN
"9-6-1994 / Tokyo, Japan / Liquid Room",AUD,SHN
"10-24-1994 / Cambridge, MA / Middle East",SBD,SHN
"10-25-1994 / Providence, RI / Lupo's Heartbreak Hotel (Mini Cassette) (rob coli)",AUD,FLAC
"10-28-1994 / New Haven, CT / Toads Place *Suicidal Jerk",Silver CD,FLAC
"11-5-1994 / Madrid, Spain / The Revolver",FM,SHN
"12-1-1994 / Rennes, France / Transmusicales",FM,SHN
"12-4-1994 / Melkweg, Amsterdam / Hijacked Flavors",FM,FLAC
"12-4-1994 / Melkweg, Amsterdam / Hijacked Flavors (New Lineage)",FM,FLAC
"12-5-1994 / Ghent, Belgium / Vooruit",AUD,FLAC
,,
[1995],,
"1-6-1995 / Santa Monica, CA / KCRW Morning Becomes Eclectic",FM,FLAC
"6-21-1995 / San Jose, CA / Cactus Club (Lollapalooza Warm-up Shows) (unk)",AUD,FLAC
"8-14-1995 / Irvine, CA / Verizon Wireless Amphitheatre (Lollapalooza) (unk)",AUD,FLAC
"8-17-1995 / Sacramento, CA / Cal Expo Amphitheatre - Lollapalooza (unk) (neekrive)",AUD,FLAC
"8-25-1995 / Reading, England / Reading Festival (breathmint) (inc)",SBD,FLAC
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival",FM,FLAC
"10-28-1995 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (w/ Neil Young)",AUD,FLAC
"10-28-1995 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (unk) (neekrive) ",AUD,FLAC
,,
[1996],,
"1-7-1996 / Perth, Australia / Summersault Festival / Fremantle Oval (Sony Walkman) (breathmint)",AUD,FLAC
