Bjork,Versions,File Type
Drive - B,,
,,
,,
[1988],,
7-5-1988 / Zeche / Bochum (Sugarcubes) (TDK-SA90) (dimenew),AUD,FLAC
,,
[1990],,
"8-30-1990 / Reykjavik, Iceland / Hotel Borg",SBD,FLAC
,,
[1993],,
XX-XX-1993 / MTV's 120 Minutes,TV,FLAC
9-9-1993 / Denmark / Aarhus,SBD,FLAC
"9-14-1993 / Manchester, UK / Manchester Academy (BBC6 Music)",FM,FLAC
"12-6-1993 / Hamburg, Germany / Grosse Freiheit 36 - DAT(M) (ao)",FM,FLAC
,,
[1994],,
"2-18-1994 / Paris, France / Elysee Montmartre (Sony WM-D3) (a.g.)",AUD,FLAC
,,
[1995],,
"8-7-1995 / Toronto, Canada / Warehouse *Beauty and the Beast (OXY 051)",Silver CD,SHN
"8-17-1995 / Toronto, Canada / *Miss World",SBD,FLAC
"9-28-1995 / Budapest, Hungary / Petofi Music Hall (Panasonic Dictaphone (RQ-L340) (unk)",AUD,FLAC
10-10-1995 / Rotterdam / Ahoy *Hyper (AR101095),Silver CD,SHN
,,
[1996],,
"3-16-1996 / Perth, Australia / Belvoir Amphitheatre - ANA(x) (unk) (anonymous)",AUD,FLAC
,,
[1997],,
"10-18-1997 / New York, NY / NBC Studios - SNL Rebroadcast HDTV",TV,TS
"11-10-1997 / Paris, France / La Mutualite (D100 w/ shotgun mic) (clogboy2005)",AUD,FLAC
,,
[1998],,
"5-21-1998 / San Francisco, CA / Warfield Theater (Schoeps MK4) (unk)",AUD,FLAC
"8-9-1998 / Benicassim, Spain / 4th International Festival of Indie Music *Ole (BB1998001)",Silver CD,SHN
,,
[1999],,
"1-29-1999 / Cambridge, England / *The Mystic of Iceland (EB-11)",Silver CD,SHN
"12-9-1999 / London, England / The Union Chapel - MD(x) (unk)",AUD,FLAC
,,
[2001],,
"5-21-2001 / New York, NY / *Bring On the Eskimoes - Loft Tour Rehearsals (Elektra 201134546)",Silver CD,FLAC
"8-20-2001 / Paris, France / Grand Rex - MD(x) (miles)",AUD,FLAC
"8-25-2001 / Paris, France / St. Chapelle (BJORK 2001)",AUD,FLAC
"9-5-2001 / New York, NY / Riverside Church (unk)",AUD,FLAC
"9-11-2001 / Stuttgart, Germany / Liederhalle Beethovensaal (unk)",AUD,SHN
"9-18-2001 / Frankfurt, Germany / Alte Oper - MD(M) (Sony ECM-TS 120) (scttrbrn)",AUD,FLAC
9-28-2001 / Amsterdam / Muziektheatre (aka Stopera) (unk) (andre niewlaat),AUD,FLAC
"10-8-2001 / Toronto, Ontario / The Hummingbird Center (CSC) (martman)",AUD,SHN
"12-5-2001 / Tokyo, Japan / Orchard Hall",FM,SHN
"12-19-2001 / Reykjavik, Iceland / Laugardagshll *Native Tongue (unk) (jochen hermann)",AUD,FLAC
,,
[2002],,
"3-4-2002 / Hamburg, Germany / Grunspan - Music Planet 2 Nite TV Show",TV,FLAC
,,
[2003],,
"6-6-2003 / Verona, Italy / Arena di Verona - DAT(x) (grey)",AUD,FLAC
"6-7-2003 / Verona, Italy / Arena di Ver",AUD,FLAC
6-11-2003 / UK Radio 1 Broadcast - Sonar Festival,FM,SHN
"6-17-2003 / Paris, France / Bercy - MD(x) (p and c777 records)",AUD,SHN
"6-23-2003 / Berlin, Germany / Treptow Arena (oggy)",SBD,FLAC
"7-12-2003 / Sopot, Poland / W-Festival 2003",TV,FLAC
"8-18-2003 / Morrison, CO / Red Rocks Amphitheatre (Sony MD) (phil)",AUD,SHN
,,
[2006],,
"1-7-2006 / Reykjavik, Iceland / Laugardalshll (Sony MD) (sophie)",AUD,FLAC
,,
[2007],,
"5-2-2007 / New York, NY / Radio City Music Hall (remaster) (DPA 4021s) (nyctaper)",AUD,FLAC
"5-5-2007 / New York, NY / United Palace Theatre (digitalman)",Webcast,FLAC
6-22-2007 / United Kingdom / Glastonbury Festival (zionpower),preFM,FLAC
"9-24-2007 / New York, NY / Madison Square Garden (DPA 4021s) (danlynch)",AUD,FLAC
"11-13-2007 / Lima, Peru / Verice del Museo de la Nacion (iRiver)  (david sanchez)",AUD,FLAC
,,
[2008],,
"1-23-2008 / Sydney, Australia / Sydney Opera House Forecourt (Soundman OKM-II) (auroboros)",AUD,FLAC
"8-10-2008 / Zaragoza, Spain / Expo  (unk)",AUD,FLAC
,,
[2009],,
"5-8-2009 / New York, NY / Houseing Works Bookstore Cafe (unk)",AUD,FLAC
,,
[2010],,
9-20-2010 / St. Paul's Cathedral - Memorial of Lee Alexander McQueen,AUD,FLAC
,,
[2011],,
"1-6-2011 / ReykjavÌk, Iceland / The Nordic House",AUD,FLAC
,,
[2015],,
"7-20-2015 / Lyon, France / Theatre Antique de Fourviere",IEM,FLAC
,,
[2022],,
"1-29-2022 / Los Angeles, CA / Shrine Auditorium (AT853s) (tj) ",AUD,FLAC
,,
[MISC],,
1980-1990 - Early and Rare (Assorted unreleased and live tracks),Silver CD,FLAC
Bjork - Violently Live (1993),Silver CD,FLAC
"Bjork - Atta Raddir - Icelandic Versions (Reykjavik, Iceland 2009)",,FLAC
