Bush,Versions,File Type
Drive - B,,
,,
,,
[1995],,
XX-XX-1995 / *Coming Down Fast,FM,FLAC
"2-10-1995 / West Hollywood, CA / The Roxy *Burning (KTS 474)",Silver CD,FLAC
"2-18-1995 / Minneapolis, MN / 7th Street Entry",AUD,FLAC
"2-19-1995 / Minneapolis, MN / 7th Street Entry (DSM6S) (unk)",AUD,FLAC
"2-28-1995 / Boston, MA / Paradise Rock Club (CM100) (unk)",AUD,FLAC
"3-3-1995 / New York, NY / Late Show with David Letterman - VHS(2) ",TV,MKV
"8-15-1995 / Toronto, Canada / Warehouse",FM,FLAC
"8-19-1995 / Boston, MA / WBCN",FM,FLAC
"9-15-1995 / San Francisco, CA / The Warfield (unk) (neekrive)",AUD,FLAC
"9-16-1995 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC
,,
[1996],,
"3-1-1996 / Toledo, OH / John F. Savage Hall (Radio Shack CTR-96) (live2cd)",AUD,FLAC
"4-26-1996 / Tacoma, WA / Tacoma Dome *The Cross",SBD,FLAC
"6-27-1996 / Roskilde, Denmark / Roskilde Festival (Backstage) - DAT(M)",SBD,FLAC
"11-18-1996 / New York, NY / Virgin Records Megastore - Times Square",FM,FLAC
"11-18-1996 / New York, NY / Virgin Records Megastore - Times Square",TV,DVD
"11-23-1996 / New York, NY / NBC Studios - SNL",TV,MPG
,,
[1997],,
"2-27-1997 / Groningen, The Netherlands / Martinihal *A Greedy Fly In Town",FM,FLAC
"2-27-1997 / Groningen, The Netherlands / Martinihal *A Greedy Fly In Town",preFM,FLAC
"2-28-1997 / Groningen, The Netherlands / Martinihal - A Greedy Fly In Town (LHJ 86348)",Silver CD,FLAC
"3-28-1997 / Memphis, TN / Mid South Coliseum",FM,FLAC
"4-12-1997 / Boston, MA / Fleetcenter (DAT)",AUD,FLAC
"4-17-1997 / Toronto, ON / Maple Leaf Gardens - DAT(M) (Sennheiser MKE-2002s) (ms) ",AUD,FLAC
"5-19-1997 / Landgraaf, The Netherlands - Pinkpop Festival - VHX(x) (wodzjar)",PRO,DVD
"6-6-1997 / Mountain View, CA / Shoreline Amphitheatre (DSM-6P) (unk)",AUD,FLAC
"7-5-1997 / Saratoga Springs, NY / Saratoga Performing Arts Center",SBD,FLAC
7-5-1997 / Saratoga Springs / Saratoga Performing Arts Center - DAT(x) (unk) (2022 update),SBD #1,FLAC
"8-16-1997 / Cologne, Germany / Butzweilerhof",PRO,DVD
"8-16-1997 / Cologne, Germany / Butzweilerhof",TV,FLAC
"8-16-1997 / Koln, Germany / Bizarre Festival (tapeworm48 transfer)",FM,FLAC
9-26-1997 / Melbourne AUS / Mercury Lounge (blackout),SBD,FLAC
,,
[1999],,
XX-XX-1999 / Westwood One (In the Zone) (#00-03),FM,FLAC
"6-25-1999 / Glastonbury, UK / Glastonbury Festival",FM,FLAC
"6-25-1999 / Pilton, UK / Worthy Farm - Glastonbury (104.1 Broadcast) - Upgrade",FM,FLAC
"7-23-1999 / Rome, NY / Griffiss Airforce Base - Woodstock - Westwood One",FM,FLAC
"12-5-1999 / Detroit, MI / Cobo Arena (unk)",AUD,FLAC
,,
[2000],,
"1-19-2000 / Tilburg, The Netherlands / 013",FM,FLAC
"2-29-2000 / London, UK / Hammersmith Palais - VHS(1) (Panasonic NV HS950) (master 8)",AMT #1,MKV
"3-8-2000 / Manchester, UK / Manchester Academy",FM,FLAC
"3-31-2000 / Providence, RI / Alumni Hall - Providence College - DAT(x) (unk)",AUD,FLAC
"4-11-2000 / Bowling Green, OH / Anderson Arena (unk)",AUD,FLAC
"5-4-2000 / Las Vegas, NV / The Joint at Hard Rock Hotel *Desert Bushes",AUD,FLAC
"5-6-2000 / Morrison, CO / Red Rocks Amphitheatre (unk)",AUD,FLAC
"7-1-2000 / Werchter, Belgium / Rock Werchter - Dutch Radio 3FM Broadcast",FM,FLAC
,,
[2002],,
"3-6-2002 / Grand Rapids, MI / The Orbit Room - MD(M) (GSALB-R700) (galen) ",AUD,FLAC
"3-8-2002 / Detroit, MI / State Theatre (unk)",AUD,FLAC
"3-14-2002 / New York, NY / Hammerstein Ballroom (unk)",AUD,FLAC
