Cake,Versions,File Type,
Drive - B,,,
,,,
,,,
[1994],,,
"5-7-1994 / Davis, CA / Whole Earth Festival (CRGP #18)",SBD,FLAC,
,,,
[1995],,,
"1-13-1995 / San Francisco, CA / Slim's (ted mattes)",SBD,FLAC,
"4-18-1995 / Atlanta, GA / Smith's Old Bar",FM,FLAC,
,,,
[1997],,,
"1-24-1997 / Los Angeles, CA / El Rey Theatre - DAT(M) (SS-DSM6) (the gambler)",AUD,FLAC,
,,,
[1998],,,
"11-3-1998 / Atlanta, GA / Synchronized Sound Studios - 99X",FM,FLAC,
,,,
[2002],,,
"6-21-2002 / Telluride, CO / Telluride Bluegrass Festival (aja097 remaster)",SBD,FLAC,
,,,
[2004],,,
"9-8-2004 / San Francisco, CA / The Great American Music Hall *A Slick Music Product",TV,DVD,
"11-24-2004 / Seattle, WA / The Moore Theater (AT853s) (basshead)",AUD,FLAC,
,,,
[2005],,,
"5-16-2005 / Landgraaf, The Netherlands / Pinkpop Festival (weeddude)",PRO,DVD,
"10-12-2005 / Bakersfield, CA / Crystal Palace (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[2008],,,
"6-6-2008 / Lawrence, KS / Wakarusa Festival (MBHO KA200N) (brian price)",AUD,FLAC,
,,,
[2009],,,
"2-20-2009 / Oakland, CA / Fox Theater (Schoeps CMC34)",AUD,FLAC,
"5-31-2009 / Washington, D.C. / 9:30 Club (CA-14s) (travelinbeat)",AUD,FLAC 24,
"7-18-2009 / Baltimore, MD / Artscape (CAFS & CA-14s) (travelinbeat)",AUD,FLAC,
"7-18-2009 / Baltimore, MD / Artscape (AKG C460Bs) (tdb)",AUD,FLAC 24,
"9-5-2009 / Turin, NY / Moe Down X (Neumann KM184)  (rob clarke)",AUD,FLAC,
,,,
[2010],,,
"4-3-2010 / Honolulu, HI / Pipeline Cafe (CA-14) (thebang)",AUD,FLAC 24,
,,,
[2011],,,
"1-20-2011 / Nashville, TN / Ryman Auditorium (Edirol R09) (unk)",AUD,FLAC,
"4-17-2011 / Glenside, PA / Keswick Theater (Schoeps MK4) (larry)",AUD,FLAC,
"6-11-2011 / Las Vegas, NV / Cosmopolitan Pool - WAV(M) (ECM-12) (luke freteluco)",AUD,FLAC,
,,,
[2012],,,
"6-2-2012 / Mountain View, CA / Shoreline Amphitheater (MK4) (unk)",AUD,FLAC,
"11-10-2012 / Melbourne, Australia / Harvest Festival (CA-14s) (roman79)",AUD,FLAC 24,
"11-12-2012 / Wangels, Germany / Ferienpark Weissenhäuser Strand",FM,FLAC,
,,,
[2013],,,
"5-31+6-1-2013 / Folsom, CA / Three Stages at Folsom Lake  College (Nugs.net) ",SBD,FLAC,Official Bootleg
,,,
[2018],,,
"5-4-2018 / Memphis, TN / Tom Lee Park - River Stage (SS-DSM-6P) (steve hagar)",AUD,FLAC,
,,,
[2023],,,
"6-20-2023 / San Diego, CA / The Rady Shell at Jacob's Park (SP-CMC-4U) (carsfan) ",AUD,FLAC,
,,,
[2024],,,
"7-9-2024 / Costa Mesa, CA / Pacific Amphitheatre (DPA 4081) (faninor) ",AUD,FLAC 24,
"10-5-2024 / Oceanside, CA / Frontwave Arena (SP-CMC-4U) (carsfan) ",AUD,FLAC,
"11-5-2024 / Las Vegas, NV / Brooklyn Bowl (AT853) (anonymous) ",AUD,FLAC 24,
,,,
[2025],,,
"4-24-2025 / Louisville, KY / Iroquois Amphitheater (Schoeps MK4) (funk it blog) ",AUD,FLAC 24,
