Candlebox,Versions,File Type
Drive - B,,
,,
,,
[1994],,
"2-5-1994 / Los Angeles, CA / Whisky a Go Go (floridian)",FM,FLAC
"7-3-1994 / Milwaukee, WI / The Civic Auditorium *Keepers of the Flame",SBD,FLAC
"7-24-1994 / San Bernardino, CA / Glen Helen Blockbuster Pavilion (SS-DSM-6P) (steve hagar)",AUD,FLAC
"8-12-1994 / Saugerties, NY / Woodstock (SS-DSM-6P) (steve hagar)",AUD,FLAC
"8-21-1994 / Miami, FL / Bicentennial Park (Sony TCM 5000EV) (floridian)",AUD,FLAC
"10-15-1994 / Denver, CO / Unknown Venue",SBD,MP3
"10-20-1994 / Davenport, LA / Palmer Auditorium",AUD,MP3
,,
[1995],,
"10-2-1995 / New York, NY / The Late Show with David Letterman - VHS(2)",TV,MKV
"10-26-1995 / St. Paul, MN / Roy Wilkins Auditorium",AUD,MP3
"11-28-1995 / Boston, MA / Unknown Venue",AUD,MP3
"11-29-1995 / Boston, MA / Unknown Venue",AUD,MP3
,,
[1996],,
"1-24-1996 / Hollywood, CA / The Palace - Westwood 1 Radio",SBD,FLAC
"5-18-1996 / Cuyahoga Falls, OH / Blossom Music Center",SBD,FLAC
,,
[1997],,
"12-31-1997 / Tempe, AZ / Tostitos Fiesta Bowl Block Party (Sony CCD-TRV318)",AUD,DVD
,,
[1998],,
"6-9-1998 / Boston, MA / Mama Kins",AUD,MP3
"6-26-1998 / Milwaukee, WI / Unknown Venue",AUD,MP3
"7-21-1998 / Tempe, AZ / Unknown Venue",,DVD
"9-2-1998 / Oxford, MS / Unknown Venue (unk)",AUD,MP3
,,
[1999],,
"3-24-1999 / Atlanta, GA / The Masquerade (unk) (live showz)",AUD,FLAC
,,
[2006],,
"5-27-2006 / St. Louis, MO / Rib America Festival",SBD,FLAC
"7-1-2006 / Rock Island, IL / Daiquiri Factory",SBD,FLAC
"7-28-2006 / Hartford, CT / Webster Theatre (DPA 4060) (james bonaiuto)",AUD,FLAC 24
"8-1-2006 / New York, NY / Irving Plaza (Sony ECM-717) (ukj69)",AUD,FLAC
"8-5-2006 / Raleigh, NC / Moore Square Park *Downtown Live (ECM909) (genuine space jewel)",AUD,FLAC
"8-12-2006 / Charleston, SC / Music Farm (Octava MC012) (todd trego)",AUD,FLAC
"8-22-2006 / Atlanta, GA / Coca-Cola Roxy (ADK TL) (lee geddy)",AUD,FLAC
"9-2-2006 / Fort Worth, TX / Ridglea Theater (SC-BMC-12) (caddie)",AUD,FLAC
"9-8-2006 / Sauget, IL / Pop's (SP-BMC-2) (cptncrash76)",AUD,FLAC
"9-26-2006 / Portland, OR / Roseland Theater (AKG 463s) (jcrab66)",AUD,FLAC
,,
[2007],,
"7-27-2007 / Orlando, FL / House of Blues (ECM-717) (kevdogg)",AUD,MP3
,,
[2008],,
"7-8-2008 / Toledo, OH / Headliners (DPA 4060) (live2cd)",AUD,FLAC
"7-12-2008 / Fort Wayne, IN / Headwaters Park (DPA 4060) (charles dewey cole)",AUD,FLAC
"7-22-2008 / Hollywood, CA / Borders (DSM6) (itwthstd)",AUD,FLAC
"8-22-2008 / Orlando, FL / House of Blues (ECM-717) (kevdogg)",AUD,FLAC
"11-29-2008 / Detroit, MI / Blondies (DPA 4060) (charles dewey cole)",AUD,FLAC
,,
[2009],,
"3-20-2009 / Seattle, WA / Neumos (SP-CMC4) (kris.)",AUD,FLAC
"6-6-2009 / New Haven, CT / Toad's Place (DPA 4022) (james bonaiuto)",AUD,FLAC
"6-20-2009 / New Haven, CT / Toad's Place (DPA 4022) (james bonaiuto)",AUD,FLAC 24
"7-15-2009 / South Bend, IN / Club Fever (DPA 4060) (charles dewey cole)",AUD,FLAC
"9-3-2009 / Cleveland, OH / House of Blues (DPA 4060) (charles dewey cole)",AUD,FLAC
"9-4-2009 / Pontiac, MI / Phoenix Plaza Amphitheatre - Arts, Beats, and Eats Festival (DPA 4060) (charles dewey cole)",AUD,FLAC
,,
[2010],,
"5-14-2010 / Richardson, TX / Wildflower Festival - MetroPCS Stage (AT853) (david sell)",AUD,FLAC
"9-4-2010 / Chillicothe, OH / Ross County Fairgrounds (DPA 4060) (charles dewey cole)",AUD,FLAC
"9-5-2010 / Indianapolis, IN / Military Park (SP-CMC-2) (test for echo)",AUD,FLAC
"9-18-2010 / Maryland Heights, MO / KSHE Pig Roast - Verizon Wireless Amphitheater (Sony ECM-717) (cptncrash76)",AUD,FLAC
,,
[2011],,
"5-29-2011 / St. Louis, MO / Soldier's Memorial (Sony ECM-717) (sundeep)",AUD,FLAC
"12-4-2011 / Albuquerque, NM / Hard Rock Casino (Sony PCM-D50) (unk)",AUD,FLAC
,,
[2012],,
"2-4-2012 / Indianapolis, IN / Broad Ripple Super Fest (SP-CMC-2) (tst4eko)",AUD,FLAC
"4-13-2012 / Charlotte, NC / The Fillmore (unk) (omaha vike)",IEM,FLAC
"5-19-2012 / Mount Clemens, MI / Emerald Theater (CA-14) (live2cd)",AUD,FLAC 24
"5-23-2012 / Cincinnati, OH / Bogart's (CA-14) (live2cd)",AUD,FLAC 24
"8-18-2012 / Sioux Falls, SD / Falls Park (CSB) (alzeppelin)",AUD,FLAC
"9-8-2012 / Bridgeview, IL - Toyota Park (HEB DPA 4060) (live2cd)",AUD,FLAC 24
,,
[2013],,
"1-17-2013 / Columbus, OH / Hollywood Casino (charles dewey cole)",AUD,FLAC 24
"1-18-2013 / Chicago, IL / The Cubby Bear (CSB) (auger3d)",AUD,FLAC 24
"2-5-2013 / Indianapolis, IN / The Vouge Theater (SP-CMC-2) (tst4eko)",AUD,FLAC
"2-8-2013 / Detroit, MI / St. Andrews Hall (HEB DPA4060) (live2cd)",AUD,FLAC 24
"2-14-2013 / Rockford, IL / District Bar and Grill (CA-14) (live2cd)",AUD,FLAC 24
"4-27-2013 / Leesburg, FL / City Hall - Bikefest  (Sony ECM-DS70P)",AUD,FLAC
"6-11-2013 / Dayton, OH / McGuffy's House of Rock (HEB DPA 4060) (live2cd)",AUD,FLAC
"6-18-2013 / Bloomington, IL / The Castle Theater (KAM MC3) (dan olker)",AUD,FLAC 24
,,
[2014],,
"11-14-2014 / Taylor, MI / All Around Bar (Kevin Martin & Adam Curry) (HEB DPA 4060) (charles dewey cole)",AUD,FLAC
"11-15-2014 / Toledo, OH / Hollywood Casino (Kevin Martin & Adam Curry) (CA-14s) (charles dewey cole)",AUD,FLAC
,,
[2015],,
"5-8-2015 / Columbus, OH / A&R Music Bar (Kevin Martin & Adam Curry) (DPA 4060) (charles dewey cole)",AUD,FLAC 24
"11-7-2015 / Cleveland, OH. / Flats East Bank (CSB) (charles dewey cole)",AUD,FLAC 24
"12-29-2015 / Mount Pocono, PA / Mt. Airy Casino - Gypsies (unk) (livesoldier1)",AUD,FLAC
,,
[2016],,
"5-21-2016 / Warrendale, PA / Jergel's (AT853s) (charles dewey cole)",AUD,FLAC 24
,,
[2017],,
"3-16-2017 / Cleveland, OH / Music Box Supper Club (CA-14) (charles dewey cole)",AUD,FLAC
"3-25-2017 / Fall River, MA / Narrows Center for the Arts (SP-CMC-8C) (farve4)",AUD,FLAC
,,
[2018],,
"1-26-2018 / Detroit, MI / St. Andrews Hall (HEB DPA 4060) (charles dewey cole)",AUD,FLAC 24
"1-27-2018 / Northfield Park, OH / Hard Rock Rocksino (CA-14s) (charles dewey cole)",AUD,FLAC 24
"6-29-2018 / Boardman, OH / Southern Park Mall (HEB DPA 4060) (charles dewey cole)",AUD,FLAC
"6-30-2018 / Washington, PA / The Meadows Racetrack and Casino (CA-14s) (charles dewey cole)",AUD,FLAC 24
"7-21-2018 / Seattle, WA / Paramount Theater (AKG CK63) (john hermsen) ",AUD,FLAC 24
"7-21-2018 / Seattle, WA / Paramount Theatre (AT853s) (charles dewey cole)",AUD,FLAC 24
"7-22-2018 / Seattle, WA / Paramount Theatre (AT853s) (charles dewey cole)",AUD,FLAC 24
"10-18-2018 / Peoria, IL / The Monarch (CA-11c) (cptncrash76)",AUD,FLAC
"10-20-2018 / Versailles, OH / BMI Indoor Speedway (CA-14s) (charles dewey cole)",AUD,FLAC 24
,,
[2019],,
"2-10-2019 / St. Louis, MO / The Pageant (AKG P170) (cptncrash76)",AUD,FLAC
"2-16-2019 / Detroit, MI / The Fillmore (AT853) (charles dewey cole) ",AUD,FLAC 24
"2-17-2019 / Northfield Park, OH / Hard Rock Casino (CA-14s) (charles dewey cole)",AUD,FLAC 24
"7-11-2019 / Columbus, OH / The Bluestone (CA-14s) (charles dewey cole)",AUD,FLAC 24
"7-12-2019 / Austintown, OH / Hollywood Gaming at Mahoning Valley Race Course (CA-14) (charles dewey cole)",AUD,FLAC 24
"11-13-2019 / Milwaukee, WI / Turner Ballroom (DPA 4011) (analog4011)",AUD,FLAC
,,
[2021],,
"1-30-2021 / Salt Lake City, UT / Mac's Place - Stageit Webstream (charles dewey cole)",WEB,FLAC 24
