Chick Corea,Versions,File Type
Drive - D,,
,,
,,
[1978],,
"2-15-1978 / Tokyo, Japan / Budokan",FM,FLAC
"6-29-1978 / Vienna, VA - Wolftrap Park",FM,FLAC
"11-15-1978 / Los Angeles, CA / Dorothy Chandler Pavilion (Early Show) (AKG 451) (mike millard)",AUD,FLAC
"11-15-1978 / Los Angeles, CA / Dorothy Chandler Pavilion (Late Show) (AKG 451) (mike millard)",AUD,FLAC
,,
[1979],,
"7-13-1979 / Montreux, Switzerland / Montreux Jazz Festival ",AUD,FLAC
"7-27-1979 / Tokyo, Japan / Denen Colosseum",FM,FLAC
,,
[1980],,
"3-16-1980 / Costa Mesa, CA / Orange Coast College (Nakamichi CM-300) (robert collins)",AUD,FLAC
"6-22-1980 / Los Angeles, CA / Hollywood Bowl (with Dizzy Gillespie) (Nakamichi CM-300) (robert collins)",AUD,FLAC
"9-18-1980 / Buenos Aires, Argentina / Unknown Venue (unk) (mr_mags)",AUD,FLAC
,,
[1981],,
"7-23-1981 / Tokyo, Japan / Denen Colosseum",SBD,FLAC
"12-31-1981 / Los Angeles, CA / KPBS New Year's Party (mr_mags)",FM,FLAC
,,
[1982],,
"12-11-1982 / New York, NY / Village Vanguard (Early Show) (WBGO-FM)",FM,FLAC
"12-11-1982 / New York, NY / Village Vanguard (Late Show) (WBGO-FM)",FM,FLAC
,,
[1983],,
"10-21-1983 / Hamburg, Germany / Staatsoper (with Gary Burton)",FM,FLAC
,,
[1984],,
"7-7-1984 / Wiesen, Austria / Jazz Summit (Miles Davis Band with Chick Corea)",FM,FLAC
,,
[1985],,
"7-5-1985 / Montreal, Quebec / Montreal Jazz Festival",FM,FLAC
,,
[1986],,
"6-XX-1986 / Montreal, Quebec / Montreal Jazzfest",FM,FLAC
,,
[1987],,
"6-1-1987 / Chicago, IL / Auditorium Theater (Aiwa CM-30) (chicagoblues)",AUD,FLAC
"7-XX-1987 / Munich, Germany / Munchner Klaviersommer",FM,FLAC
"10-1-1987 / Belgrad, Yugoslavia / Unknown Venue (Jazz Door #1265)",SBD,FLAC
"10-21-1987 / Hamburg, Germany / Fabrik",FM,FLAC
"11-7-1987 / Berlin, Germany / Philharmonie - Jazzfest Berlin 1987 (Astra Sat)",FM,FLAC
,,
[1988],,
"9-24-1988 / Wilmington, DE / Unknown Venue (unk) (mr_mags)",AUD,FLAC
,,
[1989],,
"6-19-1989 / Tokyo, Japan / Showa Women's University (mr_mags)",FM,FLAC
"6-29-1989 / Vienna, VA / Wolftrap Park",FM,FLAC
"8-30-1989 / Roccella Jonica, Italy / Roccella Jonica Jazz Festival (mr_mags)",FM,FLAC
,,
[1990],,
"9-23-1990 / Vierson, Germany / Internationales Jazz Festival - Festhalle",FM,FLAC
"10-15-1990 / London, England / Royal Festival Hall - BBC Radio 3 (psykies)",FM,FLAC
"10-15-1990 / London, England / Royal Festival Hall - BBC Radio 3 (barkndog)",FM,FLAC
,,
[1991],,
"7-11-1991 / Vienne, France / Theatre Antique de Vienne",FM,FLAC
,,
[1992],,
"7-3-1992 / Lagano, Switzerland / Estival Jazz - Piazza Della Riforma",SBD,FLAC
"7-3-1992 / Lagano, Switzerland / Estival Jazz - Piazza Della Riforma (swissbird)",SBD,FLAC
,,
[1993],,
"3-8-1993 / London, England / Royal Festival Hall",FM,FLAC
"3-8-1993 / London, England / Royal Festival Hall (psykies)",FM,FLAC
"11-9-1993 / St. Louis, MO / Mississippi Nights (mr_mags)",SBD,FLAC
"11-11-1993 / Ames, IA / The Maintenance Shop (unk) (mr_mags)",AUD,FLAC
"11-17-1993 / Boulder, CO / Fox Theater (mr_mags)",SBD,FLAC
,,
[1994],,
"4-8-1994 / Warsaw, Poland / Unknown Venue (mr_mags)",SBD,FLAC
"4-17-1994 / London, UK / Royal Festival Hall",FM,FLAC
"4-XX-1994 / Espoo, Finland / Jazzfest (barkndog)",FM,FLAC
