Counting Crows,Versions,File Type,
Drive - G,,,
,,,
,,,
[1992],,,
"2-23-1992 / San Francisco, CA / The Bottom of the Hill (remastered)",AUD,FLAC,
"5-16-1992 / San Francisco, CA / Slim's",SBD,FLAC,
"5-28-1992 / San Francisco, CA / Paradise Lounge",SBD,FLAC,
,,,
[1993],,,
"6-19-1993 / San Francisco, CA / Slim's (Nugs.net)",SBD,FLAC,Official Bootleg
"8-27-1993 / Boulder, CO / Fox Theatre (xerxes83)",SBD,FLAC,
"9-17-1993 / San Francisco, CA / Bimbo's 365 Club (unk)",AUD,FLAC,
"9-17-1993 / San Francisco, CA / Bimbo's 365 Club (unk) (cps transfer)",SBD,FLAC,
"9-29-1993 / San Francisco, CA / Billy Graham Civic Center",AUD,FLAC,
"10-2-1993 / Irvine, CA / Irvine Meadows (WW1 Broadcast)",SBD,FLAC,
"10-6-1993 / Dallas, TX / Deep Ellum - DAT(x)",AUD,FLAC,
"10-16-1993 / Philadelphia, PA / World Cafe WXPN (simon)",FM,FLAC,
"10-17-1993 / New York, NY / WXRK Iditotis Delight Radio Show - NYC 92.3",FM,FLAC,
"11-4-1993 / Chicago, IL / Metro",AUD,FLAC,
"11-12-1993 / New York, NY / Idiot's Delight WXRK",FM,FLAC,
11-18-1993 / Washington D.C. / 9:30 Club (unk),AUD,FLAC,
11-19-1993 / Washington D.C. / The Cafe WHFS *Interview (simon),FM,FLAC,
"11-21-1993 / Charleston, WV / Mountain Stage *Part of ""Somewhere in Middle America"" Compilation (FN01)",Silver CD,FLAC,
"12-11-1993 / San Francisco, CA / Slim's - ANA(M) (ECM-909) (tjcruz)",AUD,FLAC,
"12-11-1993 / San Francisco, CA / Warfield Theatre (ossobear)",Silver CD,FLAC,
,,,
[1994],,,
"1-12-1994 / New York, NY / Wetlands - ANA(x) (brandon wagner)",SBD,FLAC,
"1-15-1994 / New York, NY / SNL Rehearsals",SBD,FLAC,
"1-16-1994 / New York, NY / WXRK *Part of ""Somewhere in Middle America"" Compilation",Silver CD,FLAC,
1-19-1994 / Washington D.C. / 9:30 Club,SBD,FLAC,
"1-20-1994 / Providence, RI / Lupo's Heartbreak Hotel (unk)",AUD,FLAC,
"1-24-1994 / Boston, MA / Pearl Street Night Club",SBD,FLAC,
"1-25-1994 / Burlington, VT / Club Metronome (unk)",AUD,FLAC,
"1-30-1994 / Asbury Park, NJ / Stony Pony (unk)",SBD,FLAC,
"2-16-1994 / Montreal, Canada / Club Soda (MKE2002) (stevemtl)",AUD,FLAC,
"2-25-1994 / Carbondale, IL / Shryock Auditorium",AUD,FLAC,
"2-25-1994 / Carbondale, IL / Shryock Auditorium",AUD,FLAC,
"2-25-1994 / Chicago, IL / The Metro",AUD,DVD,
"3-5-1994 / Denver, CO / Ogden Theater (unk)",AUD,FLAC,
"3-10-1994 / Seattle, WA / Paramount Theatre (unk)",AUD,FLAC,
"3-16-1994 / Los Angeles, CA / Whiskey A Go-Go *Suddenly Beautiful",Silver CD,FLAC,
"3-17-1994 / Los Angeles, CA / The Roxy",AUD,FLAC,
"3-18-1994 / Los Angeles, CA / The Roxy (SS-DSM6) (simon)",AUD,FLAC,
"3-31-1994 / New York, NY / Ed Sullivan Theatre *David Letterman Show",FM,FLAC,
"4-6-1994 / London, England / BBC Radio 1",FM,FLAC,
"4-12-1994 / London, England / Later with Jools",FM,M4A,
"4-13-1994 / London, England / Shepherds Bush Empire",AUD,FLAC,
"4-13-1994 / London, England / Shepherds Bush Empire",AUD,DVD,
4-14-1994 / Amsterdam / Milky Way,SBD,FLAC,
