COUNTRY (Various),,
,,
,,
Chris Stapleton,Versions,File Type
Drive - C,,
,,
,,
[2016],,
"3-13-2016 / London, UK / Country to Country Festival (C2C) BBC Radio 2",WEB ,FLAC
"6-10-2016 / Nashville, TN / CMA Festival 2016 (Edirol R-09) (unk)",AUD,FLAC
"6-11-2016 / Manchester, TN / Bonnaroo Music and Arts Festival - What Stage (DPA 4021s) (d. fries)",AUD,FLAC
"10-2-2016 / Austin, TX / Austin City Limits Music Festival ",Webcast,TS
,,
[2018],,
"9-22-2018 / Hartford, CT / Xfinity Theatre - Farm Aid 33",Webcast,TS
,,
,,
,,
,,
Darius Rucker,Versions,File Type
Drive - C,,
,,
,,
[2023],,
"6-24-2023 / Canandaigua, NY / CMAC (Sennheiser AMBEO) (thriftynomad) ",AUD,FLAC 24
,,
,,
,,
,,
Dixie Chicks,Versions,File Type
Drive - C,,
,,
,,
[1990],,
"6-21-1990 / Telluride, CO / Telluride Bluegrass Festival - Band Contest (Beyer M88s) (bob miller) ",AUD,FLAC
,,
[2000],,
"11-12-2000 / Chicago, IL / United Center (Sony MZ-R30) (unk)",AUD,FLAC
,,
,,
,,
,,
Dolly Parton,Versions,File Type
Drive - C,,
,,
,,
[2001],,
"4-28-2001 / Wilkesboro, NC / Merle Fest - DAT(M) (Nakamichi CM 700s) (unk)",AUD,FLAC
,,
[2005],,
10-29-2005 / Madison WI / Alliance Energy Center (CSC) (mark gonwa) ,AUD,FLAC
,,
,,
,,
,,
EmmyLou Harris,Versions,File Type
Drive - C,,
,,
,,
[1975],,
6-23-1975 / Unknown Venue and Location (AKG D1000E),AUD,FLAC
"6-24-1975 / Denver, CO / Ebbet's Field (cary wolfson)",SBD,FLAC
,,
[1976],,
"9-14-1976 / Roslyn, NY / My Father's Place",FM,FLAC
,,
[1979],,
"5-18-1979 / Knoxville, TN / Tennessee Theater",SBD,FLAC
"6-15-1979 / Santa Cruz, CA / The Catalyst *The Fat Fry",SBD,FLAC
,,
[1990],,
"12-4-1990 / Nashville, TN / RCA Studio B - Nashville Acoustic Christmas",FM,FLAC
,,
[2011],,
"3-17-2011 / Austin, TX / Antone's",SBD,FLAC
,,
,,
,,
,,
Eric Church,Versions,File Type
Drive - C,,
,,
,,
[2012],,
"8-19-2012 / Gilford, NH / Meadowbrook Pavilion (ECM 719) (unk)",AUD,FLAC
,,
[2014],,
"9-23-2014 / Austin, TX / Moody Theater - ACL",TV,TS
,,
[2015],,
"7-4-2015 / Austin, TX / Austin 360 Amphitheatre (Sirius XM)",FM,FLAC
"8-10-2016 / Morrison, CO / Red Rocks Amphitheatre (ECM719) (unk)",AUD,FLAC 24
,,
[2016],,
"4-29-2016 / Indio, CA - Stagecoach Festival",Webcast,TS
"8-10-2016 / Morrison, CO / Red Rocks Amphitheatre (ECM719) (unk)",AUD,FLAC 24
,,
[2017],,
"1-28-2017 / Boston, MA / TD BankNorth Garden (ECM-719) (unk)",AUD,FLAC 24
"5-20-2017 / Greensboro, NC / Greensboro Coliseum (ECM-719) (unk)",AUD,FLAC 24
,,
[2018],,
"12-8-2018 / Asheville, NC / Asheville Civic Center - Warren Haynes Christmas Jam (Schoeps CCM4Vs) (z-man)",AUD,FLAC
,,
[2019],,
"2-8-2019 / Minneapolis, MN / Target Center (SiriusXM) ",FM,FLAC 24
"2-15-2019 / Detroit, MI / Little Caesars Arena (SiriusXM) ",FM,FLAC 24
"2-22-2019 / Cincinnati, OH / U.S. Bank Arena (SiriusXM) ",FM,FLAC 24
"11-1-2019 / Manchester, NH / SNHU Arena (CA-14) (unk)",AUD,FLAC 24
"11-2-2019 / Hartford, CT / XL Center (CA-14) (unk)",AUD,FLAC 24
,,
[2021],,
"12-3-2021 / Manchester, NH / SNHU Arena (ECM719) (unk)",AUD,FLAC 24
,,
[2023],,
"7-15-2023 / Maryland Heights, MO / Hollywood Casino (ECM719) (firemt66) ",AUD,FLAC 24
"8-3-2023 / Chapel Hill, NC / Memorial Hall (Samsung 22) (firemt66) ",AUD,FLAC 24
"8-4-2023 / Raleigh, NC / Walnut Creek (ECM719) (firemt66) ",AUD,FLAC 24
"8-5-2023 / Bristow, VA / Jiffy Lube Live (ECM719) (firemt66)",AUD,FLAC
"8-24-2023 / Saratoga Springs, NY / Saratoga Performing Arts Center (ECM719) (firemt66) ",AUD,FLAC 24
"9-23-2023 / Charlotte, NC / PNC Music Pavilion (ECM719) (firemt66) ",AUD,FLAC
,,
[2025],,
"7-14-2025 / Morrison,CO / Red Rocks Amphitheatre (ECM717) (unk) ",AUD,FLAC 24
"9-19-2025 / Boston, MA / TD Banknorth Garden (Sony ECM-717) (firemt66)",AUD,FLAC 24
"9-20-2025 / Brooklyn, NY / Barclays Center (Sony ECM-717) (firemt66) ",AUD,FLAC 24
,,
[2026],,
"2-14-2026 / Albany, NY / MVP Arena (ECM717) (unk) ",AUD,FLAC 24
"4-3-2026 / Greenville, SC / Bon Secours Wellness Arena (ECM717) (unk) ",AUD,FLAC 24
"4-4-2026 / Charlotte, NC / Spectrum Center (ECM717) (unk)",AUD,FLAC 24
,,
[OFFICIAL RELEASES],,
Eric Church - Soul (2021) (24bit),,FLAC HD
Eric Church - Mr. Misunderstood (24bit),,FLAC HD
Eric Church - Heart (2021) (24bit),,FLAC HD
Eric Church - Desperate Man (2018) (24bit) ,,FLAC HD
"Eric Church - 61 Days In Church, Volume 3 (2017)",,FLAC
Eric Church - 61 Days In Church Volume 5 (2019),,FLAC
,,
,,
,,
,,
Garth Brooks,Versions,File Type
Drive - C,,
,,
,,
[1986],,
"XX-XX-1986 / Stillwater, OK / Willie's Saloon (unk)",FM,FLAC
,,
[1996],,
"4-11-1996 / Milwaukee, WI / Bradley Center (Sonic Studios) (frankmhere)",AUD,FLAC
,,
[2022],,
"4-15-2022 / Nashville, TN / Nissan Stadium (SP-OMC-8) (unk) ",AUD,FLAC
"7-23-2022 / Orchard Park, NY / Highmark Stadium (CA-11s) (heywood)",AUD,FLAC 24
,,
[2023],,
"7-23-2023 / Las Vegas, NV / The Colosseum at Caesars Palace (SP-CMC-4U) (ijwthstd)",AUD,FLAC
,,
,,
,,
,,
George Strait,Versions,File Type
Drive - C,,
,,
,,
[1980],,
"XX-XX-1980 / Houston, TX / Whiskey River",SBD,FLAC
,,
[1982],,
"3-3-1982 / New York, NY / Lone Star Cafe ",FM,FLAC
,,
[1983],,
"8-5-1983 / New York, NY /Country Sessions",FM,FLAC
,,
[1984],,
"XX-XX-1984 / Pasadena, TX / Gilley's",Vinyl,FLAC
,,
[1985],,
"1-12-1985 / Pasadena, TX / Gilley's",FM,FLAC
"9-23-1985 / Pasadena, TX / Gilley's",FM,FLAC
,,
,,
,,
,,
Jason Aldean,Versions,File Type
Drive - C,,
,,
[2024,,
"8-31-2024 / Camden, NJ / Freedom Mortgage Pavilion (Gefell M21) (nicky c)",AUD,FLAC
,,
,,
,,
,,
John Anderson,Versions,File Type
Drive - C,,
,,
,,
[1986],,
"XX-XX-1986 / Pasadena, TX / Gilley's (Radio show 86-50) (Vinyl source)",preFM,FLAC
,,
,,
,,
,,
Johnny Cash,Versions,File Type
Drive - C,,
,,
,,
[1954],,
"2-6-1954 / München, Germany / Private Acetate Made for Vivian Liberto Studio",,FLAC
,,
[1968],,
"5-10-1968 / London, UK / BBC Picadilly",Vinyl,FLAC
,,
[1972],,
"10-27-1972 / Tulsa, OK / Oral Roberts University Center",SBD,FLAC
,,
[1973],,
"9-3-1973 / Manchester, UK / Free Trade Hall",SBD,FLAC
,,
[1975],,
"9-15-1975 / Berlin, Germany / Deutschlandhalle",SBD,FLAC
,,
[1993],,
"5-(17-20)-1993 / Los Angeles, CA / Rick Rubin's Living Room Outtakes (Source 1) Studio",,FLAC
"5-(17-20)-1993 / Los Angeles, CA / Rick Rubin's Living Room Outtakes (Source 2) Studio",,FLAC
,,
[MISC],,
"1954-1958 - Memphis, TN / Sun Studios Demos & Outtakes",,FLAC
"Misc Performances - 1972, 1985-04-12, 1987-08-22, 1992-12-08 & 1992-12-09 - German TV",,DVD
,,
,,
,,
,,
,,
Kacey Musgraves,Versions,File Type
Drive - C,,
,,
,,
[2015],,
"2-21-2015 / Milwaukee, WI / Pabst Theater (Sony ICD-SX70) (unk)",AUD,FLAC
,,
[2016],,
"3-3-2016 / Milwaukee, WI / Riverside Theater (Sony ICD-SX70)",AUD,FLAC
"3-13-2016 / London, UK / Country to Country Festival ",FM,FLAC
,,
[2018],,
"3-10-2018 / London, UK / Country to Country",FM,FLAC
"6-6-2018 / Austin, TX / Austin City Limits",TV,TS
"7-29-2018 / Yuzawa, Japan / Fuji Rock Festival (indykid)",Webcast,TS
"9-22-2018 / Hartford, CT / Xfinity Theatre (indykid)",Webcast,TS
"10-15-2018 / Copenhagen, Denmark / Vega (CA-14) (unk)",AUD,FLAC
,,
[2019],,
"1-24-2019 / Washingon, D.C. / The Anthem (CA-11)  (opsopcopolis)",AUD,FLAC
"1-29-2019 / Columbus, OH / Express Live (AT853) (charles dewey cole)",AUD,FLAC
"2-10-2019 / Los Angeles, CA / 61st Annual Grammy Awards - Dolly Parton Tribute",TV,TS
"2-28-2019 / Nashville, TN / Ryman Auditorium (SP-CMC-8) (unk)",AUD,FLAC
"4-12-2019 / Indio, CA / Coachella Festival (indykid)",Webcast,TS
"5-14-2019 / Melbourne, Australia / Palais Theatre (Nokia Lumia 930) (eckythump)",AUD,FLAC
"8-4-2019 / Chicago, IL / Grant Park - Lollapalooza (indykid)",Webcast,TS
"9-6-2019 / Cleveland, OH / Jacob's Pavilion at Nautica (CA-14) (charles dewey cole)",AUD,FLAC
"10-15-2019 / New York, NY / Radio City Music Hall (CA-14) (larryrulz)",AUD,FLAC
,,
[2021],,
"10-2-2021 / New York, NY / NBC Studios - Saturday Night Live (HD Cable)",TV,TS
,,
[2022],,
"1-26-2022 / Philadelphia, PA / Wells Fargo Center (Schoeps MK41) (joe burns)",AUD,FLAC
"6-26-2022 / Pilton, UK / Glastonbury Festival (ex-cowboy) ",Webcast,MP4
"6-30-2022 / Roskilde, Denmark / Roskilde Festival (CA-14s) (unk)",AUD,FLAC
,,
[2023],,
"2-5-2023 / Los Angeles, CA / Crypto.com Arena - The Grammys ",TV,TS
,,
[2024],,
"3-2-2024 / New York, NY / NBC Studios - SNL ",TV,TS
"6-3-2024 / Austin, TX / Austin City Limits (unk)",TV,TS
"10-3-2024 / Inglewood, CA / Kia Forum (SP-CMC-4U) (ijwthstd) ",AUD,FLAC
"11-13-2024 / Columbus, OH / Schottenstein Center (SP-CMC-8) (live2cd) ",AUD,FLAC
"11-15-2024 / Brooklyn, NY / Barclays Center (CA-11) (larryrulz)",AUD,FLAC
,,
[2025],,
"11-26-2025 / Melbourne, Australia / Palais Theatre (Nokia Lumia 930) (eckythump) ",AUD,FLAC
,,
[2026],,
"4-18-2026 / Indio, CA / Coachella Festival  (1080p VP9)",PRO,MKV
,,
,,
,,
,,
,,
Lainey Wilson,Versions,File Type
Drive - C,,
,,
,,
,,
[2022],,
"11-30-2022 / Las Vegas, NV /  Fremont Street Experience (SP-CMC-4U) (unk)",AUD,FLAC
,,
[2023],,
"7-28-2023 / Uncasville,CT / Mohegan Sun Arena (CA14) (wilson)",AUD,FLAC 24
"8-24-2023 / Saratoga Springs, NY / Saratoga Performaing Arts Center (ECM-719) (unk)",AUD,FLAC 24
,,
[2024],,
"4-20-2024 / Manchester, UK / Academy (iPhone SE) (unk)",AUD,FLAC
"6-26-2024 / New York, NY / Radio City Music Hall (ECM719) (firemt66)",AUD,FLAC 24
,,
,,
"4-25-2026 / Indio, CA / Empire Polo Club - Stagecoach (Webcast)",,MKV
,,
,,
,,
,,
Luke Combs,Versions,File Type
Drive - C,,
,,
,,
[2025],,
"4-27-2025 / Indio, CA / Stagecoach Festival 2025 - Empire Polo Club (1080p) (Webcast)",WEB,TS
,,
,,
,,
,,
,,
Maren Morris,Versions,File Type
Drive - C,,
,,
,,
[2023],,
"11-6-2023 / New York, NY / Bowery Ballroom (CA-14s) (wooly143) ",AUD,FLAC 24
,,
,,
,,
,,
,,
Michelle Branch,Versions,File Type
Drive - C,,
,,
,,
[2023],,
"9-12-2023 / Nashville, TN / City Winery (SP-CMC-8) (live2cd)",AUD,FLAC
,,
,,
,,
,,
,,
Miranda Lambert,Versions,File Type
Drive - C,,
,,
,,
[2007],,
"5-5-2007 / Indio, CA / Empire Polo Field Stagecoach (AT853) (markp)",AUD,FLAC
,,
[2013],,
"8-3-2013 / Hartford, CT - Comcast Theatre (Sony Cybershot DSC-HX200V) (unk)",AUD,FLAC
,,
[2017],,
"10-5-2017 / Saskatoon, SK / SaskTel Centre (Sony ECM-CS3) (80309561) ",AUD,FLAC
,,
[2018],,
"2-10-2018 / Inglewood, CA / The Forum (AT831) (unk)",AUD,FLAC
,,
[2022],,
"10-1-2022 / Las Vegas, NV / Zappo's (SP-CMC-4U) (ijwthstd)",AUD,FLAC
"11-27-2022 / Las Vegas, NV / Zappo's Theatre (SP-CMC-4U) (unk)",AUD,FLAC
,,
[2023],,
"7-21-2023 / Las Vegas, NV / Bakkt Theatre (SP-CMC-4U) (ijwthstd)",AUD,FLAC
"7-22-2023 / Las Vegas, NV / Bakkt Theatre (SP-CMC-4U) (ijwthstd)",AUD,FLAC
,,
,,
,,
,,
,,
Randy Travis,Versions,File Type
Drive - C,,
,,
,,
[1985],,
"7-16-1986 / Hendersonville, TN / Music Village USA ",preFM,FLAC
,,
,,
,,
,,
,,
Reba McEntire,Versions,File Type
Drive - C,,
,,
,,
[1985],,
"XX-XX-1985 / Pasadena, TX / Gilley's (85-46)",preFM,FLAC
,,
,,
,,
Toby Keith,Versions,File Type
Drive - C,,
,,
,,
[2002],,
"8-17-2002 / Rosemont, IL / Allstate Arena (Sony MZ-NF610) (roy martin) ",AUD,FLAC
,,
,,
,,
Willie Nelson,Versions,File Type
Drive - C,,
,,
,,
[1975],,
"2-26-1975 / Fort Worth, TX / Panther Hall",SBD,SHN
,,
[2000],,
"6-7-2000 / Amsterdam, Holland / Paradiso Theater",Silver CD,FLAC
,,
,,
,,
Zac Brown Band,Versions,File Type
Drive - C,,
,,
,,
[2024],,
"7-10-2024 / Ottawa, ON / Lebreton Flats (iPhone 11) (palm0014) ",AUD,FLAC 24
,,
,,
,,
Various Country,Versions,File Type
Drive - C,,
,,
,,
[1987],,
"4-6-1987 / Buena Park, CA / Knotts Berry Farm on NBC - 22nd Annual Academy of Country Music Awards",TV,DVD
,,
[1992],,
"4-29-1992 / Universal City, CA / Universal Amphitheatre - 27th Annual Academy of Country Music Awards (TV-VHS)",TV,DVD
