Dave Matthews Band,Versions,File Type,
Drive - E,,,
,,,
,,,
[1989],,,
XX-XX-1989 / Mother's Night Tape,SBD,FLAC,
,,,
[1991],,,
"5-11-1991 / Charlottesville, VA / South Street Warehouse (The Pink Warehouse)",SBD,SHN,
"9-1-1991 / Charlottesville, VA / Eastern Standard",SBD,SHN,
"8-21-1991 / Charlottesville, VA / Trax",SBD,SHN,
"10-22-1991 / Charlottesville, VA / Trax",SBD,SHN,
"11-27-1991 / Charlottesville, VA / Trax",SBD,FLAC,
"12-1-1991 / New York, NY / Quad Studio Demos",SBD,FLAC,
,,,
[1992],,,
"2-13-1992 / Bridgewater, VA / Cole Hall - Bridgewater College",SBD,FLAC,
"3-24-1992 / Charlottesville, VA / Trax",SBD,FLAC,
"4-5-1992 / Charlottesville, VA / Van Riper's Music Festival",SBD,FLAC,
"4-22-1992 / Fredericksburg, VA / Mary Washington College",SBD,FLAC,
"5-2-1992 / Charlottesville, VA / Trax",SBD,FLAC,
"5-5-1992 / Charlottesville, VA / WTJU Broadcast",SBD,FLAC,
"5-6-1992 / Richmond, VA / The Floodzone",SBD,SHN,
"5-12-1992 / Charlottesville, VA / Trax",SBD,SHN,
"5-14-1992 / Charlottesville, VA / Trax",SBD,SHN,
"5-20-1992 / Richmond, VA / The Floodzone",SBD,SHN,
"5-26-1992 / Charlottesville, VA / Trax",SBD,SHN,
"6-9-1992 / Charlottesville, VA / Trax",SBD,SHN,
"6-17-1992 / Richmond, VA / Floodzone (thomas vinson)",SBD,SHN,
"6-27-1992 / Charlottesville, VA / Trax (Nak 300 Shotguns)",SBD,SHN,
"7-4-1992 / Richmond, VA / Brown's Island",AUD,SHN,
"7-8-1992 / Richmond, VA / Floodzone",SBD,SHN,
"7-21-1992 / Charlottesville, VA / Trax",SBD,SHN,
"7-28-1992 / Charlottesville, VA / Trax (DMBlive)",SBD,FLAC,Official Bootleg
"7-28-1992 / Charlottesville, VA / Trax",SBD,SHN,
"7-31-1992 / Charlottesville, VA / Trax",SBD,SHN,
"8-4-1992 / Charlottesville, VA / Trax",SBD,SHN,
"9-1-1992 / Charlottesville, VA / Trax",SBD,SHN,
"9-11-1992 / Charlottesville, VA / The DKE House - University of VA",SBD,FLAC,
"9-15-1992 / Charlottesville, VA / Trax",SBD,SHN,
"9-19-1992 / Blacksburg, VA / Phi Kappa Sigma (unk)",AUD,FLAC,
"9-29-1992 / Charlottesville, VA / Trax",SBD,SHN,
"9-30-1992 / Richmond, VA / The Floodzone (steve jones)",SBD,SHN,
"10-14-1992 / Richmond, VA / The Floodzone (steve jones)",SBD,SHN,
"10-27-1992 / Charlottesville, VA / Trax",SBD,SHN,
"10-31-1992 / Charlottesville, VA / Trax",SBD,SHN,
"11-2-1992 / Charlottesville, VA / Trax",SBD,FLAC,
"11-3-1992 / Charlottesville, VA / Trax *Election Night",Silver CD,SHN,
"11-7-1992 / Winston-Salem, NC / Ziggy's (AT825) (dan blanchat)",AUD,FLAC,
"11-11-1992 / Charlottesville, VA / Trax  (Dmix + DAT) (unk + mike vernal)",MIX,SHN,
"11-11-1992 / Charlottesville, VA / Trax",SBD,SHN,
"1992-11-11 / Charlottesville, VA / Trax - Live Trax Vol. 37",SBD,FLAC,Official Bootleg
"11-17-1992 / Charlottesville, VA / Trax",SBD,SHN,
"11-18-1992 / Richmond, VA / The Floodzone (mark lynn)",SBD,SHN,
"11-25-1992 / Charlottesville, VA / Trax",SBD,FLAC,
"12-1-1992 / Charlottesville, VA / Trax (d bland)",SBD,FLAC,
"12-2-1992 / Richmond, VA / The Floodzone",SBD,FLAC,
"12-4-1992 / Charleston, SC / Music Farm",SBD,FLAC,
"12-8-1992 / Charlottesville, VA / Trax",SBD,FLAC,
"12-9-1992 / Richmond, VA / The Floodzone",SBD,FLAC,
"12-11-1992 / Harrisonburg, VA / Joker's Pub and Restaurant",SBD,SHN,
"12-15-1992 / Charlottesville, VA / Trax (john weber)",SBD,FLAC,
"12-21-1992 / Washington, DC / The Bayou (DMBlive)",SBD,FLAC,Official Bootleg
"12-22-1992 / Charlottesville, VA / Trax (includes soundcheck)",SBD,FLAC,
"12-23-1992 / Richmond, VA / The Floodzone",SBD,FLAC,
"12-28-1992 / Norfolk, VA / Lewis's",SBD,FLAC,
"12-29-1992 / Charlottesville, VA / Trax (SBD & Shoeps MK-4V) (jake vigliotti)",MIX,FLAC,
"12-31-1992 / Richmond, VA / Kappa Sigma - Beta Beta Chapter - Fraternity House",SBD,FLAC,
"12-31-1992 / Richmond, VA / Omni Hotel",SBD,FLAC,
,,,
[1993],,,
"1-27-1993 / Richmond, VA / The Flood Zone (DMBlive)",SBD,FLAC,Official Bootleg
"2-2-1993 / Charlottesville, VA / Trax (greg mendelsohn)",SBD,FLAC,
"2-11-1993 / Chapel Hill, NC / UNC Chapel Hill - Sigma Phi Epsilon Frat House (unk)",SBD,FLAC,
"3-10-1993 / Richmond, VA / The Floodzone (Miguel Valdez Benefit)",SBD,SHN,
"3-23-1993 / Charlottesville, VA / Trax",SBD,SHN,
"4-10-1993 / Washington, D.C. / The Bayou (DMBlive)",SBD,FLAC,Official Bootleg
"4-22-1993 / Charlottesville, VA / Prism Coffeehouse (DMBlive)",SBD,FLAC,Official Bootleg
"6-13-1993 / Richmond, VA / Memphis (DMBlive) ",SBD,FLAC,Official Bootleg
"6-16-1993 / Richmond, VA / The Floodzone (mark lynn)",SBD,SHN,
"7-14-1993 / Richmond, VA / Flood Zone (unk) ",SBD,FLAC,
"7-27-1993 / Richmond, VA / The Floodzone (mark lynn)",SBD,SHN,
