Death Cab For Cutie,Versions,File Type
Drive - B,,
,,
,,
[1998],,
"11-22-1998 / Seattle, WA / Beatbox",SBD,FLAC
,,
[1999],,
"4-10-1999 / Bellingham, WA / Viking Union Main Lounge (CSB) (andy swinburnson)",AUD,FLAC
,,
[2000],,
"4-14-2000 / Seattle, WA / Crocodile Cafe (swinburnson)",SBD,MP3
"4-29-2000 / Houston, TX / Notsuoh (DSM-6P) (unk)",AUD,FLAC
"7-22-2000 / Seattle, WA / The Showbox",SBD,FLAC
"9-5-2000 / Seattle, WA / Bumberclub (CSBmod) (andy swinburnson) ",AUD,FLAC
"10-16-2000 / Ann Arbor, MI / Blind Pig (SS-DSM6s/L) (tapeworm48)",AUD,FLAC
"11-11-2000 / Seattle, WA / Crocodile Cafe (Late show)",AUD,FLAC
"11-17-2000 / Vancouver, Canada / Starfish Room",AUD,FLAC
"12-22-2000 / Seattle, WA / Showbox Theater",AUD,FLAC
,,
[2001],,
"1-19-2001 / Bellingham, WA / 5th Floor Coffeehouse (CSBmod) (swinburnson)",AUD,FLAC
"2-13-2001 / Austin, TX / Emo's (AKG 391) (wbrisett)",AUD,FLAC
"2-14-2001 / Houston, TX / Notsuoh (DSM-6P) (unk)",AUD,FLAC
"3-14-2001 / Austin, TX / KVRX Studios ",FM,FLAC
"3-15-2001 / Austin, TX / Buffalo Billiards (DSM-6S) (fogelsong)",AUD,FLAC
"3-17-2001 / Lawrence, KS / The Bottleneck (SP cards) (unk)",AUD,FLAC
"3-23-2001 / Seattle, WA / The Paradox (CSBmod) (swinsburn)",AUD,FLAC
"6-16-2001 / Seattle, WA / The Showbox ""The Photo Album Preview Show""",SBD,FLAC
"10-5-2001 / Seattle, WA / Crocodile Cafe (CSBmod) (swingburnson)",AUD,FLAC
"10-16-2001 / Omaha, NE / Sokol Underground (DSM-6S/L) (zach payne)",AUD,FLAC
"11-9-2001 / Houston, TX / Mary Jane's (DSM-6S) (fogelsong)",AUD,FLAC
"11-9-2001 / Houston, TX / Mary Jane's",SBD,FLAC
"11-10-2001 / Austin, TX / Emo's - DAT(M) (aleal5687)",SBD,FLAC
"11-10-2001 / Austin, TX / Emo's (fogelsong)",SBD,FLAC
"11-17-2001 / San Francisco, CA / Great American Music Hall - DAT(M) (CCM4) (drew) ",AUD,FLAC
"12-21-2001 / Seattle, WA / Graceland - DAT(M)",SBD,FLAC
,,
[2002],,
"1-23-2002 / London, UK / Dingwall's - DAT(M) (Marantz EM-8) (gary watson)",AUD #1,FLAC
"2-12-2002 / London, UK / Barfly @ the Monarch - DAT(M) (Marantz EM-8) (gary watson)",AUD #1,FLAC
"2-22-2002 / Seattle, WA / EMP Skychurch - DAT(M) (swinburnson)",SBD,FLAC
"2-24-2002 / Bellingham, WA / VU Multipurpose Room - DAT(M) (swingburnson)",SBD,FLAC
"2-26-2002 / San Francisco, CA / Bimbo's 365 Club - DAT(M) (DPA 4061) (jason roth)",AUD,FLAC
"3-1-2002 / Los Angeles, CA / The El Rey Theatre (jason guzman)",SBD,FLAC
"3-4-2002 / Austin, TX / Emo's - DAT(M) (Earthworks SR-77) (wbrisett)",AUD,FLAC
"3-4-2002 / Austin, TX / Emo's - DAT(M) (fogelsong)",SBD,FLAC
"3-9-2002 / Nashville, TN / Exit In",SBD,FLAC
"3-11-2002 / Carrboro, NC / Cat's Cradle _ DAT(M) (DSM-6S) (distance)",AUD,FLAC
"3-13-2002 / Philadelphia, PA / Trocadero",SBD,FLAC
"3-19-2002 / Toronto, Ontario / The Big Bop",SBD,FLAC
"3-21-2002 / Cleveland, OH / Agora Ballroom (Oktava MC012) (brian skalinder)",AUD,FLAC
"3-23-2002 / Louisville, KY / Headliner's",SBD,FLAC
"7-13-2002 / Seattle, WA / Crocodile Cafe - DAT(M) (CSBmod) (swinburnson)",AUD,FLAC
"9-1-2002 / Seattle, WA / Key Arena (unk)",AUD,FLAC
"11-13-2002 / New York, NY / Knitting Factory (DSM-6S) (unk)",AUD,FLAC
,,
[2003],,
"1-24-2003 / Austin, TX / Priviledge - DAT(M) (DSM-6S) (fogelsong)",AUD,FLAC
"3-9-2003 / West Hollywood, CA / Troubadour - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC
"3-13-2003 / Austin, TX - Mother Egan's - DAT(M) (DSM-6S) (fogelsong)",SBD,FLAC
"3-13-2003 / Austin, TX - Mother Egan's",AUD,FLAC
"3-14-2003 / Austin, TX - Emo's (unk)",SBD,FLAC
"3-14-2003 / Austin, TX / Emo's / SXSW Showcase (chris stratton)",SBD,SHN
"3-16-2003 / Toronto, Canada / The Opera House (Schoeps MK41) (fares halteh)",AUD,SHN
"10-23-2003 / New York, NY / The Museum of Television and Radio (KRCW.com) ",WEB,FLAC
"11-10-2003 / Austin, TX / Emo's (DSM-6S) (brian graves)",AUD,FLAC
,,
[2004],,
"1-31-2004 / Bellingham, WA / Viking Union Multi-purpose Room - Western WA University (Oktava MC012) (ryan olsen)",AUD,SHN
"3-26-2004 / Milwaukee, WI / The Rave (unk)",AUD,FLAC
"3-27-2004 / St. Louis, MO / Mississippi Nights (CSSC) (shane e. calhoon)",AUD,FLAC
"3-31-2004 / Cleveland, OH / Odeon (Schoeps MK41) (brian skalinder)",AUD,FLAC
"4-1-2004 / Pittsburgh, PA / Club Laga (Schoeps MK41) (brian skalinder)",AUD,FLAC
"4-1-2004 / Pittsburgh, PA / Club Laga (AKG 391s) (alex hard)",AUD,FLAC
"4-10-2004 / Boston, MA / Avalon (AT803bs) (faye cohen)",AUD,FLAC
"4-28-2004 / Austin, TX / Stubb's BBQ (DSM-6S) (brian graves)",AUD,FLAC
"5-1-2004 / Indio, CA / Coachella Festival (SP-CMC-8) (robin cunningham)",AUD,FLAC
"5-5-2004 / Portland, OR / Crystal Ballroom (Sharp MS722) (kris scheurich)",AUD,FLAC
"5-6-2004 / Seattle, WA / Showbox (AT831) (jarod watson)",AUD,FLAC
"9-28-2004 / Boston, MA / Fleet Center (ATM41a) (nate roth)",AUD,FLAC
"10-2-2004 / Toledo, OH / Toldedo Sports Arena (DPA 4022) (george wang)",AUD,FLAC
"10-5-2004 / St. Louis, MO / Fox Theatre (ATM41a) (nate roth)",AUD,FLAC
"10-6-2004 / Asheville, NC / Asheville Civic Center (DPA 4022) (george wang)",AUD,FLAC
"10-17-2004 / Pontiac, MI / Clutch Cargo's (DAB) (sullen)",AUD,FLAC
