Deftones,Versions,File Type,
Drive - A,,,
,,,
,,,
[1992],,,
"12-3-1992 / San Jose?, CA / Cactus Club (unk)",AUD,FLAC,
,,,
[1994],,,
"5-1-1994 / Davis, CA / Veterans Memorial Theater",AUD,MKV,
,,,
[1995],,,
"12-9-1995 / Minneapolis, MN / Mirage Club (Sonic Studios) (unk)",AUD,FLAC,
"12-19-1995 / San Diego, CA / Soma *Deft and Dumb",Silver CD,FLAC,
"12-20-1995 / Los Angeles, CA / The Palace - VHS(x) (unk) ",AUD,DVD,
,,,
[1996],,,
"1-12-1996 / San Jose, CA / Cactus Club",PROMO,AVI,
"2-25-1996 / Oakland, CA / Oakland Coliseum (unk)",AUD,DVD,
"3-24-1996 / Cleveland, OH / Grog Shop (CS-Omni) (def-head transfer)",AUD,FLAC,
"3-26-1996 / Cleveland, OH / Grog Shop - DAT(M) (D7-Coresound Omnis) (jlizard)",AUD,FLAC,
"4-27-1996 / Seattle, WA / DV8 - ANA(1) (unk) (steven serverin)",AUD,FLAC,
"6-14-1996 / Rochester, NY / The Water Street Music Hall (def-head transfer)",SBD,FLAC,
"6-14-1996 / Rochester, NY / The Water Street Music Hall (unk)",AUD,FLAC,
"7-27-1996 / Bowmanville, Ontario / Mosport Park",AUD,FLAC,
"8-10-1996 / Southgate, MI / Record X Change - VHS(M) (yann) ",AUD,DVD,
"8-23-1996 / Bristow, VA / Nissan Pavilion - VHS(x)",AUD,DVD,
"8-23-1996 / Bristow, VA / Nissan Pavilion (unk)",AUD,FLAC,
"8-23-1996 / Bristow, VA / Nissan Pavilion - DAT(M) (inc)",SBD,FLAC,
8-23-1996 / Bristow VA / Nissan Pavilion (SBD/AUD) (exene matrix),MIX,FLAC,
"9-11-1996 / Philadelphia, PA / Electric Factory (SS-DSM-6S) (def-head transfer)",AUD,FLAC,
"9-28-1996 / Minneapolis, MI / HHH Metrodome Parking Lot - VHS(x) (unk) ",AUD,DVD,
"10-10-1996 / Philadelphia, PA / Tower Records",,MP4,
"10-18-1996 / Richmond, VA / Twisters - VHS(3) ",AUD,DVD,
"10-21-1996 / Schaumburg, IL / Tower Records (CSB) (michael devitt)",AUD,FLAC,
"10-21-1996 / Chicago, IL / Rosemont Horizon (nashwolverine)",AUD,DVD,
"11-7-1996 / West Hollywood, CA / Tower Records - ANA(M) (unk)",AUD,FLAC,
"11-14-1996 / Houston, TX / Abyss Club",AMT,DVD,
"11-23-1996 / Rochester, NY / Harro East Ballroom (ECM-727P) (unk)",AUD,FLAC,
"11-27-1996 / Providence, RI / Club Babyhead *Keeping It Real",Silver CD,FLAC,
"12-10-1996 /  St. Louis, MO / The Galaxy - VHS(M) (deftfan)",PRO,DVD,
"12-12-1996 / Lawrence, KS / The Bottleneck",AUD,FLAC,
"12-20-1996 / San Francisco, CA / Maritime Hall - VID(M) (unk)",AUD,DVD,
,,,
[1997],,,
"5-1-1997 / Sacramento, CA / The Spot - VHS(x) (unk)",AMT,DVD,
"5-3-1997 / Sacramento, CA / The Cattle Club - VHS(2) (Sony TR-940) (unk) ",AUD,DVD,
"9-23-1997 / San Francisco, CA / Bottom of the Hill",AUD,DVD,
"10-13-1997 / Melkweg, Amsterdam - Max *Around the Max",Silver CD,FLAC,
"10-14-1997 / Paris, France / Divan du Monde (OKMIIR) (unk)",AUD,FLAC,
"10-28-1997 / Denver, CO / Ogden Theater - CDR(x) (unk)",AUD,FLAC,
"10-30-1997 / Tempe, AZ - Club Rio",AUD,DVD,
"11-1-1997 / Hollywood, CA / The Palace *High Voltage Radio",SBD,FLAC,
"11-2-1997 / Sacramento, CA / Tower Records - VHS(1) (unk)",AUD,DVD,
"11-4-1997 / Landgraaf, The Netherlands / Pinkpop Festival *Dynamo 1998",Silver CD,FLAC,
"11-22-1997 / Ft. Lauderdale, FL / Prop House (VHS Audio)",AUD,FLAC,
"11-24-1997 / Washington, D.C / Capitol Ballroom",AUD,FLAC,
"11-25-1997 / New York, NY / Irving Plaza (2 cam mix) (unk)",AUD,DVD,
"11-28-1997 / Providence, RI / Lupo's Heartbreak Hotel (VHS Mix Tape Master)",AUD,DVD,
"11-29-1997 / Asbury Park, NJ / The Stone Pony",AUD,DVD,
"12-2-1997 / Cincinnati, OH / Bogart's",AUD,FLAC,
"12-3-1997 / Cleveland, OH / The Odeon",AUD,DVD,
"12-4-1997 / Cleveland, OH / The Odeon - VHS(2)",AUD,DVD,
"12-31-1997 / Oakland, CA / Henry J. Kaiser Convention Center",AUD,DVD,
,,,
[1998],,,
"1-17-1998 / Dublin, Ireland / SFX (MD)",AUD,FLAC,
"1-20-1998 / London, UK / Astoria (M) (unk)",AUD,AVI,
"1-23-1998 / Amsterdam, Holland / Paradiso (Sony ECM909A)",AUD,FLAC,
"1-24-1998 / Rotterdam, Holland / Nighttown (Sony ECM909A)",AUD,FLAC,
"2-3-1998 / Essen, Germany / Zechecarl - DVD(M) (PRO)",PRO,DVD,
"2-19-1998 / Paris, France / Elysee Montmartre  (shynomi remaster)",AUD,FLAC,
"4-7-1998 / New Orleans, LA / House of Blues (unk)",AUD,FLAC,
"4-27-1998 / Toronto, Ontario / The Warehouse",AUD,FLAC,
"4-30-1998 / Grand Rapids, MI / Orbit Room - ANA(M)",AUD,FLAC,
"5-8-1998 /  Tempe, AZ / Hayden Square Amphitheatre - VHS(M) (unk)",AUD,DVD,
"5-23-1998 / Somerset, WI / Edgefest V - Apple River Amphitheatre *Mascara",Silver CD,FLAC,
"5-30-1998 / Eidhoven, Holland / Dynamo Open Air *Dynamo",Silver CD,FLAC,
"6-1-1998 / Laandgraft, Netherlands / Pinkpop Festival - VHS(M) (sly)",PRO,DVD,
"6-20-1998 / Irvine, CA / Irvine Meadows - KROQ Weenie Roast",preFM,FLAC,
"6-20-1998 / Irvine, CA / Irvine Amphitheatre - ANA(M) (Sony Walkman WM-D3) (ijwthstd)",AUD #1,FLAC,
"6-28-1998 / Dessel, Belgium / Graspop Festival ",FM,FLAC,
"6-29-1998 / Paris, France / Le Zenit (frank bazille)",AUD,FLAC,
"8-2-1998 / Asbury Park, NJ / Stone Pony Lot - Vans Warped Tour",SBD,FLAC,
"8-6-1998 / Orlando, FL / Central Florida Fairgrounds - Warped Tour (M) (unk)",AUD,AVI,
"8-22-1998 / Koln, Germany / Bizarre Festival + 1997-10-13 Amsterdam, Holland - Melkweg",PRO,DVD,
"8-30-1998 / Biddinghuizen, The Netherlands / Lowlands Festival",SBD #1,FLAC,
"9-2-1998 / Tokyo, Japan / On Air East - VHS(M) (TV)",TV,DVD,
"10-30-1998 / Boston, MA / The Roxy - WAAF Real Rock TV (PRO)",PRO,MPG,
"11-4-1998 / Los Angeles, CA / Hollywood Palladium - VHS(1) (Sony TR-940) (unk)",AUD,DVD,
"11-20-1998 / Asbury Park, NJ / Convention Hall (M) (unk)",AUD,AVI,
"11-21-1998 / Philadelphia, PA / The Electric Factory",AUD,FLAC,
"11-24-1998 / Montreal, QC / Metropolis (unk)",AUD,DVD,
,,,
[1999],,,
"2-6-1999 / Uniondale, NY / Nassau Veterans Memorial Coliseum *Uniondale, NY 2/6/99",AUD,FLAC,
"5-27-1999 / West Palm Beach, FL / Mars Music Amphitheatre - DAT(M) (Sony D8) (unk)",AUD,FLAC,
"6-2-1999 / Charlotte, NC / Blockbuster Pavilion",AUD,FLAC,
"6-12-1999 / Burgettstown, PA / Star Lake Ampitheatre - Ozzfest (CSC) (unk)",AUD,FLAC,
"6-14-1999 / Columbus, OH / Polaris Amphitheatre (Ozzfest) (Sony D7) (unk)",AUD,FLAC,
"7-5-1999 / Tinley Park, IL / New World Music - Ozzfest (unk)",AUD,FLAC,
"7-20-1999 / Mountain View, CA / Shoreline Amphitheatre - Ozzfest (unk)",AUD,FLAC,
"7-24-1999 / Devore, CA / Blockbuster Pavilion - ANA(M) (unk)",AUD,FLAC,
,,,
[2000],,,
"5-24-2000 / Petaluma, CA / Phoenix Theatre (M) (inc)",AUD,AVI,
"5-28-2000 / Landover, MD / HFStival FedExField",PRO,DVD,
"5-28-2000 / Landover, MD / HFStival - Fedex Field (Left Cam)",AUD,DVD,
"6-6-2000 / London, England / Brixton Academy",SBD,FLAC,
"6-8-2000 / Milan, Italy / The Alcatraz",,DVD,
"6-9-2000 / Nuremberg, Germany  Rock Im Park",PRO,DVD,
"6-15-2000 / Hultsfred, Sweden / Hultsfred Festival (z direkt)",PRO,MKV,
"6-17-2000 / Seina?joki, Finland / Provinssirock Festival",SBD,FLAC,
"6-23-2000 / Holmdel, NJ / PNC Banks Arts Center (markit aneight)",PRO,MP4,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (unk)",FM,FLAC,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 - VHS(1) (Left Cam v.1)",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 - VHS(1) (Left Cam with FM) ",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (Left Cam v.2)",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (Right Cam)",AUD,DVD,
