The Flaming Lips,Versions,File Type
Drive - D,,
,,
,,
[1984],,
"4-20-1994 / Dallas, TX / Theatre Gallery (jerry brodish)",AUD,FLAC
"4-20-1984 / Dallas, TX / Theatre Gallery (loughney remaster)",AUD,FLAC
,,
[1985],,
"8-5-1985 / San Francisco, CA / I-Beam",AUD,FLAC
"12-23-1985 / San Francisco, CA / I-Beam",AUD,FLAC
,,
[1986],,
"10-26-1986 / Raleigh, NC / Fallout Shelter",AUD,FLAC
,,
[1987],,
"3-16-1987 / London, Ontario / Key West",AUD,FLAC
"6-12-1987 / Columbia, MO / Blue Note (seethelight7)",AUD,FLAC
"7-17-1987 / Hoboken, NJ / Maxwell's",AUD,FLAC
"7-26-1987 / Washington, D.C. / Hung Jury (Nak 300 mics)",AUD,FLAC
"7-27-1987 / Columbia, SC / Rockafellas (seethelight7)",SBD,FLAC
"7-29-1987 / Chapel Hill, NC / Cat's Cradle",SBD,FLAC
,,
[1988],,
"2-8-1988 / Norman, OK / Unknown Venue (DAT Band Archive)",AUD,FLAC
"3-11-1988 / New Brunswick, NJ / Rutgers University - Cook Student Center (includes soundcheck)",AUD,FLAC
"11-6-1988 / Norman, OK / Unknown Venue (DAT Band Archive)",AUD,FLAC
"11-30-1988 / Copenhagen, Denmark / Barbue",AUD(M),FLAC
"12-3-1988 / Hanau, Germany / Ku-Ba (seethelight7)",AUD,FLAC
"12-5-1988 / Hamburg, Germany / Fabrik (seethelight7)",AUD,FLAC
"12-9-1988 / Bavaria, Germany / Circus, Gammelsdorf (seethelight7)",AUD,FLAC
,,
[1989],,
"3-22-1989 / Charlotte, NC / Pteradactyl Club",AUD,FLAC
"10-3-1989 / Ann Arbor, MI / The Blind Pig",AUD,FLAC
"10-20-1989 / Davis, CA / UC Davis Coffee House *Louder! (ECM 909)",AUD,FLAC
"10-21-1989 / Chico, CA / The Burro Room at Hey Juan's Burritos *I'm Gettin' Brain Damage, Baby! (ECM 909)",AUD,FLAC
,,
[1990],,
"12-9-1990 / Norman, OK / Subterranea *The Day Andy Gibb Died (soniclovenoize remaster)",SBD,FLAC
"12-9-1990 / Norman, OK / The Edge Club *The Day Andy Gibb Died",SBD,FLAC
,,
[1991],,
"XX-XX-1991 / Norman, OK / Unknown Venue (Wayne Coyne and Jonathan Donahue as ""Black Halos"" (jumpsuit james)",AUD,FLAC
,,
[1992],,
"4-6-1992 / New Orleans, LA / Tipitina's",AUD,FLAC
"4-17-1992 / Seattle, WA / RCKCNDY",AUD,FLAC
"10-22-1992 / Philadelphia, PA / TLA",AUD,FLAC
11-21-1992 / Peel Sessions (Recorded 10-XX-1992),FM,FLAC
"12-8-1992 / Philadelphia, PA / Trocadero (Uher Cassette Recorder)",AUD,FLAC
"12-10-1992 / Asbury Park, NJ / Fast Lane",AUD,FLAC
"12-11-2992 / Cambridge, MA / T.T. The Beat's Place - ANA(x) (unk) ",AUD,FLAC
,,
[1993],,
"6-4-1993 / Hollywood, CA / Raji's *Balming Run 7 Inch EP (Skin Graft Records)",Vinyl,FLAC
"6-4-1993 / Hollywood, CA / Raji's - ANA(x) (unk) (Source 2)",AUD,FLAC
"6-4-1993 / Hollywood, CA / Raji's - ANA(1) (unk) (Source 3)",AUD,FLAC
"6-6-1993 / Carson, CA / CSUDH Olympic Velodrome - ANA(M) (unk)",AUD,FLAC
"7-30-1993 / Harvey's Lake, PA / Bud Lite Amphitheatre",AUD,FLAC
"8-3-1993 / New York, NY / Roseland Ballroom",AUD,FLAC
"10-8-1993 / San Francisco, CA / The Kennel Club (Sony 939 - RRM edit)",AUD,FLAC
"10-8-1993 / San Francisco, CA / The Kennel Club (loughney transfer)",AUD,FLAC
"11-6-1993 / New York, NY / The Academy",AUD,FLAC
,,
[1994],,
"2-19-1994 / Chicago, IL / Thurstons",AUD,FLAC
"2-20-1994 / Chicago, IL / WKQX Studios - Sound Opinions (jumpsuit james)",FM,FLAC
4-XX-1994 / Memphis TN / Unknown Venue,?,FLAC
"5-15-1994 / Cleveland, OH / Nautica Stage (jumpsuit james)",AUD,FLAC
"7-16-1994 / Tinsley Park, IL / World Music Theatre (Lollapalooza)",SBD,FLAC
"7-20-1994 / Cleveland, OH / Riverbend Music Center (Lollapalooza) (jumpsuit james)",SBD,FLAC
"8-26-1994 / Reading, UK / Reading Festival",SBD,FLAC
"9-17-1994 / Chicago, IL / The Empty Bottle",AUD,FLAC
"10-18-1994 / Minneapolis, MN / *Sweet Jesus...It's the Lords of Love Noise",Silver CD,FLAC
"10-22-1994 / Champaign, IL / The Blind Pig",AUD,FLAC
"10-23-1994 / Champaign, IL / The Blind Pig",AUD,SHN
"11-17-1994 / Cambridge, MA / Newbury Comics ",AUD,FLAC
"11-17-1994 / Cambridge, MA / Newbury Comics (Sony WM-D6) (manofstealth) ",AUD,FLAC 24
,,
[1995],,
"3-4-1995 / Hollywood, CA / CD USA *Sweet Jesus...It's the Lords of Love Noise (TOR 16)",Silver CD,FLAC
"3-10-1995 / New York, NY / Late Show with David Letterman - VHS(2)",TV,MKV
"5-8-1995 / Portland, OR / La Luna",AUD,FLAC
"5-12-1995 / San Francisco, CA / The Warfield (teddy ballgame master)",AUD,FLAC
"5-13-1995 / San Francisco, CA / Union Square (teddy ballgame master)",AUD,FLAC
"5-13-1995 / San Francisco, CA / Union Square (jumpsuit james)",AUD,FLAC
"5-16-1995 / Ventura, CA / Ventura Theatre (jumpsuit james)",SBD,FLAC
"7-30-1995 / Cleveland, OH / Alternative Press 10th Anniversary Blow Out - Nautica Stage (jumpsuit james)",AUD,FLAC
"10-16-1995 / Rotterdam, The Nethelands / The Ahoy",FM,FLAC
"12-9-1995 / New York, NY / Irving Plaza (jumpsuit james)",AUD,FLAC
"12-11-1995 / Hoboken, NJ / Maxwell's",SBD,FLAC
"12-11-1995 / Hoboken, NJ / Maxwell's",SBD,FLAC 24
,,
[1996],,
XX-XX-1996 / FM Broadcast,FM,FLAC
"1-21-1996 / London, UK / Astoria (Sony WM-D3) - AUD(M)",AUD,FLAC
2-12-1996 / Venue and Location Unknown (Recorded for broadcast over FM),Silver CD,FLAC
"3-18-1996 / Frankfurt, Germany / Nachtleren",Silver CD,FLAC
"3-25-1996 / Cologne, Germany / Luxor (s.i.)",AUD,FLAC
"4-29-1996 / Chicago, IL / Double Door",AUD,FLAC
"4-30-1996 / Chicago, IL / Double Door (Realistic 33-1065)",AUD,FLAC
"5-4-1996 / Minneapolis, MN / First Avenue",AUD,FLAC
"5-10-1996 / Seattle, WA / Cellophane Square",AUD,FLAC
