Foo Fighters,Versions,File Type,
Drive - C,,,
,,,
,,,
[1995],,,
"XX-XX-1995 / London, UK / Brixton Academy *Brixton (KTS 518)",Silver CD,FLAC,
"1-8-1995 / Seattle, WA / Self-pollution Radio Broadcast (The Hideout) *Z100 New York Bootleg",FM,FLAC,
"3-3-1995 / Portland, OR / Satyricon - ANA(3) (unk) (brad collins transfer)",AUD #1,FLAC,
"3-3-1995 / Portland, OR / Satyricon - ANA(M) (Sony WM-D3) (geech)",AUD #2,FLAC,
"3-3-1995 / Portland, OR / Satyricon - ANA(M) (Sony WM-D3) (geech) (vibrioidxire remaster)",AUD #2,FLAC,
"3-4-1995 / Seattle, WA / Velvet Elvis Arts Lounge",AUD #1,FLAC,
"3-4-1995 / Seattle, WA / Velvet Elvis Arts Lounge",AUD #2,FLAC,
"3-4-1995 / Seattle, WA / Velvet Elvis Arts Lounge",AMT #1,MKV,
"4-12-1995 / Phoenix, AZ / Gibson's",AUD #1,FLAC,
"4-12-1995 / Phoenix, AZ / Gibson's (25th Anniversary)",AUD #1,FLAC,
"4-15-1995 / Denver, CO / Mercury Cafe ",AUD #1,FLAC,
"4-15-1995 / Denver, CO / Mercury Cafe ",AUD,FLAC,
"4-17-1995 / Lawrence, KS / Bottleneck",AUD #1,FLAC,
"4-19-1995 / Cincinnati, OH / Bogart's (speed corrected)",AUD #1,FLAC,
"4-19-1995 / Cincinnati, OH / Bogart's (Sony ECM-155)",AUD #2,FLAC,
"4-19-1995 / Cincinatti, OH / Bogart's - AUD(M) (loughney transfer)",AUD,FLAC,
"4-20-1995 / Nashville, TN / 328  Performance Hall",AUD #1,FLAC,
"4-20-1995 / Nashville, TN / 328 Performance Hall - ANA(M) (loughney transfer)",AUD,FLAC,
"4-21-1995 / Atlanta, GA / The Masquerade - ANA(2) (unk)",AUD #1,FLAC,
"4-21-1995 / Atlanta, GA / The Masquerade - ANA(x) (unk) (inc)",AUD #2,FLAC,
"4-22-1995 / Athens, GA / 40 Watt Club",AUD #1,FLAC,
"4-24-1995 / Carrboro, NC / Cat's Cradle (lantz b.)",AUD,FLAC 24,
"4-24-1995 / Carrboro, NC / Cat's Cradle",AUD #1,FLAC,
"4-24-1995 / Carrboro, NC / Cat's Cradle",AUD #2,FLAC,
"4-24-1995 / Carrboro, NC / Cat's Cradle",AUD #3,FLAC,
"4-24-1995 / Carrboro, NC / Cat's Cradle - ANA(M) (loughney transfer) ",AUD,FLAC,
"4-25-1995 / Washington, D.C. / Black Cat",AUD #1,FLAC,
"4-26-1995 / Philadelphia, PA / Trocadero Theater",AUD,FLAC,
"4-26-1995 / Philadelphia, PA / Trocadero Theater",AUD #1,FLAC,
"4-26-1995 / Philadelphia, PA / Trocadero Theater - ANA(2) (unk) (vibrioidxire transfer)",AUD #1,FLAC,
"4-27-1995 / New York City, NY / Tramps",AUD #1,FLAC,
"4-27-1995 / New York City, NY / Tramps *With Compliments To Eddie",AUD,FLAC,
