Fountains of Wayne,Versions,File Type
Drive - C,,
,,
,,
[1997],,
"6-XX-1997 / Las Vegas, NV - Hogs And Heifers",SBD,MP3
"8-22-1997 / Reading, England / Reading Festival",SBD,MP3
,,
[1999],,
"4-19-1999 / London, UK / Dingwalls (DPA 4061) (unk)",AUD,FLAC
"5-25-1999 / New York, NY / Sam Goody (Aiwa Clip-on>Sony MZ-R50 MD) (kamenlitter)",AUD,FLAC
,,
[2002],,
"11-13-2002 / Detroit, MI / The Shelter (CSB) (mitaper78)",AUD,FLAC
"11-15-2002 / Chicago, IL / Double Door (unk) (aadam jacobs)",AUD,FLAC
"11-23-2002 / Los Angeles, CA / Troubadour (unk)",AUD,FLAC
,,
[2003],,
"6-10-2003 / Chicago, IL / Tower Records (unk) (aadam jacobs)",AUD,FLAC
"6-17-2003 / West Hollywood, CA / Tower Records (DSM6)",AUD,FLAC
"6-30-2003 / New York, NY / Tri-State Sound Unplugged - WLIR 92.7FM",FM,MP3
"7-17-2003 / Chicago, IL / Metro (unk) (aadam jacobs) ",AUD,FLAC
"7-23-2003 / Metuchen, NJ / Vintage Vinyl Records",AUD,MP4
"7-25-2003 / San Francisco, CA / Fillmore - DAT(M) (Schoeps MK4) (ted mattes)",AUD (48k),FLAC
"10-12-2003 / Austin, TX / Austin City Limits",TV,FLAC
"11-19-2003 / Chicago, IL / Vic Theatre (unk) (aadam jacobs)",AUD,FLAC
,,
[2004],,
"1-21-2004 / Amsterdam, The Netherlands / Studio De Smet - VPRO Dutch Radio",FM,MP3
"3-8-2004 / Cologne, Germany / Prime Club (unk)",AUD,FLAC
"5-6-2004 / Boston, MA / Avalon (Sony ECM-717) (jason adler)",AUD,FLAC
"6-19-2004 / Chicago, IL / Taste of Randolph (unk) (aadams jacobs) ",AUD,FLAC
"7-16-2004 / Philadelphia, PA / Penn's Landing - DAT(M)",SBD,FLAC
,,
[2005],,
"7-16-2005 / Boston, MA / Fenway Park (Aiwa AM-F80 MD)",AUD,FLAC
,,
[2006],,
"7-22-2006 / Boston, MA / Copley Square (SP-TFB-2s) (falcomadol)",AUD,FLAC
,,
[2007],,
"6-13-2007 / Minneapolis, MN / First Avenue (M) (Sony ECM-DS70P) (unk) ",AUD,FLAC
"7-20-2007 / Camden, NJ / Wiggins Park",FM,FLAC
"8-7-2007 / Westbury, NY / North Fork Theater",AUD,FLAC
"8-8-2007 / New York, NY / Artists' Den (Ovation TV VOD)",PRO,DVD
"8-9-2007 / Boston, MA / Copely Square Park (SP-CMC-20) (unk)",AUD,FLAC
,,
[2009],,
"1-19-2009 / San Francisco, CA/ Cafe du Nord (Schoeps CCM-4) (unk)",AUD,FLAC
"2-20-2009 / Annapolis, MD / Rams Head Tavern (DPA 4061) (kubacheck)",AUD,FLAC
"6-29-2009 / Hoboken, NJ / Maxwell's (DPA 4021) (scott bernstein)",AUD,FLAC
"9-17-2009 / Nashville, TN / Exit-In (Edirol R-09)",AUD,FLAC
