Gin Blossoms,Versions,File Type
Drive - C,,
,,
,,
[1990],,
"XX-XX-1990 / Tempe, AZ / Chuy's Night Club",AUD,SHN
,,
[1992],,
"XX-XX-1992 / Los Angeles, CA / Nomads",AUD,MP3
,,
[1993],,
"1-1-1993 / Solana Beach, CA / Unknown Venue",SBD,MP3
"4-22-1993 / Chicago, IL / The Metro",FM,FLAC
"5-13-1993 / Solana Beach, CA / Belly Up Tavern (unk)",SBD,MP3
"5-18-1993 / San Francisco, CA / State Student Union - ANA(M) (ECM-909) (tjcruz) ",AUD,FLAC
"5-19-1993 / San Francisco, CA / Justin Herman Plaza - ANA(M) (ECM-909) (tjcruz)",AUD,FLAC
"8-12-1993 / Cleveland, OH / Nautica Stage (unk)",SBD,MP3
"10-13-1993 / Frankfurt, Germany / Nachtleben",AUD,FLAC
,,
[1994],,
5-1-1994 / Live on the Edge Interview and session,FM,MP3
"9-23-1994 / Atlanta, GA / Cat's Paw Studios (99X Live Series)",FM,FLAC
,,
[1996],,
"1-25-1996 / London, England / Dingwalls (inc)",SBD,MP3
"3-18-1996 / Pittsburgh, PA / Duquesne University",preFM,FLAC
,,
[2001],,
6-1-2001 / Unknown Location / Unknown Venue (unk),AUD,MP3
"8-17-2001 / Tempe, AZ / Long Wongs (unk)",AUD,MP3
,,
[2002],,
"4-19-2002 / Tempe, AZ / Long Wongs (unk)",AUD,MP3
"5-25-2002 / Farmingville, NY / Brookhaven Amphitheatre",AUD,MP3
"5-31-2002 / St. Petersburg, FL / Jannus Landing (Core Sound Stealth) (fletchina) ",AUD,FLAC
"6-1-2002 / Jacksonville, FL / Marquee Theatre (unk)",AUD,MP3
"6-7-2002 / Fairfax, VA / Fairfax County Government Center (unk)",AUD,FLAC
"6-13-2002 / Cincinnati, OH / Cincinnati Ribfest",SBD,FLAC
"12-13-2002 / Las Vegas, NV / House of Blues",SBD,SHN
,,
[2003],,
"1-24-2003 / Agoura Hills, CA / Canyon Club",SBD,SHN
"1-24-2003 / Agoura Hills, CA / Canyon Club",FM,SHN
"5-24-2003 / St. Louis, MO / Soldier's Memorial - Rib America Festival (CSSC) (shane e. calhoon)",AUD,SHN
"8-21-2003 / Tampa, FL / Twilight (jim fiesler) ",SBD,FLAC
,,
[2004],,
"10-15-2004 / Uncasville, CT / Wolf Den @ Mohegan Sun Casino (ECM719) (b)",AUD,FLAC
,,
[2006],,
"7-7-2006 / Alton, IL / Argosy Casino (CSSC) (shane e. calhoon)",AUD,FLAC
"9-26-2006 / Orlando, FL / House of Blues (ECM-717) (kevdogg)",AUD,FLAC
,,
[2007],,
"3-10-2007 / Orlando, FL / City Hall (Sony ECM-717) (unk)",AUD,FLAC
,,
[2008],,
"6-27-2008 / Grapevine, TX / Glass Cactus (CA-11) (david sell) ",AUD,FLAC
,,
[2010],,
"7-1-2010 / Albany, NY / Corning City Preserve (SP-CMC4s) (unk) ",AUD,FLAC
"7-31-2010 / Toledo, OH / Promenade Park (DPA 4060) (live2cd)",AUD,FLAC
