Guster,Versions,File Type
Drive - C,,
,,
,,
[1992],,
XX-XX-1992 / Live at Various,AUD,FLAC
"10-8-1992 / Medford, MA / Hotung Cafe - Tufts University (greg labranche)",AUD,SHN
"11-18-1992 / Medford, MA / Hotung Cafe - Tufts University (greg labranche)",AUD,SHN
,,
[1993],,
"1-25-1993 / Cambridge, MA / Black Rose - ANA(x) (unk)",SBD,FLAC
,,
[1994],,
"8-4-1994 / Somerville, MA / Johnny D's (unk)",AUD,FLAC
,,
[1995],,
"5-20-1995 / Andover, NH / Phillips Academy Andover - ANA(x) (unk) ",SBD,FLAC
"7-21-1995 / New York, NY / The Wetlands",SBD,FLAC
"7-21-1995 / New York, NY / The Wetlands (dave nolan)",SBD,FLAC
"8-16-1995 / New York, NY / The Wetlands",SBD,FLAC
"10-9-1995 / Lynn, MA / WFNX-FM Station - ANA(x) (unk)",FM,FLAC
"11-15-1995 / Iowa City, IA / Gunnerz - ANA(x) (unk) ",SBD,FLAC
"11-24-1995 / New York, NY / Wetlands Preserve (brian hracyk transfer)",SBD,FLAC
"12-8-1995 / Port Chester, NY / 7 Willow Street - ANA(x) (unk) ",SBD,FLAC
,,
[1996],,
"1-26-1996 / Durham, NH / The MUB - University of New Hampshire (dave zbikowski master)",SBD,FLAC
"1-27-1996 / Manchester, NH / Palace Theater (peter smith)",SBD,FLAC
"1-27-1996 / Manchester, NH / Palace Theater - ANA(1) (Sony ECM 959A) (peter smith)",AUD,FLAC
"2-2-1996 / Iowa City, IA / Gunnerz",SBD,FLAC
"2-8-1996 / Washington, D.C. / The Bayou (unk)",AUD,FLAC
"2-21-1996 / Iowa City, IA / Gunnerz (Sony 60ES)",SBD,FLAC
"3-26-1996 / Boston, MA / Emerson College - WERS Radio",FM,FLAC
"5-17-1996 / Martinsville, NJ / The Pingry School (unk)",AUD,FLAC
"5-20-1996 / Scranton, PA / Tink's (unk)",AUD,FLAC
"7-19-1996 / Manhattan, NY / Lion's Den (CSB) (jeffry houser)",AUD,FLAC
"10-5-1996 / Boston, MA / Paradise Rock Club (neil brodsky)",SBD,FLAC
"10-23-1996 / Cambridge, MA / The Middle East (bill lakenan)",SBD,FLAC
,,
[1997],,
"1-21-1997 / Villanova, PA / Villanova University (Octava MC012) (bill lakenan)",AUD,FLAC
"2-14-1997 / Boulder, CO / Fox Theatre (Gefell SMS 200s) (dave mallick)",AUD,FLAC 24
"2-15-1997 / Denver, CO / Herman's Hideaway (unk)",AUD,FLAC
"2-22-1997 / Nashville, TN / 328 Performance Hall - AWARE Records Showcase ",SBD,FLAC
"2-28-1997 / Boston, MA / Avalon Ballroom (Goldfly Release Party) (neil brodsky)",SBD,FLAC
"3-6-1997 / Charlottsville, VA / Trax (unk) (jeffry houser)",AUD,FLAC
"3-8-1997 / New York, NY / Wetlands Preserve (CSB) (jeffry houser)",AUD,FLAC
"3-28-1997 / Winston-Salem, NC / Ziggy's (will foy)",SBD,SHN
