Hole,Versions,File Type
Drive - C,,
,,
,,
[1989],,
"11-11-1989 / Huntington Beach, CA / Nightmoves - VHS(4)",AUD,MP4
,,
[1990],,
"7-27-1990 / Hollywood, CA / Raji's - ANA(x) (unk)",AUD #1,FLAC
"9-15-1990 / Los Angeles, CA / The Shamrock - VID(?) (unk)",AMT #1a,FLAC
"10-10-1990 / Los Angeles, CA / Club Lingerie",FM,MP3
"10-10-1990 / Los Angeles, CA / Club Lingerie - VHS(4)",PRO,MKV
"10-29-1990 / Los Angeles, CA / Club with No Name - VHS(x) (unk)",AUD,MKV
"11-1-1990 / Los Angeles, CA / Club Lingerie",AUD,FLAC
"11-1-1990 / Los Angeles, CA / Club Lingerie - ANA(x)",AUD #1,FLAC
,,
[1991],,
"5-1-1991 / Montreal, Quebec / Le Foufounes Électriques (Interview with Penny Patterson on CKUT 90.3 FM",FM,FLAC
"7-12-1991 / Boston, MA / Rat - ANA(1) (Radioshack) (peter c.)",AUD #1,FLAC
"7-15-1991 / New York, NY / CBGBs - VHS(1) (unk)",AMT,MKV
"7-22-1991 / Richmond, VA / Twisters - Soundcheck - CDR(?) ",AUD #1,FLAC
"8-19-1991 / Bristol, England / Bierkeller - ANA(x)",AUD #1,FLAC
"11-6-1991 / Cambridge, MA / Tower Records (Realistic) (peter c.)",AUD #1,FLAC
"11-23-1991 / Gent, Belgium / Vooruit - VHS(1) (martin donahue)",AMT #1b,FLAC
"11-23-1991 / Gent, Belgium / Vooruit - VHS(1) upgrade",MTX,FLAC
"11-24-1991 / Nijmegen, The Netherlands / Doornroosje (clogboy2005)",AUD,FLAC
"11-26-1991 / Paris, France / Le Cigale *Live Amsterdam 92 (HOLECD93)",Silver CD,FLAC
"12-4-1991 / Koln, Germany / Rose Club (buenaventura)",AUD,FLAC
"12-4-1991 / Koln, Germany / Rose Club - ANA(x)",AUD #1,FLAC
"12-7-1991 / Boston, MA / The Rat (Radioshack mics) (peter c.)",AUD,FLAC
"12-11-1991 / Exeter, UK / Lemon Grove - University of Exeter (unk)",AMT,MKV
"12-12-1991 / London, UK / University of London Union - Stage One - ANA(x) (unk) ",AUD #1,FLAC
"12-12-1991 / London, UK / University of London Union - Stage One - VID8(M) (mark b)",AMT,MKV
12-13-1991 / Unknown Location and Venue,AUD,FLAC
"12-13-1991 / Leeds, UK / Duchess of York Public House *In the Darkness I Destroy - ANA(x)",AUD #1,FLAC
"12-18-1991 / Los Angeles, CA / Whiskey A-Go-Go",AUD,FLAC
"12-18-1991 / Los Angeles, CA / Whiskey A-Go-Go *Pretty Please - CD(M)",AUD,FLAC
,,
[1993],,
XX-XX-1993 / Rio Demos (j.d.),SBD  ,FLAC
XX-XX-1993 / Courtney Act (PIL 07),Silver CD,FLAC
"1-21-1993 / Rio de Janeiro, Brazil / BMG Ariola Ltda - Studio B *Unofficial CD ""The Last Concert"" - CD(M) (martin donahue)",SBD #1b,FLAC
