Hum,Versions,File Type
Drive - C,,
,,
,,
[1994],,
"6-24-1994 / Cambridge, MA / Middle East - ANA(x) (sluggo) ",AUD,FLAC
"7-20-1994 / San Francisco, CA / Bottom of the Hill - ANA(1) (unk)",AUD,FLAC
,,
[1995],,
"6-13-1995 / Seattle, WA / Moe's (SS>D7) (unk)",AUD,FLAC
"6-30-1995 / Milwaukee, WI / Summerfest (cruciferous)",FM,FLAC
"7-28-1995 / Washington, D.C. /  930 Club - ANA(3) (unk)",AUD,FLAC
"8-4-1995 / St. Louis, MO / Mississippi Nights ",SBD,FLAC
"9-13-1995 / Boulder, CO / CU Fieldhouse ",SBD,FLAC
"9-15-1995 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC
"9-16-1995 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC
"9-22-1995 / Boulder, CO / CU Fieldhouse  (unk)",AUD,FLAC
"12-16-1995 / Chicago, IL / Empty Bottle (DAT) (unk)",AUD,FLAC
,,
[1996],,
"2-20-1996 / Charlotte, NC / Tremont Music Hall",AUD,WMA
"2-25-1996 / Champaign, IL / Blind Pig",AUD,MP3
"6-16-1996 / Minneapolis, MN - 7th Street Entry (Early show) (SS mics) (jay saari)",AUD,FLAC
"6-16-1996 / Minneapolis, MN - 7th Street Entry (Late show) (SS mics) (jay saari)",AUD,FLAC 24
,,
[1997],,
"11-13-1997 / Columbus, OH / Little Brothers - ANA(M) (PC-62) (unk)",AUD,FLAC
,,
[1998],,
"1-26-1998 / New York, NY / Modern Rock Live",FM,FLAC
"1-31-1998 / St. Louis, MO / The Galaxy",SBD,FLAC
"2-12-1998 / San Francisco, CA / Slim's (SS DSM-6S) (unk)",AUD,FLAC
"2-20-1998 / Madison, WI / Barrymore Theater (Aiwa CMS30A) (unk)",AUD,FLAC
"2-27-1998 / New York, NY / Irving Plaza (CSB) (eric ph)",AUD,FLAC
"2-27-1998 / New York, NY / Irving Plaza (unk)",AUD,FLAC
"2-28-1998 / Philadelphia, PA / Theatre of the Living Arts (Hi8) (patrick mcwilliams)",AUD,FLAC
"3-7-1998 / Atlanta, GA / Cotton Club",AUD,FLAC
"3-13-1998 / Houston, TX / Fitzgerald's - ANA(2) (unk)",AUD,FLAC
"3-15-1998 / Dallas, TX / Trees (CSBmod) (unk) ",AUD,FLAC
"3-15-1998 / Dallas, TX - Trees - DAT(1) (CSB) (vibrioidxire remaster) ",AUD,FLAC
"4-23-1998 / Pittsburgh, PA / Graffiti",SBD,FLAC
"4-25-1998 / State College, PA / Penn State University - Hi8(M)-VHS(1) (serra transfer)",AMT,MKV
"5-5-1998 / Nashville, TN / Exit/In (AKG 414TL-2) (kindtaper)",AUD,FLAC
"7-5-1998 / Milwaukee, WI / Marcus Amphitheater (DSM-6/L) (unk)",AUD,FLAC
,,
[2000],,
"12-29-2000 / St. Louis, MO / The Galaxy (CSB) (unk)",AUD,FLAC
"12-31-2000 / Chicago, IL / Metro (CSB) (unk)",AUD,FLAC
,,
