Incubus,Versions,File Type,
Drive - G,,,
,,,
,,,
[1995],,,
"4-1-1995 / West Hollywood, CA / Troubadour (Sonic Studios DSM-6S) (jr)",AUD,FLAC,
,,,
[1998],,,
"1-15-1998 / Paris, France / Le Bataclan",SBD,FLAC,
"5-5-1998 / Ris-Orangis, France / Le Plan",SBD,FLAC,
"5-30-1998 / Eindhoven, The Netherlands / Dynamo Open Air",FM,FLAC,
"12-6-1998 / Pocatello, ID / Roche Motel (Sharp MD-702)",AUD,SHN,
"12-13-1998 / San Jose, CA / Cactus Club",SBD,FLAC,
,,,
[1999],,,
"3-26-1999 / San Francisco, CA / Slims",AUD,FLAC,
"11-14-1999a / Washington, D.C. / 9:30 Club (Interview) (shynomi)",WEB,FLAC,*Tape Transfer
"11-16-1999 / Pittsburgh, PA / Metropol - MD(M) ",AUD,FLAC,
"12-3-1999 / Las Vegas, NV / The Joint",AUD,FLAC,
,,,
[2000],,,
"1-22-2000 / San Francisco, CA / The Warfield (Schoeps MK4)",AUD,SHN,
"2-2-2000 / Minneapolis, MN / The Quest - Sno Core Tour - VHS(2)",AUD,DVD,
"2-15-2000 / Providence, RI / Lupo's Heartbreak Hotel - VHS(x)",AUD,DVD,
"3-29-2000 / Las Vegas, NV / House of Blues - DAT(M) (ECM12) (luke freteluco)",AUD,FLAC,
"4-2-2000 / New York, NY / MTV 120 Minutes",SBD,SHN,
"4-29-2000 / Ris-Orangis, France / L'Elysee-Montmartre (ECM-MS907)",AUD,FLAC,
"5-5-2000 / Strasbourg, France / La Laiterie (ECM-MS907)",AUD,FLAC,
"5-28-2000 / Berkeley, CA / Greek Theatre (Schoeps MK4)",AUD,SHN,
"6-3-2000 / Englewood, CO / Fiddler's Green Amphitheatre",SBD,FLAC,
"6-20-2000 / Rostraver, PA / Rostraver Ice Garden - MD(M) ",AUD,FLAC,
"7-2-2000 / West Palm Beach, FL / Mars Music Amphitheatre (Ozzfest) (CSC)",AUD,FLAC,
"8-8-2000 / Cincinnati, OH / Riverbend Music Centre (Ozzfest)",AUD,SHN,
10-21-2000 / Westwood One / In the Zone (#00-43) (ken m.),Silver CD,FLAC,
"10-23-2000 / Irvine, CA / Bren Events Center",AUD,SHN,
"11-8-2000 / New York, NY / Late Show with David Letterman - VHS(2)",TV,MKV,
"11-24-2000 / Philadelphia, PA / Indre Studios (Y100 Sonic Sessions)",FM,FLAC,
"12-16-2000 / Universal City, CA / Universal Amphitheatre - KROQ Almost Acoustic Christmas (WW1)",preFM,FLAC,
,,,
[2001],,,
"8-4-2001 / Pleasant Unity, PA / Westmoreland County Fairgrounds - MD(M)",AUD,FLAC,
"8-8-2001 / Auckland, NZ / St. James (CSB)",AUD,FLAC,
"9-29-2001 / Huntsville, AL / Big Spring Jam - VID(x)",AUD,DVD,
"10-6-2001 / New Orleans, LA / State Palace Theater (will hennegan)",AUD,FLAC,
"11-25-2001 / Mesa, AZ / Mesa Amphitheater (matt b.)",AUD,FLAC,
,,,
[2002],,,
"1-19-2002 / London, UK / Wembley Arena (duncan)",AUD,FLAC,
"1-25-2002 / Amsterdam, The Netherlands / Heineken Music Hall (jfaninord)",FM,FLAC,
"3-8-2002 / Sydney, Australia / Hordon Pavilion (SP Cardioid Mics)",AUD,SHN,
"3-23-2002 / Auckland, NZ / Western Springs Stadium (ECM-717)",AUD,SHN,
"4-18-2002 / Inglewood, CA / Great Western Forum - ANA(M) (unk)",AUD,FLAC,
"5-25-2002 / Milwaukee, WI / Marcus Amphitheatre",AUD,SHN,
"6-3-2002 / Rochester, NY / Blue Cross Arena (CSB)",AUD,FLAC,
