Jane's Addiction,Versions,File Type,
Drive - C,,,
,,,
,,,
[1986],,,
"1-10-1986 / Los Angeles, CA / Black Radio Club (unk)",AUD,FLAC,
"2-XX-1986 / Los Angeles, CA / Rehearsal",AUD,FLAC,
"8-28-1986 / Los Angeles, CA / The Roxy Theater (unk)",AUD,FLAC,
"9-21-1986 / Los Angeles, CA / Street Scene - ANA(3) (blg)",AUD,FLAC,
"11-13-1986 / Los Angeles, CA / The Pyramid Club *Live and Profane",SBD,FLAC,
"12-15-1986 / Los Angeles, CA / Marymount College - KXLU Loyola",FM,FLAC,
,,,
[1987],,,
"XX-XX-1987 / Los Angeles, CA / June Street Studios (CDPRO03)",SBD,FLAC,
"1-22-1987 / Los Angeles, CA / Cooperage Hall - UCLA - The Pizza Hut Show",AUD,FLAC,
"1-29-1987 / Los Angeles, CA / King's Hall - University of Southern California (unk)",SBD,FLAC,
"1-31-1987 / Los Angeles, CA / University of Southern CA - Kings Hall",SBD,FLAC,
"2-14-1987 / Los Angeles, CA / The Scream - Tonka (CDPR01)",Silver CD,FLAC,
"2-28-1987 / Long Beach, CA / Fender's Ballroom (unk)",AUD,FLAC,
"3-7-1987 / Hollywood, CA / LHASA Club - ANA(M) (unk)",AUD,FLAC,
"3-29-1987 / Orange, CA / Goodie's (unk)",AUD,FLAC,
"3-29-1987 / Orange, CA / Goodie's (unk)",AUD,FLAC,
"4-1-1987 / Los Angeles, CA / Lillian Way Studios",SBD,FLAC,
"5-2-1987 / Northridge, CA / California State University (unk) (tapegeek)",AUD,FLAC,
"5-30-1987 / Los Angeles, CA / Scream @ the Embassy Hotel",SBD,FLAC,
"7-8-1987 / Sacramento, CA / Cattle Club",SBD,FLAC,
"8-3-1987 / Kansas City, MO / Unknown Venue (inc) (unk)",AUD,FLAC,
"9-27-1987 / Houston, TX / Rockefeller's",SBD,FLAC,
"10-24-1987 / Los Angeles, CA / Scream at the Park Plaza Hotel (inc) (unk)",AUD,FLAC,
"11-9-1987 / Indiana, PA / Fisher Hall - ANA(M) (magmedia22)",AUD,FLAC,
"12-5-1987 / Irvine, CA / Bren Events Center (unk)",AUD,FLAC,
"12-11-1987 / Seattle, WA / Paramount Theatre (unk)",AUD,FLAC,
,,,
[1988],,,
"5-9-1988 / Los Angeles, CA / Wiltern Theatre",AUD,FLAC,
"5-30-1988 / Los Angeles, CA / The Scream",AUD,FLAC,
"9-15-1988 / Providence, RI / The Living Room",AUD,FLAC,
"9-21-1988 / Pittsburgh, PA / Syria Mosque Ballroom (Sony Walkman WM-F46)",AUD,FLAC,
"9-22-1988 / Royal Oak, MI / Royal Oak Theatre",AUD,FLAC,
"10-11-1988 / Houston, TX / Xcess Club",AUD,FLAC,
"10-27-1988 / Norfolk, VA / Boathouse (unk)",AUD,SHN,
"11-17-1988 / Seattle, WA / Paramount Theater KISW-FM ""Rising Star""",AUD,FLAC,
"11-23-1988 / Chicago, IL / Cabaret Metro",AUD,FLAC,
"11-25-1988 / Chicago, IL / Cabaret Metro *Trip Away",SBD #1,SHN,
"11-27-1988 / Minneapolis, MN / Seventh Street Entry",AUD,FLAC,
"11-28-1988 / Madison, WI / Wally Gator's",AUD,SHN,
"11-29-1988 / Chicago, IL / Cabaret Metro *Trip Away (AK043)",Silver CD,FLAC,
"11-29-1988 / Chicago, IL / Cabaret Metro *Trip Away (AK043) SBD #2",Silver CD,FLAC,
"11-29-1988 / Chicago, IL / Cabaret Metro *Trip Away SBD #3",Silver CD,FLAC,
"12-6-1988 / Cleveland, OH / Peabody's Down Under - ANA(x) (unk)",AUD,FLAC,
"12-11-1988 / Cambridge, MA / TT the Bear's",AUD,SHN,
"12-14-1988 / New York, NY / Cat Club",AUD,FLAC,
"12-31-1988 / Los Angeles, CA / Embassy Theater (unk)",AUD,FLAC,
,,,
[1989],,,
"1-4-1989 / Tucson, AZ / Tucson Garden",AUD,FLAC,
"1-6-1989 / Phoenix, AZ / Underground - ANA(M) (david homes) (krw_co transfer) ",AUD,FLAC,
"1-7-1989 / Phoenix, AZ / The Underground (david homes)",AUD,FLAC,
"1-13-1989 / Austin, TX / The Back Room (roio420)",AUD,FLAC,
"1-16-1989 / New Orleans, LA / Tipitina's",FM,FLAC,
"1-23-1989 / Leeds, England / The Warehouse",AUD,FLAC,
"1-25-1989 / Manchester, England / International",AUD,FLAC,
"1-28-1989 / Sheffield, England / The Leadmill",AUD,FLAC,
"2-11-1989 / Athens, GA / Uptown Lounge - ANA(3)",SBD,FLAC,
"2-11-1989 / Athens, GA / Uptown Lounge",SBD,FLAC,
