Jimi Hendrix,Versions,File Type,
Drive - A,,,
,,,
,,,
[1965],,,
"12-26-1965 / Hackensack, NJ / Georges Club 20 (Curtis Knight w/ JH) (vinyl transfer)",SBD,FLAC,
,,,
[1966],,,
"2-24-1966 / New York, NY / Cheetah Club *Curtis Knight Live Material 1965-66",SBD,FLAC,
"10-18-1966 / Paris, France / l'Olympia ""Musicorama"" (French Radio)",SBD,FLAC,
"12-29-1966 / London, England / Area C, Lime Grove / BBC TV (Top of the Pops) (Source 1)",TV,APE,
"12-29-1966 / London, England / Area C, Lime Grove / BBC TV (Top of the Pops) (Source 2)",TV,FLAC,
"12-29-1966 / London, England / Area C, Lime Grove / BBC TV (Top of the Pops) (Source 3) (pitch corrected)",TV,FLAC,
,,,
[1967],,,
"XX-XX-1967 / New York, NY / The Village Theatre ",AUD,FLAC,
"1-30-1967 / London, UK / BBC Broadcasting House - Great Portland Place *Pop North (johnny kidd)",FM,FLAC,
"1-31-1967 / London, UK / Saville Theatre",,FLAC,
"2-4-1967 / London, UK / The Flamingo Club (Unknown lineage)",AUD,FLAC,
"2-4-1967 / London, UK / The Flamingo Club (FTO 017) (2 source mix - low gen composite)",MTX,FLAC,
"2-4-1967 / London, UK / The Flamingo Club",AUD,FLAC,
"2-13-1967 / London, UK / Saturday Club Broadcasting House (BBC DAT Masters)",FM,FLAC,
"2-25-1967 / Chelmsford, England / Corn Exchange",SBD,FLAC,
"3-2-1967 / London, UK / Beat Club",TV,MPG,
"3-16-1967 / London, UK / Speakeasy (Hendrix & Clapton)",,FLAC,
3-17-1967 / Apt Jam with Taj Mahal (transferred by super_unknown),Demo,FLAC,
"3-18-1967 / Hamburg, Germany / Studio 1 - NDR Funkhaus (FM Broadcast Master-DAT)",FM,FLAC,
"3-18-1967 / Hamburg, Germany / NDR Funkhaus  (preFM Master Reel upgrade)",preFM,FLAC,
"3-18-1967 / Hamburg, Germany / Studio 1 - NDR Funkhaus (twin club series)",FM,FLAC,
"3-28-1967 / London, UK / Saturday Club Broadcasting House (from BBC DAT Masters)",FM,FLAC,
"3-30-1967 / London, UK / BBC TV Lime Grove Studios - Area C (Top of the Pops)",TV,APE,
"4-1-1967 / Ipswich, UK / Gaumont Cinema (filmed for french TV,  ""Bouton Rouge"")",TV,DVD,
"4-10-1967 / London, UK / Playhouse Theatre - Monday, Monday BBC (jimiclones, goody) ",FM,FLAC,
4-17-1967 / BBC TV Studio - Late Night Line Up,TV,APE,
"5-10-1967 / London, UK / BBC TV Lime Grove Studios - Area C (Top of the Pops)",TV,APE,
"5-11-1967 / Paris, France / Music Hall de France - TV Recording Tilt Magazine (Paris Drucker show)",TV,APE,
"5-18-1967 / Offenbach, Germany / Stadthalle *Beat Beat Beat (European Broadcast) (goody master)",TV,FLAC,
"5-18-1967 / Offenbach, Germany / Stadthalle *Beat Beat Beat (German TV Broadcast)",PRO,DVD,
5-21-1967 / Copenhagen / Falkoner Centret,,APE,
5-21-1967 / Copenhagen / Falkoner Centret - ANA(M?) (carsten grolin),AUD,FLAC,*Inside 1967-05-18 goody remaster folder
"5-24-1967 / Stockholm, Sweden / Grona Lund (Vibratory Merge)",AUD,FLAC,
"5-24-1967 / Stockholm, Sweden / Grona Lund (Master-Reel(2) - DAT) (krw_co)",AUD,FLAC,
"6-18-1967 / Monterey, CA / Monterey County Fairgrounds - Monterey Pop Festival",SBD,FLAC,
"6-18-1967 / Monterey, CA / Monterey County Fairgrounds - Monterey Pop Festival (Pre-concert)",SBD,FLAC,
"8-27-1967 / London, UK / Saville Theatre (chris dixon's anniversary series)",AUD,FLAC,
"9-4-1967 / Stockholm, Sweden / Tivoli Garden (Dans In)",AUD,FLAC,
"9-4-1967 / Stockholm, Sweden / Tivoli Garden (Stora Scenen)",AUD,FLAC,
"9-5-1967 / Stockholm, Sweden / Studio 4 Radiohuset",SBD,FLAC,
"9-7-1967 / Stockholm, Sweden / Club Filips (Hansson & Carsson)",AUD,FLAC,
9-10-1967 / Sweden (First show) *The Swedish Show Disc 3 - DAT(M),AUD,FLAC,
"9-11-1967 / Stockholm, Sweden / Grona Lund (FD Cleanup)",WEB,FLAC,Lossy
"9-11-1967 / Stockholm, Sweden / Grona Lund / Tivoli Gardens - DAT(M) - Reel (krw_co)",AUD,FLAC,
"10-9-1967 / Paris, France / ORTF",SBD,FLAC,
"11-10-1967 / Bussum, The Netherlands / Vitus Studio (VPRO Dutch Radio Broadcast)",FM,FLAC,
"11-10-1967 / Bussum, The Netherlands / Vitus Studio (Hoepla - TV show)",FM,FLAC,
"11-25-1967 / Blackpool, England / Blackpool Opera House",AUD,FLAC,
,,,
[1968],,,
XX-XX-1968 / The Home Recordings (Hendrix's Apartment in NY),,FLAC,
XX-XX-1968 / Axis Sessions (Sotheby's Auction Tape),SBD,FLAC,
"1-7-1968 / Copenhagen, Denmark / Tivolis Koncertsal (Master-Cassette)",AUD,FLAC,
"1-8-1968 / Stockholm, Sweden / Stora Salen, Konserthuset (ATM 166) *Can't Believe Everything You See And Hear",AUD,FLAC,
"1-29-1968 / Paris, France / L'Olympia (2nd show)",SBD,FLAC,
"2-3-1968 / San Francisco, CA / Winterland Arena (1st show, 1st Source)",AUD,FLAC,
"2-3-1968 / San Francisco, CA / Winterland Arena (1st and 2nd show, 2nd Source)",AUD,FLAC,
"2-3-1968 / San Francisco, CA / Winterland Arena (1st and 2nd show, 3rd Source)",AUD,FLAC,
"2-3-1968 / San Francisco, CA / Winterland Arena (Composite of 3 sources) (early and late show)",AUD,FLAC,
"2-4-1968 / San Francisco, CA / The Fillmore Auditorium (2nd show)",SBD,FLAC,
"2-4-1968 / San Francisco, CA / The Fillmore Auditorium (2nd show) (oldnuemanntaper update)",SBD,FLAC,
"2-14-1968 / Denver, CO / Regis College - Fieldhouse (t - master)",AUD,FLAC,
"2-16-1968 / Dallas, TX / State Fair Music Hall *Way Down in Texas Land (Disc 1) (unk lineage)",AUD,FLAC,
"2-17-1968 / Fort Worth, TX / Will Rogers Auditorium *Way Down in Texas Land (Disc 2)",AUD,FLAC,
"2-18-1968 / Houston, TX / Music Hall *Can You Dig That? Collectors Disc",AUD,FLAC,
"2-25-1968 / Chicago, IL / Civic Opera House (funkydrummer cleanup)",AUD,FLAC,
"2-28-1968 / Milwaukee, WI / The Scene (ATM 004) ",AUD,FLAC,
"2-28-1968 / Milwaukee, WI / The Scene (Master 1st Transfer) (goody speed/pitch adjusted remaster)",AUD,FLAC,
"2-28-1968 / Milwaukee, WI / The Scene (Master 2nd Transfer) (goody speed/pitch adjusted remaster)",AUD,FLAC,
"3-2-1968 / New York, NY / Hunter College - 1st gen (Late show) (speed corrected)",AUD,FLAC,
"3-7-1968 / New York, NY / Scene Club - JH & Jim Morrison *Woke Up This Morning and Found Myself Dead (RLCD 0068)",Silver CD,FLAC,
"3-10-1968 / Washington, D.C. / Int'l Ballroom, Hinckley Hilton (Early show) (Master)",AUD,FLAC,
"3-15-1968 / Worcester, MA / Clarks University (FTO 001-002)",SBD,FLAC,
"3-17-1968 / New York, NY / Cafe Au Go Go *Blues at Midnight (MB CD 037)",Silver CD,FLAC,
"3-18-1968 / New York, NY / Warwick Hotel (Paul Caruso Rag Session) *Jimi's Hotel Room",,SHN,
"3-19-1968 / Ottawa, Ontario / Capitol Theatre *Superconcert (2nd show)",SBD,FLAC,
"3-26-1968 / Cleveland, OH / Public Music Hall (2nd show) (chris dixon series)",AUD,FLAC,
"4-2-1968 / Montreal, Quebec / Paul Suave Arena *French Kiss (ATM 038)",AUD,FLAC,
"4-9-1968 / New York, NY / Generation Club - The Kings Jam (JH w/ B.B. King)",AUD,FLAC,
"4-15-1968 / New York, NY / Generation Club - The King's Jam (Expanded)",SBD,FLAC,
"4-15-1968 / New York, NY / Cafe A Go Go",SBD,FLAC,
"4-15-1968 / New York, NY / Cafe A Go Go (twiley remaster)",SBD,FLAC,
"5-3-1968 / New York, NY / The Record Plant - The Voodoo Chile Sessions (Master) (eddie kramer)",SBD,FLAC,
"5-5-1968 / New York, NY / Fillmore East (2nd show) (ATM 093)",SBD,FLAC,
"5-10-1968 / New York, NY / Fillmore East (2nd show) *Thank You and I Just Blew Another Amp! (speed corrected)",AUD,FLAC,
"5-10-1968 / New York, NY / Fillmore East  *One Night Stand",SBD,FLAC,
"5-18-1968 / Hallandale, FL / Gulfstream Park Racetrack (Miami Pop Festival) (master)",SBD,FLAC,
5-21-1968 / Still's Basement - JH and Stephen Stills,SBD,FLAC,
"5-25-1968 / Rome, Italy / Teatro Brancaccio",AUD,FLAC,
"5-25-1968 / Rome, Italy / Teatro Brancaccio - Titan Top Show (godfather)",AUD,FLAC,
"5-26-1968 / Bologna, Italy / Emilia Romagna (vibratory)",AUD,FLAC,
"5-30-1968 / Zurich, Switzerland / Hallenstadion (arnold soder)",AUD,FLAC,
"5-30-1968 / Zurich, Switzerland / Hallenstadion (fd cleanup)",AUD,FLAC,
"5-31-1968 / Zurich, Switzerland / Hallenstadion (fd cleanup) (ATM 053)",AUD,FLAC,
"5-31-1968 / Zurich, Switzerland / Hallenstadion (1st gen cassette)",AUD,FLAC,
"6-5-1968 / Hertfordshire, UK / Borehamwood *It Must Be Dusty",TV,FLAC,
