John Mayer,Versions,File Type,
Drive - E,,,
,,,
,,,
[1999],,,
"6-15-1999 / Decatur, GA / Eddie's Attic - ANA(x) (unk)",AUD,FLAC,
,,,
[2000],,,
"2-25-2000 / Decatur, GA / Eddie's Attic (Sony MD) (donny delp)",AUD,FLAC,
"3-9-2000 / Denver, CO / Gothic Theatre (DCN.com) ",WEB,FLAC,
"8-23-2000 / Athens, GA / 40 Watt Club (Real Player)",WEB,FLAC,
,,,
[2001],,,
"1-26-2001 / Norfolk, VA / The Norva (unk) ",AUD,FLAC,
"2-1-2001 / New York, NY / Shine (Gefell M210s) (jon pasternak)",AUD,FLAC,
"2-2-2001 / Newark, DE / Deer Park Tavern (unk)",AUD,FLAC,
"2-6-2001 / Winooski, VT / Higher Ground (unk)",AUD,FLAC,
"3-21-2001 / Boulder, CO / Fox Theatre (MD) (travis schwieger)",AUD,FLAC,
"3-30-2001 / Sacramento, CA / Capitol Garage (unk)",AUD,FLAC,
"3-31-2001 / San Francisco, CA / The Cellar at John Foley's (unk)",AUD,FLAC,
"4-12-2001 / St. Louis, MO / The Pageant Theatre (Core Sound Omnis) (shane e. calhoon) ",AUD,FLAC,
"4-12-2001 / St. Louis, MO / The Pageant Theatre (unk)",AUD,SHN,
"5-2-2001 / Norman, OK / The Red Room (tyler huskerson)",SBD,FLAC,
"6-7-2001 / Raleigh, NC / The Brewery (Webcast) (bill burge) ",WEB,SHN,
"6-8-2001 / Falls Church, VA / The State Theatre (unk) ",AUD,FLAC,
"6-18-2001 / Boston, MA / Paradise Rock Club (unk) ",AUD,FLAC,
"6-22-2001 / Chicago, IL / House of Blues (Oktava MC012) (joe shambro)",AUD,SHN,
"6-27-2001 / St. Louis, MO / Mississippi Nights (Oktava MC012) (joe shambro)",AUD,FLAC,
"6-30-2001 / Atlanta, GA / Roxy Theater (Oktava MC012) (jonathan fletcher)",AUD,FLAC,
"7-28-2001 / Dallas, TX / The Ballroom at Gypsy Tea Room (Oktava MC012) (jonathan fletcher)",AUD,FLAC,
"8-11-2001 / Columbia, MO / The Blue Note (unk) ",AUD,FLAC,
"8-22-2001 / Ann Arbor, MI / The Blind Pig (unk)",AUD,FLAC,
"9-29-2001 / Iowa City, IA / Gabe's Oasis (unk)",AUD,FLAC,
"10-9-2001 / San Francisco, CA / Slim's (Neumann KM184s) (joe polastre)",AUD,FLAC,
"10-18-2001 / Houston, TX / Continental Club (jonathan fletcher)",SBD,FLAC,
"10-26-2001 / Baton Rouge, LA / The Varsity Theatre (Oktava MC012) (joe shambro)",AUD,SHN,
"11-15-2001 / Pontiac, MI / Clutch Cargo (jennifer caputo)",SBD,FLAC,
"11-18-2001 / Willimantic, CT / Eastern Connecticutt State University (Oktava MC012) (hayden)",AUD,FLAC,
,,,
[2002],,,
"XX-XX-2002 / Hamburg, Germany / NDR 2 Studios ",FM,FLAC,
2-17-2002 / Washington DC / 930 Club (Earthworks SR78) (marc becker) ,AUD,FLAC,
"2-25-2002 / Winooski, VT / Higher Ground (Sony-MZ-R50) (zachary taylor)",AUD,FLAC,
"3-5-2002 / Grand Rapids, MI / Calvin College Fine Arts Center (KA-500HNs) (sam lincoln)",AUD,FLAC,
"3-9-2002 / Chicago, IL / House of Blues and Crows Nest In-store (Sharp MD-MT99) (a.j. armour)",AUD,FLAC,
"3-27-2002 / Houston, TX / Numbers (Oktava MC012) (jonathan fletcher)",AUD,FLAC,
"3-27-2002 / Houston, TX / Cactus Music",SBD,FLAC,
"3-30-2002 / Dallas, TX / Gypsy Tea Room (MHBO 603a) (ofotd)",AUD,FLAC,
"4-16-2002 / Minneapolis, MN / KTCZ In-studio (RealAudio)",FM,FLAC,
"4-20-2002 / St. Louis, MO / Mississippi Nights (Oktave MC012) (joe shambro)",AUD,FLAC,
"5-7-2002 / Myrtle Beach, SC / House of Blues (AT853s) (elana gershuny)",AUD,FLAC,
"5-8-2002 / Norfolk, VA / The Norva (AT853s) (elana gershuny)",AUD,FLAC,
"5-26-2002 / Anderson, SC / William A. Floyd Amphitheater (DPA 4022) (george wang)",AUD,FLAC,
"7-20-2002 / Philadelphia, PA / Penn's Landing - DAT(M)",SBD,FLAC,
"7-24-2002 / Cleveland, OH / Tower City Amphitheatre (unk)",AUD,FLAC,
"7-27-2002 / Chicago, IL / A. Finkl & Sons (AT853) (scuba)",AUD,SHN,
"8-2-2002 / Kansas City, KS / City Market (SP-CMC-4) (kcmoejoe)",AUD,FLAC,
"8-3-2002 / St. Louis, MO / Fox Theatre (CoreSound Omnis) (shane e. calhoon)",AUD,SHN,
"8-16-2002 / Berkeley, CA / Greek Theatre (MBHO KA200) (rick bendes)",AUD,FLAC,
"8-17-2002 / Los Angeles, CA / Greek Theatre (unk)",AUD,FLAC,
"8-24-2002 / Austin, TX / The Backyard (DSM-6S) (brian graves)",AUD,FLAC,
"8-25-2002 / Waco, TX / Heart O' Texas Coliseum (MBHO 603A) (ofotd)",AUD,FLAC,
"8-28-2002 / Houston, TX / Verizon Wireless Theater (unk)",AUD,FLAC,
"9-14-2002 / Atlanta, GA / HiFi Buys Amphitheatre (AT4041s) (adam elkins) ",AUD,FLAC,
"11-20-2002 / Syracuse, NY / War Memorial (Terry Sullivan Master)",SBD,FLAC,
"11-20-2002 / Syracuse, NY / Syracuse Oncenter - DAT(M) (duncan oldham)",SBD,FLAC,
,,,
[2003],,,
"4-26-2003 / Boston, MA / Orpheum Theater (RadioShack mics) (jennifer parker)",AUD,SHN,
"7-17-2003 / Los Angeles, CA / Staples Center (AT831) (michael lee)",AUD,SHN,
"7-24-2003 / Selma, TX / Verizon Wireless Amphitheatre (MBHO 603A) (david s.)",AUD,SHN,
