Korn,Versions,File Type
Drive - A,,
,,
,,
[1995],,
"8-9-1995 / San Francisco, CA / The Warfield (unk) (neekrive)",AUD,FLAC
"9-30-1995 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC
,,
[1996],,
"1-16-1996 / Binghamton, NY / Boome County Arena (SS-DSM6) (dssman)",AUD,FLAC
"10-9-1996 / San Francisco, CA / The Fillmore (unk) ",AUD,FLAC
,,
[1999],,
"2-26-1999 / Tucson, AZ / Tucson Convention Center (Sony MZR-50) (CSB) (boen)",AUD,FLAC
"4-16-1999 / Anaheim, CA / Arrowhead Pond - MD(M) (unk) (mr. smashing pumpkins of la proof)",AUD,FLAC
,,
[2000],,
"5-16-2000 / Paris, France / Bercy (ECM 717) (unk) ",AUD,FLAC
"7-30-2000 / Vancouver, BC / GM Place - MD(M) (DSM-S) (unk)",AUD,FLAC
,,
[2002],,
"6-10-2002 / New York, NY / Live at the Hammerstein Ballroom (DVD Audio)",SBD,FLAC
"8-13-2002 / Paredes de Coura, Portugal / Praia Festival - MD(M) (unk)",AUD,FLAC
,,
[2003],,
"12-14-2003 / Universal City, CA / Universal Amphitheater - KROQ Almost Acoustic Christmas (Sony MZ-R700) (the v.u.)",AUD,FLAC
,,
[2004],,
"7-1-2004 / Roskilde, Denmark / Orange Stage - Roskilde Festival (CSC) (jtl)",AUD,FLAC
,,
[2006],,
"3-25-2006 / Baltimore, MD / 1st Mariner Arena",IEM,FLAC
,,
[2007],,
"6-30-2007 / Milan, IT / Idroscalo (DPA 4061s) (pigsinspace)",AUD,FLAC
"10-8-2007 / State College, PA / Bryce Jordan Center (SP-BMC-2) (kornfan02) ",AUD,FLAC
,,
[2008],,
"4-5-2008 / Sa?o Paulo, Brasil / Esta?dio Palestra Ita?lia - MD(M) (Giant Squid Labs) (dkisback)",AUD,FLAC
,,
[2009],,
"6-14-2009 / Interlaken, Switzerland / Greenfield Festival (SP-CMC-4U) (unk)",AUD,FLAC
,,
[2010],,
"4-25-2010 / Guatemala City, Guatemala / Estadio del Ejercito",SBD,FLAC
"5-28-2010 / Wichita, KS / The Cotillion",SBD,FLAC
"6-2-2010 / Lubbock, TX / The Pavilion",SBD,FLAC
"6-5-2010 / Magna, UT / Saltair",SBD,FLAC
"6-12-2010 / Reno, NV / Grand Sierra Theatre",SBD,FLAC
"7-13-2010 / Auburn, WA / White River Amphitheatre",SBD,FLAC
"7-14-2010 / Nampa, ID / Idaho Center Amphitheater",SBD,FLAC
"7-17-2010 / Albuquerque, NM / Hard Rock Casino Albuquerque Presents The Pavilion",SBD,FLAC
"7-24-2010 / Hartford, CT / Comcast Theatre",SBD,FLAC
"7-25-2010 / Montreal, QC, Canada / Heavy MTL - Parc Jean-Drapeau",SBD,FLAC
"8-6-2010 / Clarkston, MI / DTE Energy Music Theatre",SBD,FLAC
"8-7-2010 / Burgettstown, PA / First Niagara Pavilion",SBD,FLAC
"8-8-2010 / Bristow, VA / Jiffy Lube Live",SBD,FLAC
"8-10-2010 / Tampa, FL / 1-800-Ask-Gary Amphitheatre",SBD,FLAC
"8-11-2010 / West Palm Beach, FL / Cruzan Amphitheatre",SBD,FLAC
"8-13-2010 / Dallas, TX / SuperPages.com Center ",SBD,FLAC
"9-28-2010 / Tel Aviv, Israel / Ozzfest - Park HaYarkon",SBD,FLAC
"11-13-2010 / Mexico City, Mexico / Sonorama Festival, Explanada Del Estadio Azteca",SBD,FLAC
"12-4-2010 / Sydney, Australia / Hordern Pavilion",SBD,MP3
"12-5-2010 / Melbourne, Australia / Festival Hall",SBD,FLAC
,,
[2011],,
"12-6-2011 / Hollywood, CA / Hollywood Palladium",SBD,FLAC
,,
[2012],,
"5-5-2012 / Concord, NC / Charlotte Motor Speedway - Carolina Rebellion",SBD,FLAC
"8-3-2012 / Vese?lovka, Russia / Kubana Open Air - Kubana",SBD,FLAC
,,
[2013],,
"8-9-2013 / Budapest, Hungary / O?budai-Sziget - Sziget Festival",TV,AVI
,,
[2015],,
"4-25-2015 / Jacksonville, FL / Rockville Festival (Sony ECM-DS70P) (jitf)",AUD,FLAC 24
"10-30-2015 / Oakland, CA / Fox Theatre (CA-11) (sea_of_cheese) ",AUD,FLAC
,,
[2017],,
"8-21-2017 / Saarbruecken, GER / Saarlandhalle (Tascam DR-07) (bouba3d)",AUD,FLAC
,,
[2021],,
"10-18-2021 / Oakland, CA / Oakland Arena (DPA 4061) (unk)",AUD,FLAC
,,
[2022],,
"2-4-2022 / Los Angeles, CA / Banc of California (Shure MV88) (the v.u.) ",AUD,FLAC
"6-18-2022 / Dessel , Belgium / Graspop Metal Meeting (SP-CMC-8) (unk)",AUD,FLAC
"6-27-2022 / Aarhus, DK / Scandinavian Congress Center (iPhone 13) (unk) ",AUD,FLAC
"8-18-2022 / Maryland Heights, MO / Hollywood Casino Amphitheatre (Sony PCM-A10) (shane e. calhoon) ",AUD,FLAC
"8-23-2022 / Cuyahoga Falls, OH / Blossom Music Center (AT853U) (live2cd)",AUD,FLAC
"8-26-2022 / Mansfield, MA / Xfinity Center (AT933) (tripkore)",AUD,FLAC
,,
[2023],,
"10-7-2023 / San Francisco, CA / Discovery Park - Aftershock Festival (Schoeps MK4s) (tj) ",AUD,FLAC 24
,,
[2025],,
"5-8-2025 / Columbus, OH / Sonic Temple Festival - Temple Stage (Schoeps MK4) (jesse mc)",AUD,FLAC 24
"6-8-2025 / Nurburg, Germany / Rock am Ring (Bild.de Livestream) ",WEB,TS
,,
[MISC],,
1993-XX-XX / Neidermeyer's Mind (Demo Tape),,FLAC
"Korn - Chopped, Screwed, Live & Unglued (2006)",,FLAC
Korn - Live & Rare (2006),,FLAC
Korn - Live At The Hollywood Palladium {AFM 423-0} (2012),,FLAC
Korn - MTV Unplugged (Japanese Edition) (2007),,FLAC
"Korn - 6-10-2002 - New York, NY - Live at the Hammerstein Ballroom",Official Release,DVD
"Korn - Live, Demo's & Blind (BLZD 105)",Silver CD,FLAC
