Linkin Park,Versions,File Type
Drive - B,,
,,
,,
[2000],,
"10-3-2000 / Des Moines, IA / Super Toad Entertainment Center (unk)",AUD,FLAC
"10-31-2000 / Los Angeles, CA / The Palace",AUD,FLAC
"11-30-2000 / Providence, RI / Lupo's Heartbreak Hotel (pitch corrected) - ANA(x) (unk)",AUD,FLAC
"12-17-2000 / Los Angeles, CA / Universal City",AUD,FLAC
"12-21-2000 / Modesto, CA / Modesto Center Plaza (CSB) (elec pryor)",AUD,FLAC
,,
[2001],,
"1-10-2001 / Hamburg, Germany / Gruenspan (unk) (felipe mendes)",AUD,FLAC
"2-3-2001 / San Bernardino, CA / Orange Pavilion ",AUD,FLAC
"2-13-2001 / Pontiac, MI / Clutch Cargo's - MD(x) (Marcsound Omnis) (soccer3)",AUD,FLAC
"2-15-2001 / Pittsburgh, PA / Metropol - Digital8(x) (jeffery smittle)",AUD,DVD
"3-1-2001 / Madrid, Spain / Sala la Riviera (Sony ECM-DS 70P) (unk)",AUD,FLAC
"3-10-2001 / Munchen, Germany / Colosseum (Sony ECM-MS907) (sebastian sobotta)",AUD,FLAC
"3-15-2001 / Berlin, Germany / Columbiahalle ",AUD,FLAC
"3-20-2001 / Deinze, Belgium / Brielpoort (Sony ECM717) (zero79)",AUD,FLAC
"3-24-2001 / London, England / Docklands Arena (unk) (felipe mendes)",AUD,FLAC
"3-25-2001 / Manchester, England / Manchester Apollo ",AUD,FLAC
"5-14-2001 / Tokyo, Japan - Zepp Tokyo *Keep That In Mind",Silver CD,FLAC
"5-15-2001 / Osaka, Japan - Matsushita IMP Hall *About To Break",Silver CD,FLAC
"5-28-2001 / Washington, D.C. / Robert F. Kennedy Memorial Stadium ",SBD,FLAC
"6-3-2001 / Nurburgring, Germany / Rock am Ring  *Animatronic Germany 2001",Silver CD,FLAC
"6-9-2001 / Elkhorn, WI / Alpine Valley Music Theatre (Sony TCS-580V) (keith granz)",AUD,FLAC
"6-22-2001 / Wantagh, NY / Jones Beach Amphitheatre (felipe mendes)",AUD,FLAC
"6-23-2001 / Irvine, CA / Verizon Wireless Amphitheatre",preFM,FLAC
