Local H,Versions,File Type
Drive - B,,
,,
,,
[1991],,
"4-4-1991 / Zion, IL / Short Order Recorder *1991 Scratch Pad Demos (jeff murphy)",SBD,FLAC
,,
[1995],,
"XX-XX-1995 / Chicago, IL / Multiple Unknown Dates (unk)",FM,FLAC
"4-6-1995 / St. Louis, MO / Cicero's - ANA(1) (unk)",SBD,FLAC
,,
[1996],,
"10-18-1996 / Los Angeles, CA / The Roxy (unk) (tapeworm48 transfer)",preFM,FLAC
"10-18-1996 / Los Angeles, CA / The Roxy (WW1)",SBD,FLAC
"11-16-1996 / Dallas, TX / Starplex Amphitheatre - DAT(M) (local h)",SBD,FLAC
"11-29-1996 / Fairfax, VA / The Patriot Center",SBD,FLAC
"11-31-1996 / Boston, MA / The FleetCenter",SBD,FLAC
"12-1-1996 / New Haven, CT / New Haven Coliseum",SBD,FLAC
"12-6-1996 / Atlanta, GA / The Omni ",SBD,FLAC
"12-7-1996 / Indianapolis, IN / Pepsi Coliseum ",SBD,FLAC
"12-9-1996 / Dayton, OH / Nutter Center",SBD,FLAC
"12-10-1996 / Auburn Hills, MI / The Palace of Auburn Hills ",SBD,FLAC
"12-12-1996 / Rosemont, IL / Rosemont Horizon",SBD,FLAC
"12-13-1996 / Milwaukee, WI / Mecca Arena ",SBD,FLAC
,,
[1997],,
"5-31-1997 / Washington, DC / RFK Stadium (YouTube Rip) ",SBD,MP3
"7-29-1997 / New York, NY / Hammerstein Ballroom (Sony ECM-MS907) (anonymous)",AUD,FLAC
"7-30-1997 / Philadelphia, PA / The Electric Factory (unk) (anonymous)",AUD,FLAC
"8-1-1997 / Rockville, MD / 99.1 FM WHFS Radio - Omega Studios",FM,FLAC
"9-6-1997 / Tinley Park, IL / New World Music Theatre - Rockstock '97 (tapeworm48 transfer)",SBD,FLAC
"9-9-1997 / Denver, CO / Mercury Cafe",SBD,FLAC
"9-12-1997 / West Hollywood, CA / The Troubadour ",SBD,FLAC
"10-3-1997 / Lancaster, PA / Chameleon Club",SBD,FLAC
"10-5-1997 / Baltimore, MD / Bohager's ",SBD,FLAC
"10-7-1997 / Montreal, Quebec / Cabaret Music Hall ",SBD,FLAC
"10-14-1997 / New York, NY / The Mercury Lounge (External stereo mic) (unk)",AUD,FLAC
"10-31-1997 / Chicago, IL / The Double Door (Appearing as Nirvana) (SS-DSM 6S) (unk)",AUD,SHN
"10-31-1997 / Chicago, IL / The Double Door (External stereo mic) (unk)",AUD,SHN
,,
[1998],,
"9-12-1998 / Tinley Park, IL / New World Music Theatre",SBD,FLAC
"9-19-1998 / Boston, MA / Karma Club",SBD,FLAC
"10-6-1998 / Hollywood, CA / The Troubadour (CSB) (kevin coons)",AUD,FLAC
