Metallica,Versions,File Type,
Drive - B,,,
,,,
,,,
[1982],,,
"9-18-1982 / San Francisco, CA / The Old Waldorf",AUD,FLAC,
"3-XX-1982 / Downey, CA / Rehearsal's in McGovney's Garage",AUD,FLAC,
"8-4-1992 / Los Angeles, CA / No Remorse - One song",SBD,FLAC,
"9-18-1982 / San Francisco, CA / The Stone - ANA(x) (unk)",AUD,FLAC,
"9-18-1982 / San Francisco, CA / The Stone",AUD,FLAC,
"10-18-1982 / San Francisco, CA / Old Waldorf *Live Before Death Part 1",SBD ,FLAC,
"10-18-1982 / San Francisco, CA / Old Waldorf *Obsession 1982-83 (Source 4)",Silver CD,FLAC,
"10-18-1982 / San Francisco, CA / Old Waldorf *Night of the Rivvit Heads (MS500) (Source 6)",Silver CD,FLAC,
"10-18-1982 / San Francisco, CA / Old Waldorf  (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"11-29-1982 / San Francisco, CA / The Old Waldorf",SBD,FLAC,
"11-30-1982 / San Francisco, CA / Mabuhay Gardens - ANA(x) (unk)",AUD,FLAC,
,,,
[1983],,,
"3-5-1983 / San Francisco, CA / The Stone *Cliff's First Show",AUD,FLAC,
"3-19-1983 / San Francisco, CA / The Stone - ANA(x) (bubba420)",AUD,FLAC,
"3-19-1983 / San Francisco, CA / The Stone (demolition)",AUD,DVD,
"4-8-1983 / Staten Island, NY / Paramount Theater (unk)",AUD,FLAC,
"4-9-1983 / Brooklyn, NY / L'Ampour *Dave Mustaine's last show (Realistic mic) (dave jr.)",AUD,FLAC,
"4-24-1983 / Staten Island, NY / Paramount Theater (unk)",AUD,FLAC,
"7-29-1983 / Yonkers, NY / Rising Sun *Long Live Music (LLM018) - ANA(x)",AUD,FLAC,
"8-5-1983 / Elmhurst, NY / L'Amour East",AUD,FLAC,
"8-10-1983 / Balitmore, MD / Coast to Coast",AUD,FLAC,
"8-28-1983 / Las Cruces, NM / Corbett Center Ballroom",AUD,APE,
"8-30-1983 / Reseda, CA / Country Club - ANA(x) (unk)",AUD,FLAC,
"11-4-1983 / Reseda, CA / Country Club",AUD,FLAC,
"11-26-1983 / San Francisco, CA / The Stone",AUD,FLAC,
"12-15-1983 / Chicago, IL / Broadway Jack's (Early show) (unk)",AUD,FLAC,
"12-15-1983 / Chicago, IL / Broadway Jack's (Late show) (unk)",AUD,FLAC,
"12-18-1983 / Cleveland, OH / Agora",SBD,FLAC,
"12-18-1983 / Cleveland, OH / Agora (Source 1 - Cleveland '83) (Vinyl-sourced)",AUD,FLAC,
"12-18-1983 / Cleveland, OH / Agora (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"12-30-1983 / Aberdeen, NJ / Fountain Casino (unk)",AUD,FLAC,
,,,
