Miles Davis,Versions,File Type
Drive - B,,
,,
,,
[1946],,
"3-31-1946 / Los Angeles, CA / Streets of Paris - Unk Radio Broadcast",FM ,FLAC
"3-31-1946 / Los Angeles, CA / Streets of Paris - Unk Radio Broadcast",FM ,FLAC
"3-31-1946 / Los Angeles, CA / Streets of Paris - Unk Radio Broadcast",FM ,FLAC
"3-31-1946 / Los Angeles, CA / Streets of Paris - Unk Radio Broadcast",FM ,FLAC
,,
[1947],,
"11-XX-1947 / Chicago, IL / Argyle Show Lounge",AUD ,FLAC
"12-XX-1947 / Waukegan, IL / Unknown Venue",AUD ,FLAC
"12-XX-1947 / Waukegan, IL / Unknown Venue",FM,FLAC
,,
[1948],,
"XX-XX-1948 / Chicago, IL / Pershing Ballroom",AUD ,FLAC
"1-XX-1948 / Chicago, IL / New Savoy Ballroom",AUD ,FLAC
"1-XX-1948 / Chicago, IL / New Savoy Ballroom",AUD ,FLAC
"9-4-1948 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM ,FLAC
"9-18-1948 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM ,FLAC
"9-25-1948 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM ,FLAC
"9-25-1948 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM ,FLAC
"12-11-1948 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM,FLAC
,,
[1949],,
"1-17-1949 / New York, NY / WPIX Braodcast - All Star Jam Session",FM,FLAC
"1-17-1949 / New York, NY / WPIX Braodcast - All Star Jam Session",,FLAC
"2-19-1949 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM,FLAC
"2-26-1949 / New York, NY / Royal Roost - WMCA Radio Broadcast",FM,FLAC
"3-4-1949 / New York, NY / CBS-TV Studios",TV,FLAC
"5-15-1949 / Paris, France / Salle Pleyel - ORTF Radio Broadcast",FM,SHN
"12-24-1949 / New York, NY / Carnegie Hall",FM,FLAC
,,
[1950],,
"2-18-1950 / New York, NY / WNYC Studio",FM,SHN
"6-30-1950 / New York, NY / Birdland",AUD,FLAC
,,
[1951],,
"1-19-1951 / New York, NY / Hotel Diplomat Ballroom",AUD,FLAC
,,
[1952],,
4-25-1952 / 1952-04-25,FM,SHN
"4-25-1952 / New York, NY / Birdland (WJZ Radio)",FM,FLAC
"4-26-1952 / New York, NY / Birdland (WJZ Radio)",FM,FLAC
"5-2-1952 / New York, NY / Birdland (WJZ Radio)",FM,SHN
"5-2-1952 / New York, NY / Birdland (WJZ Radio)",FM,FLAC
"5-3-1952 / New York, NY / Birdland (WJZ Radio)",FM,FLAC
"5-3-1952 / New York, NY / Birdland (WJZ Radio)",,FLAC
,,
[1953],,
