Nine Inch Nails,Versions,File Type
Drive - E,,
,,
,,
[1988],,
10-31-1988 /  *Show Up Or Throw Up,Silver CD,FLAC
,,
[1989],,
"12-7-1989 / Boston, MA / The Axis Club",AUD,FLAC
"12-9-1989 / Newark, NJ / Pipeline",AUD,FLAC
,,
[1990],,
"1-26-1990 / Chicago, IL / Cabaret Metro",AUD,FLAC
"1-30-1990 / San Francisco, CA / Warfield Theater",AUD,FLAC
"2-1-2990 / Los Angeles, CA / Universal Amphitheater",AUD,FLAC
"2-2-1990 / San Diego, CA / California Theater",AUD,FLAC
"2-4-1990 / Las Vegas, NV / Calamity Jane's",AUD,FLAC
"2-15-1990 / Tampa, FL / Cuban Club (dave misty)",AUD,FLAC
"2-17-1990 / Melbourne, FL / Asylum",AUD,FLAC
"2-24-1990 / Knoxville, TN / Bijou Theatre (trevor blake)",AUD,FLAC
"2-25-1990 / Charlotte, NC / 13.13 Club *Industrial Iguanas (doodee)",Silver CD,FLAC
"2-25-1990 / Charlotte, NC / 13.13 Club (doodee)",AUD,FLAC
"3-5-1990 / Philadelphia, PA / Trocadero Theatre (unk)",AUD,FLAC
"3-5-1990 / Philadelphia, PA / Trocadero Theatre (unk2)",AUD,FLAC
"3-10-1990 / Boston, MA / Citi Club *By Bizarre Hands (dassarri transfer)",Silver CD,FLAC
"3-10-1990 / Boston, MA / Citi Club (Sony WM-D6)",AUD,FLAC
"3-10-1990 / Boston, MA / Citi Club *Killer Instinct (Teddy Bear Records)",Silver CD,FLAC
"3-20-1990 / Houston, TX / Sullen Auditorium",AUD,FLAC
"4-2-1990 / Cincinnati, OH / Bogart's",AUD,FLAC
"4-3-1990 / Cleveland, OH / Phantasy Theatre (pud records release)",AUD,FLAC 24
"4-5-1990 / Milwaukee, WI / Marquette University",AUD,FLAC
"4-7-1990 / Chicago, IL / Metro (ECM-909) (jb)",AUD,FLAC
"4-11-1990 / New York, NY / The Ritz (Sony WM-D6)",AUD,FLAC
"4-11-1990 / New York, NY / The Ritz (unk)",AUD,FLAC
"4-11-1990 / New York, NY / The Ritz (nin)",AUD,MP4  
"4-13-1990 / Richmond, VA / The Floodzone",AUD,FLAC
"5-22-1990 / Palo Alto, CA / The Edge - Hate 1990 Warm-up show",AUD,FLAC
"5-22-1990 / Palo Alto, CA / The Edge - Hate 1990 Warm-up show (antimusik)",AUD,MP4
"5-23-1990 / San Francisco, CA / The I-Beam",AUD,FLAC
"6-26-1990 / Dallas, TX / Video Bar - VHS(1)",PRO,DVD
"6-26-1990 / Dallas, TX / Video Bar *Hammer Hard (Home Records)",Silver CD,FLAC
"6-28-1990 / Houston, TX / Numbers Club",AUD,FLAC
"7-1-1990 / Melbourne, FL / Powerstation *Missletwister",Silver CD,FLAC
"7-1-1990 / Melbourne, FL / Powerstation - AUD(M)",AUD,FLAC
"7-3-1990 / Melbourne, FL / Club Nu",AUD,FLAC
"7-11-1990 / Washington, D.C. / 9:30 Club (Master 3/4"" Tape)",SBD,FLAC
"7-11-1990 / Washington, D.C. / 9:30 Club (Master 3/4"" Tape)",AUD,MP4
"7-14-1990 / Philadelphia, PA / Grand Hall - Creese Center Drexel University",AUD,FLAC 24
"7-16-1990 / New York, NY / Rock Academy (New Music Seminar) (Sony WM-D6)",AUD,FLAC
"7-18-1990 / Newark, NJ / The Pipeline (Surprise Show)",AUD,DVD
"7-27-1990 / Chicago, IL / Metro (ECM-909) (jb)",AUD,FLAC
"7-28-1990 / Detroit, MI / St. Andrew's Hall - CASS(M) (Radioshack mic) (maashu)",AUD,FLAC
"8-4-1990 / Cleveland, OH / Empire Club",AUD,DVD
"12-29-1990 / Chicago, IL / Cabaret Metro *Industrial Iguanas",Silver CD,FLAC
"12-29-1990 / Chicago, IL / Cabaret Metro (inc)",AUD,FLAC
,,
[1991],,
"1-4-1991 / Denver, CO / Gothic Theatre (10pm show) (sp)",AUD,FLAC 24
"1-22-1991 / Washington, D.C. / 9:30 Club (10pm show) (teresa stubs)",SBD,MP4
"1-22-1991 / Washington, D.C. / 9:30 Club (10pm show) (teresa stubs)",SBD,M4A
"1-24-1991 / New York, NY / The Academy",AUD,FLAC
"1-24-1991 / New York, NY / The Academy",AUD,DVD
"1-26-1991 / Boston, MA / The Citi Club",AUD,MP3
"1-31-1991 / Los Angeles, CA / Universal Amphitheater *Seething With Animosity",Silver CD,FLAC
"2-1-1991 / San Francisco, CA / The Warfield",AUD,FLAC
"2-1-1991 / San Francisco, CA / The Warfield (sal. e)",AUD,FLAC 24
"2-6-1991 / Hollywood, CA / Helter Skelter - Stardust Ballroom (richard white)",AUD,MP4
"2-6-1991 / Hollywood, CA / Helter Skelter - Stardust Ballroom",AUD,DVD
"7-12-1991 / New Orleands, LA / Tipitina's (Lollapalooza Warm-up show) *A Demon Possessed (ECM-909) (jl)",Silver CD,FLAC
"7-12-1991 / New Orleands, LA / Tipitina's (Lollapalooza Warm-up show) *Solid Gold Hell (ECM-909) (jl)",Silver CD,FLAC
"7-20-1991 / San Diego, CA / Devore Stadium (Lollapalooza)",AUD,FLAC
"7-21-1991 / Laguna Hills, CA / Irvine Meadows (Lollapalooza) (inc)",AUD,FLAC
"7-23-1991 / Laguna Hills, CA / Irvine Meadows (Lollapalooza) *A Demon Possessed",Silver CD,FLAC
"7-26-1991 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (Aiwa)",AUD,FLAC
"7-26-1991 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (ECM-990)",AUD,FLAC
"7-26-1991 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (unk)",AUD,FLAC
