Oasis,Versions,File Type,
Drive - F,,,
,,,
,,,
[1992],,,
XX-XX-1992 / The Untold Story (Various Demos) - OACD006,SBD,FLAC,
"1-14-1992 / Manchester, UK / The Boardwalk",Demo,FLAC,
,,,
[1993],,,
"XX-XX-1993 / Manchester, England / The Boardwalk (Rehearsal Clips)",,FLAC,
XX-XX-1993 / Boardwalk Rehearsal Session,,FLAC,
"XX-XX-1993 / Chesire, UK / Signal Radio Sessions",,FLAC,
8-11-1993 / Wales / Monnoy Valley Studios,Studio,FLAC,
"12-22-1993 / London, UK / Maida Vale Studios (BBC6 Music)",FM,FLAC,
,,,
[1994],,,
"2-6-1994 / Perth, Scotland / Gleneagles (johnky)",SBD,FLAC,
"3-24-1994 / London, UK / Oxford Street 100 Club",AUD,FLAC,
"4-7-1994 / Glasgow, UK / Tramway",AUD,APE,
"5-7-1994 / London, UK / Old Trout - Windsor",AUD,FLAC,
"5-13-1994 / London, England / Maida Vale Studios",FM,FLAC,
6-2-1994 / Scotland / Glenagles,SBD,FLAC,
"6-4-1994 / London, UK / Royal Albert Hall - Creation Records Birthday Party",SBD,FLAC,
"6-8-1994 / London, UK / The Marquee",AUD,FLAC,
"6-11-1994 / Preston, England / Avenham Park",AUD,FLAC,
"6-12-1994 / Glasgow, Scotland / Cathouse",AUD,FLAC,
"6-13-1994 / Glasgow, Scotland / Cathouse",AUD,FLAC,
"6-26-1994 / Pilton, England / Glastonbury - NME Stage",AUD,FLAC,
"6-26-1994 / Pilton, England / Glastonbury - NME Stage",SBD,FLAC,
"6-26-1994 / Pilton, England / Glastonbury Festival - NME Stage (BBC iPlayer) ",PRO,TS,
"7-21-1994 / New York, NY / Wetlands",SBD,FLAC,
"7-31-1994 / Hamilton, Scotland UK / T in the Park Festival",AUD,FLAC,
"8-11-1994 / Wolverhampton, UK / Wulfrun Hall",SBD,FLAC,
"8-13-1994 / Hultsfred, Sweden / Hultsfred Festivalin",SBD,FLAC,
"8-13-1994 / Hultsfred, Sweden / Hultsfred Festivalin *Slide Away",Silver CD,FLAC,
"8-15-1994 / Nottingham, UK / Rock City",AUD,FLAC,
"8-16-1994 / London, UK / Kentish Town Forum",AUD,FLAC,
"8-17-1994 / Hultsfred, Sweden / Hultsfred Festivalin *Forever Live",Silver CD,FLAC,
"8-18-1994 / London, UK / Astoria Theatre",AUD,FLAC,
"8-21-1994 / London, UK / Borderline Club / Borderline Sessions *Was There When",Silver CD,FLAC,
8-28-1994 / Holland / Lowlands Festival,FM,FLAC,
8-28-1994 / Holland / Lowlands Festival,AUD,FLAC,
"8-30-1994 / London, UK / Virgin Megastore",AUD,FLAC,
"8-31-1994 / Buckley, UK / Tivoli",SBD,FLAC,
"9-2-1994 / Stockholm, Sweden / Gino's",AUD,FLAC,
"9-14-1994 / Tokyo, Japan / Club Quattro *Gig Forever",Silver CD,FLAC,
"9-15-1994 / Tokyo, Japan / Club Quattro *Gig Forever",AUD,FLAC,
"9-16-1994 / Tokyo, Japan / Club Quattro *Gig Forever",AUD,FLAC,
"9-18-1994 / Tokyo, Japan / Club Quattro *Gig Forever",AUD,FLAC,
"9-19-1994 / Nagoya, Japan / Nagoya Club Quattro",Siilver CD,FLAC,
"9-23-1994 / Seattle, WA / Moe's",AUD,FLAC,
"9-26-1994 / San Francisco, CA / Bottom of the Hill",AUD,FLAC,
"9-27-1994 / Sacramento, CA / Malarkey's (Soundcheck)",AUD,FLAC,
"9-29-1994 / Los Angeles, CA / The Whiskey A Go Go",AUD,FLAC,
"9-29-1994 / Los Angeles, CA / The Whiskey A Go Go",SBD,FLAC,
"9-29-1994 / Los Angeles, CA / The Whiskey A Go Go",MTX,FLAC,
"10-14-1994 / Minneapolis, MN / The Uptown Bar",AUD,FLAC,
"10-15-1994 / Chicago, IL / Cabaret Metro",SBD,FLAC,
"10-18-1994 / Cleveland, OH / Grog Shop",AUD,FLAC,
"10-19-1994a / Toronto, Ontario / In Store - Unplugged Vol. 2 (josu4ever remaster)",Silver CD,FLAC,
"10-19-1994 / Toronto, Ontario / Lee's Palace (unk) (44matsu) ",AUD,FLAC 24,
"10-28-1994 / Hoboken, NJ / Maxwell's",AUD,FLAC 24,
"10-29-1994 / New York, NY / Wetlands",SBD,FLAC,
"10-29-1994 / New York, NY / Wetlands",,FLAC,
"10-29-1994 / New York, NY / Wetlands *Live At Wetlands 1994 (TREON Remaster) ",SBD,FLAC,
"11-2-1994 / Paris, France and others / *Paris 94 and Demos (KMACD006)",Silver CD,FLAC,
"11-3-1994 / Lille, France / L'Aeronef",AUD,FLAC,
"11-4-1994 / Paris, France / La Cigale",FM,FLAC,
"11-4-1994 / Paris, France / La Cigale",AUD,FLAC,
"11-16-1994 / Stockholm, Sweden / The Palladium",AUD,FLAC,
"11-23-1994 / Frankfurt, Germany / Batchkapp",AUD,FLAC,
"11-25-1994 / Amsterdam, The Netherlands / Paradiso",FM,FLAC,
"11-28-1994 / Brussels, Belgium / Botanieve",AUD,FLAC,
"11-30-1994 / Southampton, UK / Guildhall",AUD,FLAC,
"12-1-1994 / Sheffield, UK / Octagon",AUD,FLAC,
"12-4-1994 / Cambridge, England / Corn Exchange",FM,FLAC + MP3,
"12-11-1994 / Wolverhampton, UK / Civic Hall (BBC Transcription Disc)",SBD,FLAC,
"12-12-1994 / Cardiff, Wales / Astoria",SBD,FLAC,
"12-13-1994 / London, UK / Hammersmith Palais",AUD,APE,
"12-16-1994 / London, UK / Shepherd's Bush Empire",AUD,SHN,
"12-17-1994 / Liverpool, UK / Royal Court Theatre *Lost Liverpool Tapes 1994",Silver CD,M4A,
"12-18-1994 / Manchester, England / Manchester Academy *Hometown Showdown",SBD,SHN,
"12-29-1994 / Brighton, UK / The Centre",AUD,FLAC,
,,,
[1995],,,
"1-28-1995 / Seattle, WA / The DV8",AUD,FLAC,
"1-29-1995 / Vancouver, Canada / Commodore Ballroom *Taken from Listen Up",Silver CD,FLAC,
"2-1-1995 / San Francisco, CA / The Fillmore",AUD,FLAC,
"2-3-1995 / Hollywood, CA / The Palace",AUD,FLAC,
"2-11-1995 / Dallas, TX / Deep Ellum Live",AUD,FLAC,
"2-11-1995 / Dallas, TX / Deep Ellum Live - DAT(M) (chris milazzo)",AUD,FLAC,
"2-13-1995 / Houston, TX / Urban Art Bar",AUD,FLAC,
"2-15-1995 / Memphis, TN / New Daisy Theatre",AUD,FLAC,
"2-25-1995 / Vancouver, Canada / Commodore Ballroom *Listen Up",Silver CD,FLAC,
"3-7-1995 / Philadelphia, PA / Theatre of the Living Arts (TLA)",AUD,FLAC,
"3-8-1995 / New York, NY / The Academy",AUD,FLAC,
"3-10-1995 / Providence, RI / Lupo's",AUD,FLAC,
"3-10-1995 / Providence, RI / Lupo's *Live Forever (Kiwi 035 A) ",Silver CD,FLAC,
"3-10-1995 / Providence, RI / Lupo's Heartbreak Hotel (Sony PC-62) (phil h.) ",AUD,FLAC,
"3-11-1995 / Boston, MA / Avalon",AUD,FLAC,
"3-14-1995 / Toronto, Canada / Phoenix Theatre",AUD,FLAC,
"3-20-1995 / Grand Rapids, MI / Orbit Room",AUD,FLAC,
"3-24-1995 / Minneapolis, MN / First Avenue",AUD,FLAC,
"3-24-1995 / Minneapolis, MN /- First Avenue *First Avenue 1995 - DAT(M)",AUD,FLAC,*Possibly SBD
"3-25-1995 / Milwaukee, WI / Rave at Eagles",AUD,FLAC,
"4-14-1995 / London, UK / The White Room",SBD,FLAC,
"4-17-1995 / Southend, UK / Cliffs Pavilion *Live By the Sea",SBD,FLAC,
"4-20-1995 / Paris, France / Le Bataclan",AUD,FLAC,
4-22-1995 / Sheffield  / The Arena,AUD,FLAC,
"6-1-1995 / London, England / 100 Club (Noel guesting with Paul Weller)",AUD,FLAC,
"6-23-1995a / Somerset, UK / Glastonbury Festival (Noel)",SBD,FLAC,
6-23-1995 / Glastonbury Festival - Backstage,UNK,FLAC,
"6-23-1995 / Pilton, England / Glastonbury Festival - Worthy Farm",FM,FLAC,
6-30-1995 / Denmark / Roskilde Festival,FM,SHN,
"7-8-1995 / Belfort, France / Eurockeennes Festival",Broadcast,FLAC,
"7-8-1995 / Belfort, France / Eurokeenes Festival (MTV Broadcast)",PRO,DVD,
"7-9-1995 / Duren, Germany / Badesee",AUD,FLAC,
7-14-1995 / Scotland / Irvine Beach,SBD,FLAC,
"7-18-1995 / Madrid, Spain / Plaza de Toros de Las Ventas",AUD,FLAC,
