Our Lady Peace,Versions,File Type
Drive - B,,
,,
,,
[1995],,
"5-3-1995 / Dallas, TX / Trees - DAT(M) (SS-DSM6) (chris m.)",AUD,FLAC
"11-27-1995 / Winnipeg, MB / Rendezvous (unk) (jfaninord)",AUD,FLAC
,,
[1997],,
"3-15-1997 / Whistler, BC, Canada / YTV Snow Jam",TV,DVD
"8-19-1997 / Hollywood, CA / Troubadour (jfaninord)",preFM,FLAC
,,
[1998],,
"XX-XX-1998 / Toronto, ON / Christmas Greeting (PPU Christmas Greeting VHS)",AUD,FLAC
"2-11-1998 / Montreal, QC / Molson Centre (PPU) ",Silver CD,FLAC
"6-9-1998 / London, England / The Borderline - ANA(M) (CSB) (3xc0wb0y)",AUD,FLAC
"8-12-1998 / Lake Buena Vista, FL / House of Blues (CSC) (jfaninord)",AUD,FLAC
,,
[1999],,
"10-15-1999 / Auburn Hills, MI / The Palace of Auburn Hills - ECM-MS907) (live2cd)",AUD,FLAC
,,
[2000],,
"8-4-2000 / Vancouver, BC / BC Place (DSM-6S) (faninor)",AUD,FLAC
,,
[2001],,
"5-22-2001 / Toledo, OH / The Main Event (CSB) (live2cd)",AUD,FLAC
,,
[2002],,
"7-12-2002 / Toledo, OH / Hard Hat Cafe (CSB) (charles dewey cole)",AUD,FLAC
"8-12-2002 / Rochester, NY / Water Street Music Hall (CSB) (h.d.) ",AUD,FLAC
"9-4-2002 / London, UK / Union of London University - DAT(M) (Marantz EM-8) (gary watson)",AUD,FLAC
"12-8-2002 / Clearwater, FL / Coachman Park - Next Big Thing (unk) (jfaninord)",AUD,FLAC
,,
[2003],,
"2-7-2003 / Rochester, NY / Clark Gym - Rochester Institute of Technology (Sony ECM-MS907) (mark loj)",AUD,FLAC
,,
[2005],,
"10-14-2005 / Orlando, FL / Hard Rock Live",AUD,FLAC
"11-15-2005 / Huntingdon, PA / Juniata College Memorial Gym (CSB) (xjsb125) ",AUD,FLAC
,,
[2006],,
"4-27-2006 / Vancouver, BC / Centre In Vancouver for Performing Arts (CSB + CSC) (faninor, nikki 4982, xjsb125)",MIX,FLAC
,,
[2009],,
"7-28-2009 / Hollywood, CA / The Troubadour (DPA 4060s) (faninor) ",AUD,FLAC
"9-12-2009 / Grand Rapids, MI / The Orbit Room (DPA 4060) (live2cd)",AUD,FLAC
,,
[2010],,
"3-26-2010 / North Tonawanda, NY / Riviera Theatre (CSB) (nikki4982)",AUD,FLAC
"05-22-2010 / Victoria, British Columbia / Royal Theatre",AUD,FLAC
,,
[2012],,
"4-6-2012 / Buffalo, NY / Club Infinity (SP-CMC-2) (hater-high.com) ",AUD,FLAC
"7-12-2002 / Toledo, OH / Hard Hat Cafe",AUD,FLAC
,,
