Primus,Versions,File Type,
Drive - F,,,
,,,
,,,
[1987],,,
"XX-XX-1987 / Berkeley, CA (Practice sessions and Live)",,FLAC,
"XX-XX-1987 / Berkeley, CA",SBD,FLAC,
"7-13-1987 / Oakland, CA / The Omni",AUD,FLAC,
"7-13-1987 / Oakland, CA / The Omni (fixed)",AUD,FLAC,
"7-13-1987 / Oakland, CA / The Omni (unk)",AUD,FLAC,
,,,
[1988],,,
"XX-XX-1988 / Berkeley, CA",SBD #1,FLAC,
"XX-XX-1988 / Berkeley, CA",SBD #2,FLAC,
,,,
[1989],,,
"XX-XX-1989 / San Francisco, CA / *Sunday Night Live",AUD,FLAC,
"2-25-1989 / Berkeley, CA / Berkeley Square",AUD,FLAC,
"5-3-1989 / Palo Alto, CA / Stanford University - KZSU 91.9",FM,FLAC,
"8-26-1989 / Sacramento, CA / Cattle Club",AUD,FLAC,
"9-30-1989 / Oakland, CA / The Omni - AUD>CASS(1)",AUD,FLAC,
"10-24-1989 / Cleveland, OH / Phantasy Club",AUD,FLAC,
,,,
[1990],,,
"2-3-1990 / San Francisco, CA / I-Beam",AUD,FLAC,
"2-17-1990 / San Francisco, CA / Full Moon Saloon",AUD,FLAC,
"3-31-1990 / Berkeley, CA / Club AMP",AUD,FLAC,
"4-14-1990 / Palo Alto, CA / (Unknown Venue)",AUD,FLAC,
"4-20-1990 / Oakland, CA / The Omni - Informant Thrash Awards",AUD,FLAC,
"5-4-1990 / San Francisco, CA / The I-Beam (Bob Cock and the Yellow Sock)",AUD,FLAC,
"6-10-1990 / San Francisco, CA / Haight Street Fair",AUD,FLAC,
"6-22-1990 / Santa Cruz, CA / The Catalyst",AUD,FLAC,
"6-30-1990 / Oakland, CA / The Omni - ANA(3)",AUD,FLAC,
"7-21-1990 / Santa Cruz, CA / The Catalyst (Nakamichi CM300) (markp)",AUD,FLAC,
"8-16-1990 / Cleveland, OH / Peabody's Down Under",AUD,FLAC,
"8-18-1990 / Ann Arbor, MI / Rick's American Cafe (Sony 909)",AUD,FLAC 24,
"8-24-1990 / Montreal, PQ / Les Foufounes ?lectriques",AUD,FLAC,
"8-30-1990 / Boston, MA / Axis - ANA(x) (unk) (sluggo)",AUD,FLAC,
"9-5-1990 / Syracuse, NY / Lost Horizon",AUD,FLAC,
"10-5-1990 / Hollywood, CA / Club Lingerie",AUD,FLAC,
"11-2-1990 / Mezzago, Italy / Bloom *Live at Bloom (Philips FC731)",AUD,FLAC,
"11-4-1990 / Dienze, Belgium / Futurama Festival (Sony WM-D3)",AUD,FLAC,
"11-13-1990 / Stuttgart, Germany / Universum",AUD,FLAC,
"11-20-1990 / Amsterdam, Holland / Paradiso *Paradiso Holland 1990",AUD,FLAC,
"11-21-1990 / Amsterdam, The Netherlands / Amstel Studios (VPRO Radio) (HJ 009/010)",Silver CD,FLAC,
"11-21-1990 / Amsterdam, The Netherlands / Amstel Studios",FM,FLAC,
"11-25-1990 / Eindhoven, The Netherlands / Effenaar (fixed)",AUD,FLAC,
"12-1-1990 / Liverpool, England / Stairways Club - ANA(3)",AUD,FLAC,
"12-1-1990 / Liverpool, England / Stairways Club - VHS(x)",AUD,DVD,
"12-11-1990 / Portland, OR / Chiles Center",AUD,FLAC,
"12-15-1990 / San Francisco, CA / Civic Auditorium",AUD,FLAC,
"12-30-1990 / San Francisco, CA / Nightbreak",AUD,FLAC,
,,,
[1991],,,
"2-8-1991 / San Jose, CA / San Jose State Student Union Ballroom - ANA(2)",AUD,FLAC,
"3-20-1991 / Fresno, CA / Wilson Theatre - ANA(M)",AUD,FLAC,
"5-23-1991 / Santa Clara, CA / One Step Beyond",AUD,FLAC,
"6-20-1991 / Milano, Italy / Prego Club - ANA(M) (Nakamichi) (38f)",AUD,FLAC,
"6-25-1991 / Deinze, Belgium / Brielpoort (Sony WM-D3)",AUD,FLAC,
"7-6-1991 / Costa Mesa, CA / Pacific Amphitheatre - CASS(M)",AUD,FLAC,
"7-7-1991 / Mountain View, CA / Shoreline Amphitheatre (CM300) (markp)",AUD,FLAC,
"7-20-1991 / New Orleans, LA / Tipitina's",AUD,FLAC,
"7-24-1991 / Miami, FL / Washington Square - ANA(2)",AUD,FLAC,
"7-31-1991 / Philadelphia, PA / Theatre of the Living Arts (TLA) (Schoeps) (billydee)",AUD,FLAC,
"8-2-1991 / Trenton, NJ / City Gardens - VHS(1)",AUD,DVD,
"8-4-1991 / Boston, MA / The Axis - CASS(M)",AUD,FLAC,
"8-6-1991 / Toronto, Ontario / Lee's Palace",AUD,FLAC,
"8-29-1991 / San Francisco, CA / The Warfield",AUD,FLAC,
"8-29-1991 / San Francisco, CA / The Warfield - ANA(2)",AUD,FLAC,
"10-18-1991 / Fresno, CA / Wilson Theatre",AUD,FLAC,
"10-19-1991 / Irvine, CA / Irvine Meadows - CASS(M)",AUD,FLAC,
"10-26-1991 / San Francisco, CA / Fashion Center (K.I.T.S. 105.3FM Listener Appreciation Party)",FM,FLAC,
"11-3-1991 / Minneapolis, MN / First Avenue *Resident Weirdos (CD-EYE-08)",Silver CD,FLAC,
"11-3-1991 / Minneapolis, MN / First Avenue - ANA(1) (david m.)",,FLAC,
"11-5-1991 / Madison, WI / Orpheum Theatre",AUD,FLAC,
"11-6-1991 / Milwaukee, WI / Central Park Ballroom (Sony Stock Mic)",AUD,FLAC,
"11-13-1991 / Cleveland, OH / Agora Theater (Sony WM-D3) (juggleslugg)",AUD,FLAC,
"11-19-1991 / New Haven, CT / The Palace",AUD,FLAC,
"11-29-1991 / Miami Beach, FL / Cameo Theater - VHS(2)",AUD,DVD,
"12-5-1991 / Austin, TX / Austin Opera House (2 Sony 300 Cameras)",AUD,DVD,
"12-6-1991 / Houston, TX / The Unicorn - ANA(3)",AUD,FLAC,
,,,
[1992],,,
"1-21-1992 / Los Angeles, CA / The Cathouse - CASS(M)",AUD,FLAC,
"1-21-1992 / Los Angeles, CA / The Cathouse",SBD,FLAC,
"1-21-1992 / Los Angeles, CA / The Cathouse - DAT(3) (scottiem)",SBD,FLAC,
"1-25-1992 / Fresno, CA / Selland Arena",AUD,FLAC,
"1-29-1992 / Oakland, CA / Oakland Coliseum (Sony ECM-990)",AUD,FLAC,
"2-23-1992 / New Orleans, LA / Lakefront Arena (includes soundcheck)",AUD,FLAC,
"2-25-1992 / Pensacola, FL / Civic Center",AUD,FLAC,
"3-7-1992 / Chapel Hill, NC / Smith Center",AUD,FLAC,
"3-12-1992 / Binghampton, NY / Broome County Arena (Sony Tie Clip barrel mic) (j.p.)",AUD,FLAC,
"3-12-1992 / Binghampton, NY / Broome County Arena (unk)",AUD,FLAC,
"3-20-1992 / San Rafael, CA / Marin Center Exhibit Hall *Gone Fishing (GM-19)",Silver CD,FLAC,
"4-12-1992 / Birmingham, England / National Exhibition Center",AUD,FLAC,
"4-18-1992 / London, England / Wembley Arena",AUD,FLAC,
"4-23-1992 / Cologne, Germany / Sporthalle - Hi8(M)",AUD,DVD,
"4-24-1992 / Frankfurt, Germany / Festhalle (inc) (unk)",AUD,FLAC,
"4-27-1992 / Berlin, Germany / Eissporthalle",AUD,FLAC,
"5-1-1992 / Paris, France / Le Zenith",AUD,FLAC,
"6-6-1992 / Berkeley, CA / Greek Theater",AUD,FLAC,
"6-6-1992 / Berkeley, CA / William Randolph Hearst Greek Theatre - ANA(1) (unk) (koondog)",AUD,FLAC,
"8-29-1992 / New York, NY / Yankee Stadium",AUD,FLAC,
"9-2-1992 / Philadelphia, PA / Veteran's Stadium",AUD,FLAC,
"9-9-1992 / Pontiac, MI / Silverdome - ANA(1) (unk)",AUD,FLAC,
"9-21-1992 / Morrison, CO / Red Rocks Amphitheater",AUD,FLAC,
"12-31-1992 / San Francisco, CA / Bill Graham Civic Center",AUD,FLAC,
XX-XX-1992 / Europe / *Here Come the Bastards,Silver CD,FLAC,
,,,
[1993],,,
"6-18-1993 / Vancouver, BC / Thunderbird Stadium (Lollapalooza)(Sony ECM-909) (audioarchivist)",AUD,FLAC,
"6-19-1993 / George, WA / The Gorge",AUD,FLAC,
"6-20-1993 / Portland, OR / Portland Meadows",AUD,FLAC,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheatre",AUD,FLAC,
"6-22-1993 / Mountain View, CA - Shoreline Amphitheatre (Patched show) (neekrive freakout tht)",MIX,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheatre (Sony D3)",AUD,FLAC,
