Radiohead,Versions,File Type,
Drive - A,,,
,,,
,,,
[1986],,,
"XX-XX-1986 / Abingdon School Demo *On A Friday (Wormwood Studios, Oxfordshire) (Direct transfer)",,FLAC 24,
,,,
[1988],,,
XX-XX-1988 / Demos *On A Friday - ANA(2) (dave pegg mix/engineer),,FLAC,
,,,
[1990],,,
XX-XX-1990 / Shindig Summer Demos (On A Friday) - ANA(1),,FLAC,
9-XX-1990 / Union Street Demo *On A Friday 14 Track,,SHN,
11-XX-1990 / Exeter University,,MP4,
,,,
[1991],,,
XX-XX-1991 / On A Friday - Unknown Show,SBD,FLAC,
4-XX-1991 / On A Friday - 3 Track Demo,,FLAC,
10-XX-1991 / Manic Hedgehog Demo Tape,,FLAC,
,,,
[1992],,,
XX-XX-1992 / On A Friday/Radiohead - Unknown Show,SBD,FLAC,
"5-13-1992 / London, UK / Islington Powerhaus (unk) (ham_green transfer)",AUD,FLAC,
"6-13-1992 / London, UK / Maida Vale Studio / BBC Radio1 / Evening Session",FM,SHN,
"11-9-1992 / Wolverhampton, England / Wulfrun Hall",AUD,FLAC,
"11-11-1992 / Huddersfield, UK / Huddersfield University - CASS(M)",SBD,FLAC,
"11-14-1992 / Colchester, UK / Student's Union, University of Essex - CASS(M) ",SBD,FLAC,
"11-18-1992 / Plymouth, England / The Warehouse (unk)",AUD,FLAC,
,,,
[1993],,,
"1-28-1993 / London, UK / 'The Beat' ITV",TV,MKV,
"2-18-1993 / Southampton, England / Joiner's Arms - ANA(x)",AUD,FLAC,
"2-23-1993 / Paris, France / Inter Bernard Lenoir Black Session",FM,FLAC,
"3-14-1993 / London, England / Town and Country Club *Opening for Belly (unk)",SBD,FLAC,
"3-30-1993 / Tel Aviv, Israel / Radio Broadcast (Galei Tzahal)",FM,FLAC,
"4-2-1993 / Tel Aviv, Israel / Roxanne",FM,FLAC,
"4-2-1993 / Tel Aviv, Israel / Roxanne (dimitroy transfer 2022 upgrade) ",FM,FLAC,
"5-4-1993 / Glasgow, Scotland / King Tut's Wah Wah Hut",AUD,FLAC,
"5-5-1993 / Haarlem, Netherlands / Bevrijdingspop",FM,FLAC,
6-XX-1993 / Arsenio Hall Show,TV,MPG,
"6-3-1993 / Copenhagen, Denmark / Barbue - ANA(M)",AUD,FLAC,
"6-4-1993 / Goteborg, Sweden / Magasinet - ANA(M)",FM,FLAC,
"6-5-1993 / Gothenburg, Sweden / Fagersta Festival (unk)",AUD,FLAC,
"6-12-1993 / Amsterdam, Holland / Beakestijnpop Festival (unk)",AUD,FLAC,
"6-15-1993a / Nancy, France / FNAC Auditorium *In-store acoustic set before gig (Aiwa CM-30) (yp)",AUD,FLAC,
"6-15-1993 / Nancy, France / Maxville - DAT(2) (Aiwa CM-30) (blg transfer)",AUD,FLAC,
"6-20-1993 / Paris, France / Passage Du Nord - ANA(2) (unk) (gary watson transfer)",AUD,FLAC,
"6-2x-1993 / Los Angeles, CA / The Arsenio Hall Show",TV,FLAC,
"6-2x-1993 / Los Angeles, CA / The Arsenio Hall Show",TV,MPG,
"6-30-1993 / Chicago, IL / The Metro (Sony D3>ECM-S220) (jb) ",AUD (48k),FLAC,
"6-30-1993 / Chicago, IL / The Metro (JBTV)",PRO,DVD,
"6-30-1993 / Chicago, IL / The Metro ",TV,DVD,
"7-11-1993 / San Francisco, CA / Justin Herman Plaza (Sony D6>Sonic Studios) (tomzero)",AUD,FLAC,
"7-12-1993 / Los Angeles, CA / Whiskey A Go-Go (WW1)",preFM,FLAC,
"7-13-1993 / Hollywood, CA / Palladium - CASS(M)",AUD,FLAC,
"7-16-1993 / San Diego, CA / World Beat Center (unk)",AUD,FLAC,
"7-16-1993 / San Diego, CA / World Beat Center - 8MM(M)",AUD,DVD,
"7-16-1993 / San Diego, CA / World Beat Center - VHS(2)",AUD,DVD,
"8-15-1993 / Leuven, BE / Markt Rock Festival (unk)",AUD,FLAC,
"8-21-1993 / Wateringen, Holland / Waterpop (Wateringen Festival) (unk)",AUD,FLAC,
"8-28-1993 / Oxford, England / The Venue VHS(x) (unk)",AUD,FLAC,
"9-1-1993 / London, England / The Garage (unk)",AUD,FLAC,
"9-2-1993 / Cheshire, England / Signal Radio Sessoins",FM,FLAC,
"9-3-1993 / Glasgow, Scotland / Barrowlands (FM1 Broadcast)",FM,FLAC,
"9-4-1993 / Radio Sessions (WW1) ""On the Edge"" ",FM,FLAC,
"9-23-1993 / Miami Beach, FL / The Cameo Theatre (SS-DSM-6P) (datfly)",AUD,FLAC,
"9-23-1993 / Miami Beach, FL / The Cameo Theatre (Sony DT-120) (ryanj transfer)",AUD,FLAC,
"10-06-1993 / Providence, RI / Lupo's Heartbreak Hotel (unk)",AUD,FLAC,
"10-8-1993 / Boston, MA / Avalon Ballroom (Sony WMD3>Sony ECM-909) (unk)",AUD,FLAC,
"10-15-1993 / Chicago, IL / Riviera (ECM-S220) (unk)",ECM,SHN,
"10-22-1993 / Hollywood, CA / The Palace (unk)",AUD,FLAC,
"11-11-1993 / Hamburg, Germany / Markthalle (Sony TCD-D7)",AUD,FLAC,
"11-11-1993 / Hamburg, Germany / Markthalle (unk)",AUD,FLAC,
"11-12-1993 / Cologne, Germany / Live Music Hall - DAT(x)",AUD,FLAC,
"11-12-1993 / Koln, Germany / Live Music Hall (Sony PC-62) (buenaventura master)",AUD,FLAC,
"11-20-1993 / Geneva, Switzerland / Salle du Lignon (worship the t)",FM,SHN,
"11-22-1993 / Lyon, France / Transbordeur - ANA(1)",FM,FLAC,
"11-23-1993 / Paris, France / Casino - ANA(M)>DAT",AUD,FLAC,
"11-25-1993 / Barcelona, Spain / Zeleste (unk)",AUD,FLAC,
"11-27-1993 / Lisbon, Portugal / Pavilhao Os Belenenses (unk)",AUD,FLAC,
"11-27-1993 / Lisbon, Portugal / Pavilhao Os Belenenses - VHS(2)",AUD,DVD,
"12-9-1993 / London, England / Brixton Academy (unk)",AUD,FLAC,
"12-11-1993 / Portsmouth, UK /  Guildhall",AUD,FLAC,
XX-XX-1993 / Talking Music Interview with Thom Yorke and Colin Greenwood,FM,SHN,
,,,
[1994],,,
"1-25-1994 / London, England / New Empire / NME Brat Awards",FM,FLAC,
"2-21-1994 / Reading, UK / Royal Berks Social Club (fixed)",AUD,FLAC,
4-10-1994 / MTV Studios / MTV's Most Wanted,TV,FLAC,
"XX-XX-1994 / Townhouse Studios, London / Nice Dream (band demo) ",Silver CD,FLAC,
"5-13-1994 / Cesena, Italy / Vidia Club (unk)",AUD,FLAC,
"5-13-1994 / Cesena, Italy / Vidia Club",AUD,DVD,
"5-20-1994 / Lausanne, Switxerland - Balelec EPFL (Classic 21 FM) (flying horseman)",FM,FLAC 24,
5-22-1994 / Koln / Nurburgring / Rock Am Ring (unk),AUD,FLAC,
"5-27-1994 / London, England / The Astoria",preFM,FLAC,
"5-27-1994 / London, England / The Astoria",AUD,FLAC,
"6-4-1994 / Tokyo, Japan / Club Quattro (unk) (joe cooper transfer)",AUD,FLAC,
"6-26-1994 / Glastonbury, England / Glastonbury Festival / - CD(M) BBC Live Recording ""In Concert - Show 601)",Silver CD,FLAC,
"7-2-1994a / Roskilde, Denmark / Radio P3 - Thom and Jonny",FM,FLAC,
"7-2-1994 / Roskilde, Denmark / Roskilde Festival (Sony WM-D3) (willer)",AUD,FLAC,
"7-2-1994 / Roskilde, Denmark / Roskilde Festival - ANA(2) (franger transfer)",preFM,FLAC,
"7-2-1994 / Roskilde, Denmark / Roskilde Festival - ANA(2) (devilhood remaster) ",preFM,FLAC,
"8-27-1994 / Reading, UK / Reading Festival (Sony ECM-909) (petrock2000)",AUD,FLAC,
"8-27-1994 / Reading, UK / Reading Festival",SBD,FLAC,
"8-27-1994 / Reading, UK / Reading Festival", PRO,DVD,
"8-27-1994 / Reading, UK / Reading Festival (Shorter, Crisper)",PRO,DVD,
"XX-XX-1994 / London, England / GLR Session (Thom & Jonny)",FM,FLAC,
"9-14-1994 / London, England / BBC Radio 1 Evening Session #2",FM,FLAC,
9-23-1994 / Abingdon Old Gaol / Interview for Deadeye Magazine (before Oxford Mail Rwanda Benefit Show),FM,FLAC,
"9-30-1994 / Sheffield, UK / The Foundry",AUD,FLAC,
"10-6-1994 / London, England / Exeter University (Sony ECM-909) (petrock2000)",AUD,FLAC,
"10-6-1994 / London, England / Exeter University (unk) (joe cooper transfer)",AUD,FLAC,
"10-6-1994 / London, England / University of Exeter (Sony ECM-909) (unk) 2025 Transfer ",AUD,FLAC,
"10-6-1994 / London, England / Exeter University (Sony ECM-909) (petrock2000) (goody's speed.pitch adjusted)",AUD,FLAC,
"10-8-1994 / London, England / Shepherds Bush Empire - ANA(1) (unk)",AUD,FLAC,
"12-2-1994 / Amsterdam, NL / The Melkweg",AUD,FLAC,
"12-2-1994 / Amsterdam, NL / The Melkweg (OKM II R) (a.s.)",AUD,FLAC,
"12-13-1994 / New York, NY / Beacon Theatre WDRE Christmas Show (Thom & Jonny only) *Acoustic show",AUD,FLAC,
"12-17-1994 / Seattle, WA / Exhibition Hall / Deck the Hall Ball - DAT(1) (SS-DSM6) (unk)",AUD,FLAC,
,,,
[1995],,,
"2-16-1995a / London, England / BBC Radio 1 - Thom Yorke Interview (unk)",FM,FLAC,
