Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
,,,
[1991],,,
"10-23-1991 / Northridge, CA / Cal State Northridge *Live at the Quad",Silver CD,FLAC,
,,,
[1992],,,
"6-9-1992 / Santa Ana, CA / El Nuevo Monterey (unk) ",AUD,DVD,*includes 1993-10-14
"7-25-1992 / Hollywood, CA / Hollywood Palladium",AUD,FLAC,
"8-3-1992 / Hollywood, CA / Club with No Name",AUD,FLAC,
"9-28-1992 / Hollywood, CA - Club With No Name",AUD,FLAC,
"10-10-1992 / Paris, France / Elysee Montmartre (Sony WMD3) (rm)",AUD,FLAC,
"11-7-1992 / Berkeley, CA / Berkeley Square",AUD,FLAC,
"11-7-1992 / Berkeley, CA / Berkeley Square (Sony TR7) (shadow)",AUD,DVD,
"12-14-1992 / Los Angeles, CA / Whiskey a Go Go",AUD,FLAC,
,,,
[1993],,,
"1-20-1993 / New York, NY / Wetlands *Save the Planet",AUD,FLAC,
"1-26-1993 / London, England / Underworld (unk)",AUD,FLAC,
"2-2-1993 / Stockholm, Sweden / The Melody *The Killing Zone",Silver CD,FLAC,
"2-7-1993 / Amsterdam, Holland / Melkweg *Justify Those that Die (KTS 178)",Silver CD,FLAC,
"2-8-1993 / Paris, France / Elysee Montmartre",AUD,FLAC,
"2-13-1993 / Milan, Italy / Club Zimba *Revolution (KTS 209)",Silver CD,FLAC,
"2-19-1993 / London, England / University at London Union *Despatches (WORK 5573-2)",Silver CD,FLAC,
"2-19-1993 / London, England / University at London Union",AUD,FLAC,
"2-24-1993 / London, UK / Despatches, University At London Union *Despatches {557312} ",Silver CD,FLAC,
"3-29-1993 / St. Paul, MN / Civic Center *Killing Your Enemy (Dead Dog Records SE 430)",Silver CD,FLAC,
"4-3-1993 / Chicago, IL / Cabaret Metro",PRO,DVD,
"4-5-1993 / Minneapolis, MN / First Avenue *Freedom {CD-ON 2248} (1993)",Silver CD,FLAC,
"4-12-1993 / Seattle, WA / The OZ (unk) (ron guardipee master) ",AMT,DVD,
"5-25-1993 / Manchester, England / The Ritz (unk) ",AUD,MP3,
"5-27-1993 / Newcastle, England / Mayfair (Realistics) (unk)",AUD,FLAC 24,
"5-27-1993 / Newcastle, England / Mayfair ",PRO,DVD,
"5-28-1993 / London, England / Brixton Academy",SBD  ,FLAC,
"5-29-1993 / London, UK / Maida Vale  (BBCFM Session) ",FM,FLAC 24,
"5-31-1993 / Landgraaf, The Netherlands / Pinkpop Festival (Compilation) (Dutch VPRO)",FM,FLAC,
"6-5-1993 / Hamburg, Germany / Grossmarkt",AUD,FLAC,
"6-7-1993 / Paris, France / Le Zenith",AUD,FLAC,
"6-10-1993 / Milan, Italy / Milan City Square *America's Most Wanted",Silver CD,FLAC,
"6-12-1993 / Reykjavik, Iceland / Reykjavik Festival",PRO,DVD,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheatre *Fuck the Administration (HR-5921-4)",Silver CD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheatre (Lollapalooza) (unk)",AUD,FLAC,
"7-11-1993 / London, UK / MTV Europe",TV,DVD,
"7-12-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza) (unk)",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village - Lollapalooza III - AUD(M) (mattf) (inc)",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village - Lollapalooza III (unk)",AUD,FLAC,
