Ray Charles,Versions,File Type
Drive - B,,
,,
,,
[1953],,
"5-10-1953 / New York, NY / Studio Rehearsals",SBD,FLAC
,,
[1961],,
"10-22-1961 / Paris, France / Palais des Sports",FM,FLAC
,,
[1966],,
"10-22-1966 / Paris, France / Palais des Sports",SBD,FLAC
,,
[1976],,
"9-28-1976 / Stuttgart, Germany / Liederhalle",FM,FLAC
,,
[1978],,
"7-17-1978 / Juan-les-Pins, France / Festival de Jazz d'Antibes",FM,FLAC
"9-23-1978 / Boston, MA / Symphony Hall (inc) (Sony TC-48) (unk)",AUD,FLAC
,,
[1979],,
"10-23-1979 / Austin, TX / Austin City Limits Soundstage",SBD,FLAC
,,
[1982],,
"9-4-1982 / Winter Park, CO / Winter Park Jazz Festival (Condenser mic) (unk)",AUD,FLAC
,,
[1984],,
"6-19-1984 / San Diego, CA / Humphrey's (M) (Sony ECM-939LT) (marco moir)",AUD,FLAC
"10-27-1984 / Warszaw, Poland / Congress Hall - Jazz Jamboree",SBD,FLAC
"11-8-1984 / Ithaca, NY / Cornell University - ANA(M) (Nakamichi CM100s)",AUD,FLAC
,,
[1986],,
"7-1-1986 / Lugano, Switzerland / Estival Jazz - Piazza Della Riforma",SBD,FLAC
"7-25-1986 / Toyohashi, Japan",FM,FLAC
,,
[1989],,
"12-4-1989 / Rome, Italy / Teatro Sistina -  Rehearsal (unk) (phil chen)",AUD,FLAC
,,
[1990],,
"1-9-1990 / New York, NY / Manhattan Beach Studios (w/ Marian McPartland)",FM,FLAC
"6-20-1990 / Lewiston, NY / Art Park - ANA(M) (Sony WM-D3) (boscoe harris) (krw_co transfer)",AUD,FLAC
,,
[1991],,
"9-1-1991 / Ventura, CA / Ventura Theater (Late show) (Sennheiser MKH406) (flex)",AUD,FLAC
,,
[1996],,
"7-4-1996 / Lugano, Switzerland / Estival Jazz - Piazza Della Riforma",SBD,FLAC
,,
[1999],,
"5-26-1999 / Glasgow, Scotland / Clyde Auditorium (w/ the BBC Orchestra)",FM,FLAC
,,
[2000],,
"6-24-2000 - Syracuse, NY - Clinton Square",SBD,FLAC
,,
[2002],,
"10-6-2002 / Pasadena, CA / Verizon Festival - ANA(M) (unk)",AUD,FLAC
