Red Hot Chili Peppers,Versions,File Type,
Drive - B,,,
,,,
,,,
[1983],,,
"5-30-1983 / Los Angeles, CA / China Club - ANA(M)",SBD #1,FLAC,
"7-18-1993 / Los Angeles, CA / Club Lingerie - ANA(M)",AUD #1,FLAC,
,,,
[1984],,,
"3-16-1984 / Los Angeles, CA / KTTV Studios (Thicke of the Night) - VHS(M) (leo grass)",PRO #1,DVD,
"8-11-1984 / Los Angeles, CA / Club Lingerie - ANA(x) (unk)",SBD #1,FLAC,
"10-15-1984 / Columbus, OH / Stache's - ANA(M) (CM-300s) (unk)",AUD #1,FLAC,
"12-16-1984 / Oklahoma City, OK / The Bowery - ANA(x) (unk)",AUD #1,FLAC,
,,,
[1985],,,
"1-6-1985 / Santa Cruz, CA / Club Culture (AKG C567e) (unk)",AUD,FLAC 24,
"8-17-1985 / St. Goarshausen, Germany / Freilichtbihne Loreley *Anthony's Penis",Silver CD,FLAC,
"8-17-1985 / Goarshausen, Germany / Loreley Open Air Festival - VHS(M) (onkel44)",AUD,DVD,
"10-XX-1985 / Phoenix, AZ / Mason Jar - ANA(1) (unk)",,,
"10-12-1985 / Palo Alto, CA / The Keystone - ANA(x) (unk)",AUD,FLAC,
"10-23-1985 / Indianapolis, IN / The Patio - ANA(M) (tradergoatee)",AMT #1,FLAC,
"10-23-1985 / Indianapolis, IN / The Patio - VHS(x) (built-in mic) (unk)",AMT #1,DVD,
"11-29-1985 / Nashville, TN / Roosters - ANA(1) (unk)",AUD #1,FLAC,
,,,
[1986],,,
"1-18-1986 / Santa Cruz, CA / The Catalyst",MIX,FLAC,
1-28-1986 / Santa Cruz / The Catalyst (onkel44203 transfer),SBD,FLAC,
"2-7-1986 / Long Beach, CA / Fender's Ballroom - ANA(x) (unk)",AUD #1,FLAC,
"5-2-1986 / Seattle, WA / Astor Park Club",SBD,FLAC,
"5-2-1986 / Seattle, WA / Astor Park Club (thir13en remaster)",SBD,FLAC,
"11-23-1986 / Austin, TX / The Ritz (unk) ",AUD,AVI,
"11-24-1986 / St. Louis, MO / Mississippi Nights *Anthony's Penis",Silver CD,FLAC,
"11-24-1986 / St. Louis, MO / Mississippi Nights",AUD,DVD,
"12-1-1986 / Minneapolis, MN / First Avenue - ANA(1) (unk)",AUD #1,FLAC,
,,,
[1987],,,
"2-22-1987 / Fullerton, CA / Goodies (hitwitstuff2 transfer)",AUD #1,FLAC,
"7-10-1987 / Santa Cruz, CA / The Catalyst",SBD #1,FLAC,
"7-13-1987 / Oakland, CA / The Omni - ANA(3)",AUD,FLAC,
"8-29-1987 / Phoenix, AZ / Deja Vu",SBD,FLAC,
