R.E.M.,Versions,,,File Type,
Drive - G,,,,,
,,,,,
,,,,,
[1980],,,,,
"5-30-1980 / Athens, GA / 40 Watt Club (Earliest known recording)",AUD,,,SHN,
"6-6-1980 / Decatur, GA / Wuxtry Records",SBD,,,FLAC,
"7-XX-1980 / Athens, GA / N. Jackson Street Rehearsal Studio - Early Movements",SBD,,,FLAC,
"10-4-1980 / Athens, GA / Tyrone's",SBD,,,SHN,
,,,,,
[1981],,,,,
"XX-XX-1981 / Athens, GA / Tyrone's O.C. *That Beat in Time",Silver CD,,,FLAC,
"XX-XX-1981 / Athens, GA / Tyrone's O.C. *The Peter Buck Tape",SBD,,,FLAC,
"2-20-1981 / Atlanta, GA / Unknown Venue",AUD,,,MP4,
"4-10-1981 / Athens, GA / Tyrone's",SBD,,,FLAC,
"5-12-1981 / Athens, GA / Tyrone's *That Beat in Time",SBD,,,FLAC,
"6-2-1981 / Columbia, SC / Von Henmon's",AUD,,,FLAC,
"7-23-1981 / Athens, GA / Tyrone's",SBD,,,FLAC,
"9-16-1981 / New York, NY / Pilgrim Theatre (2nd gen)",AUD,,,FLAC,
"9-22-1981 / Athens, GA / Tyrone's",SBD,,,FLAC,
"9-23-1981 / Athens, GA / Tyrone's O.C.",SBD,,,FLAC,
"10-22-1981 / Athens, GA / Tyrone's (remaster)",AUD,,,FLAC,
"10-23-1981 / Brooklyn, NY / Zappas",AUD,,,FLAC,
"10-23-1981 / Brooklyn, NY / Zappas",AUD,,,FLAC,
"11-6-1981 / Greensboro, NC / Friday's",SBD,,,FLAC,
"11-6-1981 / Greensboro, NC / Friday's *T.G.I.F (dream remaster) ",SBD,,,FLAC,
"11-7-1981 / Charlotte, NC / Viceroy Park",AUD,,,FLAC,
"11-7-1981 / Charlotte, NC / Viceroy Park (M1 Audio) (dream remaster)",AUD,,,FLAC,
"11-17-1981 / Madison, WI / Merlin's (inc)",AUD,,,FLAC,
"11-24-1981 / Madison, WI / Merlyns",AUD,,,FLAC,
"11-24-1981 / Madison, WI / Merlyns",AUD #2,,,FLAC,
"11-26-1981 / Minneapolis, MN / First Avenue",AUD,,,FLAC,
,,,,,
[1982],,,,,
"1-22-1982 / Greensboro, NC / Fridays - *File Under Kudzu",Silver CD,,,FLAC,
"1-23-1982 / Charlotte, NC / Viceroy Park",AUD,,,FLAC,
"1-30-1982 / Hoboken, NJ / Maxwell's",AUD,,,FLAC,
"4-14-1982 / New Haven, CT / Toad's Place",AUD,,,FLAC,
"4-24-1982 / Madison, WI / Merlin's",AUD,,,SHN,
"4-24-1982 / Madison, WI / Merlin's",SBD,,,SHN,
"4-26-1982 / Minneapolis, MN / First Avenue Club",SBD,,,FLAC,
"4-28-1982 / Madison, WI / Merlin's *Carnival of Sorts",SBD,,,FLAC,
"5-14-1982 / Atlanta, GA / Piedmont Park - Piedmont Park Arts Festival *Radio Free Georgia",FM,,,FLAC,
"6-25-1982 / Athens, GA / Athens-Clarke County (Knees Remaster)",AUD,,,FLAC 24,
"7-2-1982 / Marietta, GA / The Strand Cabaret *Do the Strand",Silver CD,2 sources,,FLAC,
"7-16-1982 / Nashville, TN / Cantrell's",AUD,,,FLAC,
"8-24-1982 / San Francisco, CA / Old Waldorf",SBD,,,FLAC,
"8-24-1982 / San Francisco, CA / Old Waldorf",FM,,,FLAC,
"9-16-1982 / Albuquerque, NM / UNM's Student Union Ballroom - ANA(M) (Aiwa CM) (langdon)",AUD,,,FLAC 24,
"9-22-1982 / Minneapolis, MN / First Avenue",AUD,,,FLAC,
