Ryan Adams,Versions,File Type,
Drive - B,,,
,,,
,,,
[1994],,,
"2-4-1994 / Raleigh, NC / The Brewery",AUD,FLAC,
,,,
[1995],,,
"12-9-1995 / Raleigh, NC / The Grove",AUD,FLAC,
"12-9-1995 / Raleigh, NC / The Grove (Sennheiser 421s) (jim w.)",AUD,FLAC,
,,,
[1996],,,
"2-3-1996 / Chapel Hill, NC / Local 506 (Freightwhaler) (joel swaney)",AUD,FLAC,
,,,
[1997],,,
"8-15-1997 / Philadelphia, PA / World Cafe (Whiskeytown)",FM,FLAC,
,,,
[1998],,,
"8-8-1998 / New York, NY / Mercury Lounge (joel swaney)",AUD,FLAC,
"10-31-1998 / Orange, NY / WFMU",FM,FLAC,
,,,
[1999],,,
"XX-XX-1999 / Los Angeles, CA / Club Largo (The Esquires)",AUD,FLAC,
"7-22-1999 / New York, NY / Mercury Lounge (Sony Walkman Pro)",AUD,FLAC,
"10-21-1999 / Raleigh, NC / The Brewery",SBD,FLAC,
"10-22-1999 / Raleigh, NC / The Brewery",SBD,FLAC,
"10-28-1999 / Nashville, TN / Exit Inn",SBD,FLAC,
"10-28-1999 / Nashville, TN / Exit Inn (joel swaney upgrade)",SBD,FLAC,
"10-29-1999 / Asheville, NC / Almost Blue",SBD,FLAC,
,,,
[2000],,,
"1-5-2000 / New York, NY / Mercury Lounge",SBD,FLAC,
"2-16-2000 / San Francisco, CA / Slim's",SBD,FLAC,
"3-16-2000 / Austin, TX / Stubbs",AUD,FLAC,
"6-10-2000 / Nashville, TN / 12th & Porter (RA & the Esquires)",AUD,FLAC,
"7-18-2000 / Nashville, TN / Exit/In - Western Beat Radio Show",FM,FLAC,
"9-9-2000 / Seattle, WA / Tractor Tavern (remastered)",SBD,SHN,
"9-10-2000 / Seattle, WA / Tractor Tavern - No Depression 5yr Anniversary Party",SBD,FLAC,
"9-14-2000 / Raleigh, NC / The Brewery",SBD,FLAC,
"9-21-2000 / Springfield, IL / The Alley",SBD,FLAC,
"9-26-2000 / Toronto, Canada / Horseshoe Tavern",SBD,FLAC,
"9-28-2000 / Philadelphia, PA / World Cafe",FM,FLAC,
"9-28-2000 / Philadelphia, PA / World Cafe",SBD,FLAC,
"10-1-2000 / New York, NY / Idiot's Delight (WNEW)",FM,FLAC,
"10-2-2000 / New York, NY / The Fez (jason carroll)",SBD,FLAC,
"10-8-2000 / Charleston, SC / Mountain Stage",FM,FLAC,
"10-20-2000 / New York, NY / Mercury Lounge",SBD,FLAC,
"11-1-2000 / Minneapolis, MN / 7th Street Entry",SBD,FLAC,
"11-2-2000 / St. Paul, MN / Turf Club",SBD,FLAC,
