Sigur Ros,Versions,,,File Type,
Drive - E,,,,,
,,,,,
,,,,,
[1999],,,,,
XX-XX-1999 / Icelandic Night Club / Unknown Promo Master,SBD,,,FLAC,
"4-XX-1999 / Reykjkavik, Iceland - Gaukur",,,,DVD,
"6-12-1999 / Reyjkavík, Iceland / Icelandic Opera House",SBD,,,FLAC,
"8-28-1999 / Reykjavik, Iceland / Laugardalsholin",FM,,,SHN,
"9-3-1999 / Reykjavik, Iceland / Laugardalshollin",SBD,,,FLAC,
,,,,,
[2000],,,,,
XX-XX-2000 / The Icelandic Opera House,AUD,,,FLAC,
"1-26-2000 / Copenhagen, Denmark / Radio Denmark Studios",FM,,,FLAC,
"1-27-2000 / Odense, Denmark / Rytmaposten",FM,,,FLAC,
"3-15-2000 / Reykjavik, Iceland / Icelandic Music Festival",,,,DVD,
"6-11-2000 / Brussels, Belgium",AUD,,,FLAC,
"6-29-2000 / Colchester, UK / Re-master ",AUD,,,FLAC,
"7-2-2000 / Roskilde, Denmark / Roskilde Festival",FM,,,FLAC,
"10-11-2000 / Lille, France / Aeronef Festival des Inrockuptibles",AUD,,,FLAC,
"10-20-2000 / Rekjavik, Frikirkjan",AUD,,,FLAC,
"11-4-2000 / Amsterdam, Melkweg / Crossing Border Festival",SBD,,,FLAC,
"11-6-2000 / Brussels, Belgium / Ancienne Belgique",AUD,,,FLAC,
"11-7-2000 / Koln, Germany / Gebaude 9",FM,,,FLAC,
"11-14-2000 / Toulouse, France / Le Bikini Toulouse",AUD,,,FLAC,
"11-17-2000 / Hamburg, Germany / Schlachthof",FM,,,FLAC,
,,,,,
[2001],,,,,
"4-1-2001 / Amsterdam, The Netherlands / Paradiso",AUD,,,FLAC,
"4-5-2001 / Montpellier, France / Salla la Victoire II",SBD,2 sources,,FLAC,
"4-13-2001 / Vienna, Austria / Szene",SBD,,,FLAC,
"4-16-2001 / Berlin, Germany / Columbiafritz",AUD,,,FLAC,
"4-17-2001 / Hamburg, Germany / Kampnagel",AUD,,,FLAC,
"4-18-2001 / Frankfurt, Germany / Dreikonigskirche",AUD,,,FLAC,
"4-19-2001 / Bourges, France / Les-printemps-de-Bourges",AUD,,,FLAC,
"4-21-2001 / Brighton, UK / St. George's Church",AUD,,,FLAC,
"4-23-2001 / Leeds, UK / City Varieties",AUD,2 sources,,FLAC,
"4-24-2001 / London, UK / Shepherds Bush Empire",FM,,,FLAC,
"5-1-2001 / Hollywood Hills, CA / John Anson Ford Theatre",AUD,,,FLAC,
"5-2-2001 / Santa Monica, CA / KCRW Morning Becomes Eclectic",FM,,,FLAC,
"5-4-2001 / Toronto, Canada / Palais Royale",AUD,,,FLAC,
"5-8-2001 / New York, NY / Irving Plaza",AUD,,,FLAC,
"6-3-2001 / Reykjavik, Iceland / Laugardalsholin",FM,,,FLAC,
"7-4-2001 / Kristiansand, Norway / Quart Festival",FM,,,FLAC,
"7-13-2001 / Montreux, Switzerland / Miles Davis Hall - Montreux Jazz Festival",SBD,,,FLAC,
"9-18-2001 / Detroit, MI / Little Gem Theater (inc)",AUD,,,FLAC,
"9-19-2001 / Toronto, Ontario / Massey Hall",AUD,,,FLAC,
"9-21-2001 / Philadelphia, PA / HBO's Reverb",TV,,,MPG,
