Silverchair,Versions,File Type
Drive - F,,
,,
,,
[1995],,
"1-22-1995 / Melbourne, Australia / RAS Showgrounds - Stomping Down Under",SBD #1,
"4-24-1995 / Hobart, Tasmania, Australia / City Hall",SBD,FLAC
"6-7-1995 / Newcastle, NSW / The Cambridge Hotel - VHS(1)",PRO #1,MP3
"6-7-1995 / Newcastle, NSW / The Cambridge Hotel *Les Enfants Terribles",SBD,FLAC
"6-19-1995 / Sydney, Australia / Live at the Wireless JJJ Studios",SBD #1,FLAC
"6-19-1995 / Sydney, AUS / Triple J - Live at the Wirelesss *Les Enfants Terribles ",SBD #2,FLAC
"6-23-1995 / Chicago, IL / Cabaret Metro (unk)",SBD #1,FLAC
"6-23-1995 / Chicago, IL / Cabaret Metro *Teenage Runaway",SBD #1,FLAC
"6-23-1995 / Chicago, IL / Cabaret Metro *Sony Promo Live",SBD #1,FLAC
"6-30-1995 / Roskilde, Denmark / Roskilde Festival (Backstage)",FM,FLAC
"7-16-1995 / Glasgow, Scotland / BBC Television Centre (FM)",SBD #1,MP3
"9-7-1995 / Melbourne, Australia / RAS Showgrounds - Stomping Down Under",PRO #1,FLAC
"9-8-1995 / New York, NY / Academy Theatre (DAT)",AUD,FLAC
"9-12-1995 / Hollywood, CA / Whisky A Go-Go",AUD,FLAC
"9-17-1995 / Santa Monica, CA / Santa Monica Pier - ANA(M) (unk)",AUD,FLAC
"10-2-1995 / Sydney, AUS / Convention & Exhibition Centre (ARIA Awards) Mud Bath At Homebake",SBD #1,FLAC
"11-25-1995 / San Diego, CA / The Soma",AUD #1,FLAC
"11-30-1995 / Toronto, ON / The Warehouse - ANA(3) (unk)",AUD,FLAC
"12-8-1995 / Rosemont, IL / Rosemont Horizon",SBD #1,MP3
"12-9-1995 / New York, NY / NBC Studios - SNL (Rebroadcast HDTV)",TV,TS
"12-12-1995 / Baltimore, MD / Hammerjack's (unk)",AUD,FLAC
"12-15-1995 / Dallas, TX / The Bomb Factory - ANA(x)",AUD #1,FLAC
"12-18-1995 / Universal City, CA / Universal Amphitheatre - KROQ Acoustic Xmas (FM)",SBD #1,FLAC
,,
[1996],,
"1-3-1996 / Byron Bay, Australia / Homebake Festival *Mudbath at Homebake",AUD,FLAC
"1-3-1996 / Byron Bay, Australia / Homebake Festival *Surfin' In The Rain",Silver CD,FLAC
"1-4-1996 / Byron Bay, Australia / Homebake Festival",Broadcast,MP2
"2-4-1996 / Hollywood, CA / Hollywood Palladium",AUD,FLAC
"2-4-1996 / Hollywood, CA / Hollywood Palladium - ANA(M) (unk)",AUD,FLAC
"2-8-1996 / Boston, MA / Fleet Center (unk)",AUD,FLAC
"2-16-1996 / Uniondale, NY / Nassau Coliseum - ANA(M) (unk) (ukj69)",AUD,FLAC
"2-21-1996 / London, England / Astoria Theatre",AUD,FLAC
"3-5-1996 / Amsterdam, Holland / The Paradiso",SBD,FLAC
"10-2-1996 / Sydney, Australia / The Metro Theatre",AUD,FLAC
"10-7-1996 / Sydney, Australia / State Sports Centre",AUD,FLAC
"12-3-1996 / West Hollywood, CA / Troubadour (Secret Show as the George Costanza Trio)",AUD,FLAC
,,
[1997],,
"1-28-1997 / Melbourne, Australia / The Palace",PRO,DVD
"2-4-1997 / Toronto, Ontario / Chumcity Building - Much Music",AUD,DVD
"2-4-1997 / Toronto, Ontario / Chum City Building - Intimate & Interactive",TV,FLAC
"2-17-1997 / Sydney, Australia / Live at the Wireless JJJ Studios",FM,FLAC
"2-22-1997 / Philadelphia, PA / Electric Factory (unk)",AUD,FLAC
"2-24-1997 / Hollywood, CA / The Palace - ANA(M) (unk)",AUD,FLAC
"3-3-1997 / Paris, France / Le Bataclan",AUD,FLAC
"4-13-1997 / Seattle, WA / Mercer Arena",SBD,FLAC
"4-20-1997 / Chicago, IL / Aragon Ballroom",SBD,FLAC
"4-26-1997 / Montreal, Quebec / Metropolis",PRO,DVD
"4-27-1997 / Worchester, MA / Worchester Auditorium (unk)",AUD,FLAC
"4-30-1997 / Asbury Park, NJ / The Stone Pony",AUD,FLAC
"5-4-1997 / Fort Lauderdale, FL / Theatre Club",AUD,FLAC
"5-6-1997 / Houston, TX / Westpark Entertainment Center (unk)",AUD,FLAC
"5-13-1997 / San Francisco, CA / The Warfield",AUD,FLAC
"6-20-1997 / Darwin, NT, Australia / MGM Grand Casino Lawns",AUD #1,FLAC
"6-28-1997 / Roskilde, Denmark / Roskilde Festival",FM,FLAC
"7-4-1997 / Torhout, Belgium / Torhout Festival (MKE-2002) (ms)",AUD,FLAC
"7-26-1997 / Sydney, Australia / Luna Park",FM,FLAC
"8-15-1997 / Amsterdam, The Netherlands / Paradiso",AUD,FLAC
"8-16-1997 / Cologne, Germany / Bizarre Festival",SBD,FLAC
"8-16-1997 / Cologne, Germany / Bizarre Festival",PRO #1a,DVD
"8-16-1997 / Cologne, Germany / Bizarre Festival",PRO #1b,DVD
"8-25-1997 / Vancouver, BC / Thunderbird Stadium",AUD,FLAC
"9-2-1997 / Richmond, VA / Flood Zone (kingjeff42)",AUD #1,FLAC
"11-29-1997 / Brisbane, Australia / Riverstage Gardens (unk)",AUD,FLAC
"12-3-1997 / Newcastle, Australia / Worker's Club",AUD,FLAC
"12-13-1997 / Melbourne, Australia / Festival Hall",AUD,FLAC
,,
[1999],,
"2-8-1999 / London, England / Camden Electric Ballroom",PRO,DVD
"3-15-1999 / Chicago, IL / Vic Theatre",AUD,FLAC
"3-20-1999 / Toronto, Ontario / The Warehouse",AUD,FLAC
"4-4-1999 / Dortmund, Germany / Philipshalle",PRO #1a,DVD
"4-12-1999 / Paris, France /- L'Olympia (MD)",AUD,FLAC
"6-5-1999 / Atlanta, GA / Rockfest",SBD,FLAC
"6-5-1999 / Atlanta, GA / Rockfest",PRO,MP4
"6-29-1999 / Milwaukee, WI / Sumerfest 99",FM,FLAC
"8-12-1999 / Melbourne, Australia / Melbourne Park",PRO,DVD
"8-20-1999 / Cologne, Germany / Butzweiler Hof - Bizarre Festival - Rockpalast (WDR-TV)",TV,DVD
"9-1-1999 / Paris, France / Le Zenith",AUD #1,FLAC
"11-13-1999 / New York, NY / Roseland Ballroom",AUD,FLAC
,,
[2002],,
"1-20-2002 / Gold Coast, Australia / Big Day Out (inc)",TV,FLAC
"1-20-2002 / Gold Coast, Australia / Big Day Out",,FLAC
"1-26-2002 / Sydney, AUS / Olympic Park - Big Day Out Festival ",AUD #1,FLAC
"1-28-2002 / Melbourne, AUS / Melbourne Showgrounds - DAT(M) (Sony TCD-D100) (unk)",AUD #1,FLAC
"2-1-2002 / Adelaide, AUS / Adelaide Showgrounds - Big Day Out (unk)",AUD #1,FLAC
"2-3-2002 / Perth, AUS / Claremont Showground - Big Day Out (unk) ",AUD #1,FLAC
"4-1-2002 / Sydney, Australia / The Wireless - Triple J Radio Station",FM,FLAC
"4-6-2002 / Hamilton, New Zealand / Waikato Stadium (Sony ECM-717) (kiwitaper)",AUD,FLAC
,,
[2003],,
"5-23-2003 / Toronto, ON / Kool Haus - DAT(M) (Sennheiser MKE-2002) (ms) ",AUD,FLAC 24
"6-6-2003 / Nurburg, Germany / Nurburgting - Rock am Ring",PRO,AVI
,,
[2005],,
"1-29-2005 / Sydney, Australia / Sydney Cricket Ground - Waveaid Tsunami Relief Concert (Triple J Radio - FM) ",SBD #1,FLAC
,,
[2007],,
"4-20-2007 / Cowra, New South Wales, Australia / Triple J's One Night Stand",Broadcast,MP2
"11-18-2007 / San Francisco, CA / The Independent (SP-BMC-2) (edmann) ",AUD,FLAC
"12-8-2007 / Cleveland, OH / House of Blues (DPA 4060) (live2cd) ",AUD,FLAC
"12-11-2007 / Indianapolis, IN / The Music Hall (HEB DPA 4060) (charles dewey cole) ",AUD,FLAC
,,
[MISC],,
Silverchair - Live at the Cabaret Metro (1996),Silver CD,SBD
Silverchair - Acoustic (1995-12-15),SBD,FLAC
Silverchair - Les Enfants Terribles (1995),,MP3
Silverchair - Across the Great Divide Tour (2007),,DVD
Silverchair - Complete Videology (2001),,DVD
Silverchair - The Creation Of Diorama (2002),,AVI
,,
,,
[SINGLES],,
Silverchair - Tomorrow EP {MATTCD001} (1994),Official Release,FLAC
Silverchair - Shade {MATTCD014} (1995),Official Release,FLAC
Silverchair - Pure Massacre {MATTCD005} (1995),Official Release,FLAC
Silverchair - Israel's Son {MATTCD012} (1995) Australia,Official Release,FLAC
Silverchair - Ana's Song {MATTCD086} Australia (1999),Official Release,FLAC
