Slipknot,Versions,File Type
Drive - D,,
,,
,,
[1998],,
"8-15-1998 / Omaha, NE / Ranch Bowl (unk)",AUD,DVD
,,
[1999],,
"7-1-1999 / Somerset, WI / Float-Rite Park Amphitheatre (unk) (shynomi transfer)",AUD,FLAC
"7-24-1999 / San Bernardino, CA / Blockbuster Pavilion (unk) (shynomi transfer)",AUD,FLAC
"8-26-1999 / Peoria, IL / Madisen Theater (unk)",AUD,DVD
"10-11-1999 / San Bernardino, CA / National Orange Show Fairgrounds - ANA(M) (Sony WM-D3) (ijwthstd) ",AUD,FLAC
"10-17-1999 / Des Moines, IA / Super Toad Entertainment Center (unk) (shynomi transfer)",AUD,FLAC
"12-16-1999 / Paris, France / Elysee Montmartre - CDR(x) (unk)",AUD,FLAC
,,
[2000],,
"2-24-2000 / New York, NY / Irving Plaza - VHS(1) (tripkore)",AUD,DVD
"2-25-2000 / New York, NY / The Limelight - VHS(1) (tripkore transfer)",AUD,DVD
"2-29-2000 / Manchester, England / Manchester Main Debating Hall",FM,FLAC
"4-22-2000 / Dallas, TX / Bronco Bowl (unk) ",AUD,DVD
"4-30-2000 / San Francisco, CA / The Warfield (Schoeps MK4s) (alex coluzzi)",AUD,FLAC
"6-3-2000 / Nijmegen, Holland / Dynamo Open Air Festival (metalmike)",FM,FLAC
"8-10-2000 / Morrison, CO / Red Rocks Amphitheatre (CSB) (sxpxdxcx)",AUD,FLAC
"8-25-2000 / Hasselt, Belgium / Domein Keiwit - Pukkelpop Festival - CDR(x)",AUD,FLAC
"10-29-2000 / Asbury Park, NJ / Convention Hall - VHS(x) (unk) ",AUD,FLAC
,,
[2001],,
"5-21-2001 / Zurich, Switzerland / Volkshaus - DAT(M) (ECM939T) (ko)",AUD,FLAC
,,
[2004],,
"7-2-2004 / Roskilde, Denmark / Orange Stage - Roskilde Festival (CSC) (jtl) ",AUD,FLAC
"10-14-2004 / Stockholm, Sweden / Hovet",FM,FLAC
"10-19-2004 / Copenhagen, Denmark / Valby - Hallen (CSC) (unk)",AUD,FLAC
,,
[2005],,
"6-3-2005 / Nurburg, Germany / Rock am Ring",SBD,FLAC
,,
[2008],,
"12-1-2008 / London, England / Hammersmith Apollo (DirecTV)",PRO,TS
,,
[2009],,
"1-23-2009 / St. Paul, MN / Xcel Energy Center (AT943) (joel swaney)",AUD,FLAC
"2-6-2009 / Lowell, MA / Tsongas Arena (Edirol R9) (ec666) ",AUD,FLAC
"3-7-2009 / Inglewood, CA / The Forum (DSM6) (unk) ",AUD,FLAC
"3-8-2009 / San Diego, CA / Cox Arena (CA-11) (porcelmc)",AUD,FLAC
,,
[2011],,
"6-26-2011 / Dessel, Belgium / Graspop Metal Meeting (SP-CMC-8) (unk)",AUD,FLAC
"7-10-2011 / Knebworth, England / Sonisphere Festival - Knebworth House (SP-CMC-8) (unk)",AUD,FLAC
,,
[2012],,
"7-22-2012 / Clarkston, MI / DTE Energy Center (Zoom H2) (jamminj)",AUD,FLAC
"7-31-2012 / Saratoga Springs, NY / SPAC (ATu83s) dassarri)",AUD,FLAC
"8-5-2012 / Hartford, CT / Comcast Theatre (RCA VR5220-A) (aia1994)",AUD,FLAC
,,
[2013],,
"6-29-2013 / Dessel, Belgium / Graspop Metal Meeting (SP-CMC-8) (unk)",AUD,FLAC
,,
[2014],,
"12-5-2014 / Uncasville, CT / Mohegan Sun Arena (CA-14) (tripkore)",AUD,FLAC
"12-7-2014 / Lowell, MA / Tsongas Arena (CA-14) (tripkore)",AUD,FLAC
,,
[2015],,
"2-5-2015 / Budapest, Hungary / Papp László Sportaréna (unk)",AUD,FLAC
"2-7-2015 / Berlin, Germany / Max-Schmeling-Halle (AT853) (jederlacht)",AUD,FLAC
"5-5-2015 / Knoxville, TN / Knoxville Civic Coliseum (CSB) (thefixxxer) ",AUD,FLAC
,,
[2016],,
"7-5-2016 / Mansfield, MA / Xfinity Center (CA-11) (ec666)",AUD,FLAC
"7-12-2016 / Cincinnati, OH / Riverbend Music Center (Zoom H1) (hollowmoons)",AUD,FLAC
,,
[2019],,
"6-15-2019 / Castle Donington, UK / Download Festival (1080p)",Webcast,MKV
"6-26-2019 / Sopron, Hungary / VOLT Festival (CA-14) (h0mer1983)",AUD,FLAC
"7-4-2019 / Lisbon, Portugal / Altice Arena - VOA Heavy Rock Festival (Soundman OKM II Pop AVs) (antihero) ",AUD,FLAC
"7-5-2019 / Viveiro, Spain / Resurrection Fest (sbr1z)",Webcast,MKV
"7-26-2019 / Mountain View, CA / Shoreline Amphitheatre (DPA 4061s) (unk)",AUD,FLAC
"8-18-2019 / Maryland Heights, MO / Hollywood Casino Amphitheater (Nokia Lumia) (cptncrash76)",AUD,FLAC
,,
[2020],,
