Social Distortion,Versions,File Type
Drive - A,,
,,
,,
[1981],,
"6-4-1981 / Woodland Hills, CA / West Valley Supper Club",AUD,FLAC
"11-25-1981 / Los Angeles, CA / Club 88 - ANA(M) (unk)",AUD,FLAC
,,
[1982],,
"1-29-1982 / Los Angeles, CA / Godzilla's",AUD,FLAC
"7-3-1982 / West Hollywood, CA / Whisky A Go-Go",AUD,FLAC
7-4-1982 / California / Antony's B-day Party,AUD,FLAC
"8-11-1982 / Los Angeles, CA / Club 88",AUD,FLAC
"9-13-1982 / Washington, D.C. / Wilson Center",AUD,FLAC
"12-23-1982 / Fullerton, CA - Galaxy Rollerrink ",SBD,FLAC
,,
[1983],,
"1-22-1983 / West Pico, CA / T Bird's Roller Rink",AUD,FLAC
,,
[1984],,
"XX-XX-1984 / San Diego, CA / Unknown Venue",AUD,FLAC
,,
[1986],,
"3-22-1986 / New York, NY / The Ritz",AUD,FLAC
,,
[1987],,
"1-23-1987 / Los Angeles, CA / Music Machine",AUD,FLAC
,,
[1988],,
"7-4-1988 / Los Angeles, CA / Eddy Egan's House",AUD,FLAC
,,
[1989],,
"8-13-1989 / Detroit, MI / Saint Andrew's Hall",AUD,FLAC
,,
[1990],,
"XX-XX-1990 / Baltimore, MD / WHFS",FM,FLAC
"5-5-1990 / Detroit, MI / Saint Andrew's Hall",AUD,FLAC
"6-22-1990 / Los Angeles, CA / Unknown Venue *More Girls, More Cars, and Even Louder Guitars (LP)",SBD,FLAC
"6-23-1990 / Reseda, CA / Country Club *Sick Boys",Silver CD,FLAC
"10-31-1990 / Cleveland, OH / Empire Concert Hall",FM,FLAC
,,
[1992],,
"2-24-1992 / New York, NY / CBGB's",SBD,FLAC
"4-24-1992 / Hollywood, CA / Palladium",FM,FLAC
"5-5-1992 / Minneapolis, MH / First Avenue",FM,FLAC
"5-6-1992 / Minneapolis, MN / First Avenue Mainroom (KJJO 104)",FM,FLAC
