Sonic Youth,Versions,File Type,
Drive - F,,,
,,,
,,,
[1981],,,
"6-18-1981 / New York, NY / White Columns Gallery - Noisefest",AUD,FLAC,
"7-XX-1981 / New York, NY / Just Above Midtown-Downtown Gallery - ANA(x)",AUD,FLAC,
,,,
[1982],,,
"11-XX-1982 / Dearborn, MI / Group W Cable Studios",FM,FLAC,
"11-14-1982 / Carrboro, NC / Cat's Cradle",AUD,FLAC,
"12-7-1982 / New York, NY / Mudd Club - ANA(x) (unk) ",AUD,FLAC,
"12-11-1982 / New York, NY / Folk City - ANA(x) (unk)",AUD,FLAC,
"12-12-1982 / Dearborn, MI / Group W Cable Studios - ANA(1) (foxtrotter) ",AUD,FLAC,
"12-15-1982 / Minneapolis, MN / First Avenue (unk) (inc)",AUD,FLAC,
"12-XX-1982 / Dearborn, MI / Group W Cable Studios - ANA(x)",FM,FLAC,
,,,
[1983],,,
"4-14-1983 / Long Island, NY / Network (Source 1) - ANA(x) (unk)",AUD,FLAC,
"4-14-1983 / Long Island, NY / Network (Source 2) - ANA(1) (unk",AUD,FLAC,
"6-11-1983 / Lausanne, Switzerland / Grande Salle d'Entrebois (Source 1) (unk)",AUD,FLAC,
"6-11-1983 / Lausanne, Switzerland / Grande Salle d'Entrebois (Source 2) (unk)",SBD,FLAC,
"6-23-1983 / Wien, Austria / U4 (unk) (sb) (dimenew)",AUD,FLAC,
"6-26-1983 / Poitiers, France / Le Chapiteau (unk)",AUD,FLAC,
"6-28-1983 / Berlin, West Germany / Metropol (Source 1) (unk)",AUD,FLAC,
"6-28-1983 / Berlin, Germany - Loft im Metropol (Source 2) (unk)",AUD,FLAC,
"6-28-1983 / Berlin, Germany - Loft im Metropol (Source 3) (unk)",AUD,FLAC,
"7-22-1983 / New York, NY / Sin Club (unk)",AUD,FLAC,
"7-27-1983 / New York, NY / Folk City - ANA(1) (Source 1) (loughney transfer)",AUD,FLAC,
"7-27-1983 / New York, NY / Folk City (Source 2) - ANA(x) (unk)",AUD,FLAC,
"10-28-1983 / München, Germany / Alabama Halle - ANA(x) (unk)",AUD,FLAC,
"10-29-1983 / Schwindkirchen, Germany / Rockhaus  (Source 1) (unk)",AUD,FLAC,
"10-29-1983 / Schwindkirchen, Germany / Rockhaus  (Source 2) - ANA(3) (unk)",AUD,FLAC,
"10-30-1983 / Berlin, Germany / Loft im Metropol (unk) ",AUD,FLAC,
"11-3-1983 / Biel, Switzerland / AJZ - ANA(1) (unk)",AUD,FLAC,
"11-4-1983 / Zürich, Switzerland / Rote Fabrik (Source 1) - ANA(x) (unk) ",AUD,FLAC,
"11-4-1983 / Zürich, Switzerland / Rote Fabrik (Source 2) - ANA(x) (unk)",AUD,FLAC,
"11-5-1983 / Basel, Switzerland / Totentanz - ANA(x) (unk)",AUD,FLAC,
"11-8-1983 / Milano, Italy / Odissea 2001 (unk) (sonicsugar) ",AUD,FLAC,
"11-11-1983 / Linz, Austria / Stadtwerkstatt - ANA(x) (unk) ",AUD,FLAC,
"11-20-1983 / Trier, Germany / Exhaus (Source 1) (unk)",AUD,FLAC,
"11-20-1983 / Trier, Germany / Exhaus (Source 2) (unk)",AUD,FLAC,
"11-20-1983 / Trier, Germany / Exhaus (Source 3) (unk) ",AUD,FLAC,
"11-23-1983 / Tilburg, Netherlands / Een Nieuwe Lente (unk)",AUD,FLAC,
"11-24-1983 / Groningen, Netherlands / Vera (Source 1) - ANA(x) (unk) ",AUD,FLAC,
"11-24-1983 / Groningen, Netherlands / Vera (Source 2) - ANA(1) (unk) ",AUD,FLAC,
"11-25-1983 / Amsterdam, Netherlands / Paradiso - ANA(x) (unk)",AUD,FLAC,
"11-26-1983 / Nijmegen, Netherlands / Doornroosje - ANA(2) (unk) ",AUD,FLAC,
,,,
[1984],,,
"5-19-1984 / Hoboken, NJ / Maxwell's - ANA(M) (unk)",AUD,FLAC,
"6-2-1984 / Boston, MA / Longwood Theater - ANA(x) (unk)",AUD,FLAC,
"6-30-1984 / New York City, NY / Danceteria (unk)",AUD,FLAC,
"10-24-1984 / Hoboken, NJ / Maxwell's (unk)",AUD,FLAC,
,,,
[1985],,,
"1-14-1985 / San Francisco, CA / I Beam (unk)",AUD,FLAC,
"1-19-1985 / Seattle, WA / Gorilla Garden - ANA(M) (unk)",AUD,FLAC,
"6-12-1985 / New York, NY / Folk City",AUD,FLAC,
"8-22-1985 / Los Angeles, CA / Lingerie Club (skipvacum) ",AUD,FLAC,
"9-25-1985 / New York, NY / CBGB's (unk)",SBD,FLAC,
"11-8-1985 / Brighton, UK / Zap Club",AUD,FLAC,
"11-9-1985 / Ladbroke Grove, England / Bay 63 (unk) ",AUD,FLAC,
"12-XX-1985 / New York, NY / CBGBs - ANA(x) ",SBD,FLAC,
,,,
[1986],,,
"5-11-1986 / Amsterdam, Netherlands / Paradiso - ANA(M) ",SBD #1,FLAC,
"5-12-1986 / Newcastle upon Tyne, UK / Riverside - ANA(2) (mike ziegler transfer) ",AUD,FLAC,
"5-29-1986 / Wiesbaden, Germany / Wartburg (Aiwa CM-30a) (a. cl.)",AUD,FLAC,
"6-13-1986 / New York, NY / CBGB's - ANA(x) (unk)",AUD,FLAC,
"7-3-1986 / San Diego, CA / SDSU Backdoor",AUD,FLAC,
"7-7-1986 / San Francisco, CA / I-Beam",AUD,FLAC,
"7-24-1986 / Providence, RI / Living Room",AUD,FLAC,
"7-25-1986 / Washington, DC / Complex",SBD,FLAC,
"10-31-1986 / New York, NY / Bard College (unk) ",SBD,FLAC,
"11-9-1986 / Baton Rouge, LA / Knights of Columbus Hall (SBD + Sony WM-D6) ",MIX,FLAC,
"11-10-1986 / Tallahassee, FL / Florida State University - OA Chapel (unk) ",AUD,FLAC,
"11-21-1986 / Pottsville, PA / The Alley",SBD,FLAC,
"11-22-1986 / New York, NY / Irving Plaza - ANA(M) (Aiwa) (mike ziegler transfer)",AUD,FLAC,
,,,
[1987],,,
"5-22-1987 / Trenton, NJ / City Gardens (Nugs.net)",SBD,FLAC,Official Bootleg
"9-15-1987 / Carborro, NC / Cat's Cradle *Be My Sister In Death",Silver CD,FLAC,
"10-6-1987 / Bozeman, MT / Sundance Saloon (loughney)",AUD,FLAC,
"10-24-1987 / Naugatuck, CT / Night Shift Cafe (m.t.)",AUD,FLAC,
,,,
[1988],,,
"6-23-1988 / New York City, NY / CBGBs (david mckenzie) ",SBD,FLAC,
"6-24-1988 / New York City, NY / CBGBs (david mckenzie) ",SBD,FLAC,
"10-8-1988 / Athens, Greece / Rodon Club (tax or nick) ",AUD,FLAC,
"11-5-1988 / Chicago, IL / Cabaret Metro (Nugs.net)",SBD,FLAC,Official Bootleg
"11-15-1988 / San Francisco, CA / Fillmore - ANA(x) ",FM,FLAC,
"11-26-1988 / Austin, TX / SXSW (unk)",SBD,FLAC,
"11-27-1988 / Minneapolis, MN / First Avenue - ANA(2) (loughney transfer)",AUD,FLAC,
"12-11-1988 / Washington, DC / 930 Club - ANA(2)",SBD,FLAC,
"12-13-1988 / New York, NY / CBGB (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[1989],,,
"1-20-1989 / Melbourne, Australia / Old Greek Theatre - ANA(1) (unk)",AUD,FLAC,
"1-21-1989 / Geelong, Australia / Ocean Grove Hotel (unk) ",AUD,FLAC,
"1-28-1989 / Sydney, Australia / Sydney Cove Tavern (crankingamps)",AUD,FLAC,
"3-25-1989 / Ghent, Belgium / Voorit - ANA(x) (unk)",AUD,FLAC,
"3-27-1989 / Düsseldorf, West Germany / Philipshalle (Sony Walkman) (unk)",AUD,FLAC,
"3-30-1989 / Unterföhring, West Germany / Theaterfabrik (seethelight7)",FM,FLAC,
"4-14-1989 / Kiev, Ukraine / Kiev Institute of Civil Aviatioin - ANA(1) (unk)",AUD,FLAC,
,,,
[1990],,,
"3-8-1990 / Washington, D.C. / Citadel (sluggo)",SBD,FLAC,
"8-11-1990 / Philadelphia, PA / The Trocadero - ANA(1) (Josephsons Mic Pair) ",AUD,FLAC 24,
"8-17-1990 / Hollywood, CA / Palladium - ANA(x)",SBD,FLAC,
"8-24-1990 / Seattle, WA - Moore Theatre - ANA(M) (Sony ECM-909) (mark bader)",AUD,FLAC,
"10-20-1990 / Chicago, IL / Vic Theatre ",AUD,FLAC,
"10-22-1990 / Minneapolis, MN / First Avenue (DAT)",AUD,FLAC,
"11-3-1990 / Irvine, CA / Crawford Hall (Nugs.net)",SBD,FLAC,Official Bootleg
