Soundgarden,Versions,File Type,
Drive - F,,,
,,,
,,,
[1985],,,
"XX-XX-1985 / Seatlle, WA / Unknown Studio - Incessant Demo",SBD,FLAC,
,,,
[1988],,,
"XX-XX-1988 / San Francisco, CA / Unknown Venue",SBD,FLAC,
"2-11-1988 / Los Angeles, CA / Club Lingerie",AUD,FLAC,
"8-20-1988 / Olympia, WA / Captiol Lake Jam - Capitol Lake Park (inc.)",AUD,FLAC,
"9-5-1988 / Seattle, WA / Bumpershoot Festival",AUD,FLAC,
"10-24-1988 / San Francisco, CA / I-Beam",AUD,FLAC,
"10-24-1988 / San Francisco, CA / I-Beam - ANA(x) (2020 transfer)",AUD,FLAC,
,,,
[1989],,,
"2-12-1989 / San Francisco, CA / I-Beam",SBD,FLAC,
"3-11-1989 / Hoboken, NJ / Maxwell's",AUD,FLAC,
"3-15-1989 / Ann Arbor, MI / The Blind Pig",AUD,FLAC 24,
"3-18-1989 / Boston, MA / The Rathskeller",AUD,FLAC,
"5-XX-1989 / Bergamo, Italy / Motion Unlimited - Modone - ANA(M)",AUD,FLAC,
"5-12-1989 / London, UK / Students' Union - School of Oriental and African Studies - ANA(M)",AUD,FLAC,
"5-14-1989 / London, UK / The Hippodrome, Golders Green / Peel Session",Vinyl,FLAC,
"5-17-1989 / Amsterdam, The Netherlands / Melkweg",AUD,FLAC,
"5-20-1989 / Deventer, The Netherlands / Burgerweeshuis (dimitroy transfer)",SBD,FLAC,
"5-22-1989 / Hamburg, Germany / Kir",AUD,FLAC,
"5-25-1989 / Koln, West Germany / Rose Club",AUD,FLAC,
"5-27-1989 / Eastern Westphalia, Germany / Forum",AUD,FLAC,
"6-9-1989 / Bergamo, Italy / Madone *Motion Unlimited",Silver CD,FLAC,
"7-6-1989 / London, UK / Maida Vale Studios / John Peel Session (inc)",Vinyl,FLAC,
"9-XX-1989 / Los Angeles, CA / The Palace",FM,FLAC,
"9-23-1989 / Burbank, CA / Concrete Foundations Forum (Hollywood Live)",AUD,FLAC,
"10-21-1989 / Chicago, IL / Cabaret Metro",AUD,FLAC,
"10-29-1989 / Providence, RI / *Ugly Flowers",Silver CD,FLAC,
"10-29-1989 / Providence, RI / The Living Room (unk)",AUD,FLAC,
"11-2-1989 / Boston, MA / Axis - ANA(x) (unk)",AUD,FLAC,
"12-5-1989 / Phoenix, AZ / Mason Jar (inc)",AUD,FLAC,
"12-10-1989 / West Hollywood, CA / Whiskey A-GoGo *Louder Than Live",Silver CD,FLAC,
,,,
[1990],,,
"1-12-1990 / Toronto, Ontario / Concert Hall",AUD,FLAC,
"1-13-1990 / Detroit, MI / St. Andrews Hall",AUD,FLAC,
"1-21-1990 / Boston, MA / Paradise - ANA(M) (sluggo)",AUD,FLAC 24,
"1-21-1990 / Boston, MA / Paradise Ballroom *From Seattle to Boston",Silver CD,FLAC,
"1-22-1990 / Philadelphia, PA / Trocadero Theatre",AUD,FLAC,
"2-4-1990 / Ft. Lauderdale, FL / Summers on the Beach",AUD,FLAC,
"2-8-1990 / Houston, TX / Numbers - ANA(M)",AUD,FLAC,
"2-10-1990 / Austin, TX / The Back Room (Aiwa) (dave prewitt)",AUD,FLAC,
"2-17-1990 / Reseda, CA / Country Club",AUD,FLAC,
"3-2-1990 / Denver, CO / Colorado Indoor Sports",AUD,FLAC,
"3-9-1990 / Milwaukee, WI / Central Park Ballroom",FM,FLAC,
"3-13-1990 / Indianapolis, IN / The Ritz Theatre",AUD,FLAC,
"3-17-1990 / Brooklyn, NY / L'Amour - VHS(x) (unk)",AUD,DVD,(w/ Faith No More set)
"4-11-1990 / Amsterdam, The Netherlands / Paradiso",SBD    ,FLAC,
"4-15-1990 / Tilburg, The Netherlands / Noorderlicht - ANA(M) (Vivanco EM 160) (desiderus transfer)",AUD,FLAC,
"4-16-1990 / Dusseldorf, West Germany / Phillipshalle (Rockpalast)",TV,FLAC,
"4-16-1990 / Dusseldorf, West Germany / Phillipshalle (Rockpalast)",,DVD,
"4-17-1990 / Hamburg, Germany / Markthalle",AUD,FLAC,
"4-17-1990 / Hamburg, Germany / Markthalle - ANA(1) (Sony WM-D6) (dimitroy 2022 transfer)",AUD,FLAC,
"4-21-1990 / Frankfurt, Germany / Batschkapp",AUD,FLAC,
"4-22-1990 / Munich, Germany / Nachtwerk - ANA(x) (dimitroy 2022 transfer) ",AUD,FLAC,
"7-28-1990 / San Francisco, CA / The Warfield Theatre",AUD,FLAC,
"8-1-1990 / Denver, CO / Colorado Indoor Sports Complex",AUD,FLAC,
"8-5-1990 / Minneapolis, MN / First Avenue",AUD,FLAC,
"8-8-1990 / Cincinnati, OH / Bogart's",AUD,FLAC,
"8-15-1990 / Boston, MA / Axis Club",AUD,FLAC,
"9-3-1990 / Seattle, WA / Seattle Center Coliseum - Bumbershoot Festival *Soundgarden Seattle 1990",AUD,FLAC,
"9-3-1990 / Seattle, WA / Seattle Center Coliseum - Bumbershoot Festival - DAT(M) (jems)",AUD,FLAC,
"9-3-1990 / Seattle, WA / Seattle Center Coliseum - Bumbershoot Festival",MTX,FLAC,
"9-3-1990 / Seattle, WA / Seattle Center Coliseum - Bumbershoot Festival - Video8(M)",AUD,DVD,
"10-7-1990 / Costa Mesa, CA / Pacific Amphitheatre",AUD,FLAC,
,,,
[1991],,,
"10-6-1991 / Hollywood, CA / The Palladium *Live at the Palladium",Silver CD,FLAC,
"10-6-1991 / Hollywood, CA / High Voltage - Rip Magazine Awards",preFM,FLAC,
"10-6-1991 / Hollywood, CA / High Voltage - Rip Magazine Awards (thir13en remaster)",FM,FLAC,
"10-6-1991 / Hollywood, CA / Hollywood Palladium (RIP Magazine 5th Anniversary Party) (2 FM source merge)",FM,FLAC,
"10-12-1991 / Oakland, CA / Oakland Coliseum",AUD,FLAC,
"11-14-1991 / Charlotte, NC / 13.13 Club",AUD,FLAC,
"12-16-1991 / Philadelphia, PA / Spectrum",AUD,FLAC,
"12-17-1991 / Philadelphia, PA / Spectrum",AUD,FLAC,
"12-17-1991 / Philadelphia, PA - The Spectrum (Upgraded) ",AUD,AVI,
,,,
[1992],,,
"1-13-1992 / Fairborn, OH / Ervin J. Nutter Center (Wright State University)",AUD,FLAC,
"1-14-1992 / Fairborn, OH / Ervin J. Nutter Center (Wright State University)",AUD,FLAC,
"1-28-1992 / San Diego, CA / San Diego Sports Arena - ANA(x)",AUD,FLAC,
"1-29-1992 / Los Angeles, CA / The Holiday Inn (Interview)",TV,MPG,
"1-29-1992 / Hollywood, CA / The Palace - VHS(x) (audio upgrade)",AUD,AVI,
2-XX-1992 / The Cutting Edge Radio Program,preFM,FLAC,
"2-1-1992 / Chandler, AZ / Compton Terrace",AUD,FLAC,
"2-9-1992 / St. Louis, MO / Fox Theatre - VID(1) (bobc) ",AUD,DVD,
"2-12-1992 / Minneapolis, MN / Roy WIlkins Auditorium",AUD,FLAC,
"2-14-1992 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"2-23-1992 / Omaha, NE / Omaha Civic Auditorium Music Hall",AUD,FLAC,
"3-5-1992 / Seattle, WA / Parmount Theatre",PRO #1a,DVD,
"3-12-1992 / London, UK / Underworld *Crown of Thorns",Silver CD,FLAC,
"3-14-1992 / Copenhagen, Denmark / Pumpahuset",AUD,FLAC,
"3-17-1992 / Stockholm, Sweden / The Domino (christer johansson) (heywood remaster)",AUD,FLAC,
"3-17-1992 / Stockholm, Sweden / Domino - ANA(3) (themetalist transfer)",AUD,FLAC,
"3-19-1992 / Rotterdam, Netherlands / Nighttown *Big Dumb Sex",Silver CD,FLAC,
"3-20-1992 / Utrecht, The Netherlands / Tivoli (johan w.)",AUD,FLAC,
"3-20-1992 / Utrecht, The Netherlands / Tivoli (remaster)",AUD,FLAC,
"3-23-1992 / Frankfurt, Germany / Music Hall",AUD,FLAC,
"3-23-1992 / Frankfurt, Germany / Music Hall",MTX,FLAC,
"4-3-1992 / London, UK / Town and Country Club",MTX,FLAC,
"4-19-1992 / San Francisco, CA / The Warfield",DVD,DVD,
"4-19-1992 / San Francisco, CA / The Warfield (2 source matrix) (exene)",MTX,FLAC,
"5-2-1992 / Chicago, IL / Riviera Theatre",AUD,FLAC,
"6-6-1992 / Paris, France / Hippodrome de Vincennes",SBD,FLAC,
"6-6-1992 / Paris, France / Hippodrome de Vincennes",Promo VHS,DVD,
"6-8-1992 / Landgraaf, The Netherlands / Draf-en renbaan (Pinkpop)",FM,FLAC,
