Stone Temple Pilots,Versions,File Type,
Drive - C,,,
,,,
,,,
[1993],,,
"1-18-1993 / Allentown, PA / Ag Hall - ANA(M) (Sony WM-D3) (koondog) (inc)",AUD,FLAC,
"2-1-1993 / St. Louis, MO / American Theater - VHS(M) (alvarojam remaster) ",AUD,DVD,
"4-1-1993 / Frankfurt, Germany / Batschkapp (Hi8 Camera) (bobfather) ",AUD,DVD,
"4-4-1993 / Groningen, The Netherlands / The Vera *The Great Pretenders (Banzai BZCD041)",Silver CD,FLAC,
"4-4-1993 / Groningen, Netherlands / Vera - ANA(1) (unk) (r. huizinga) (mats666 transfer) ",AUD,FLAC,
"7-2-1993 / Castaic, CA / Castaic Lake Natural Amphitheatre (D6 Master)",AUD,FLAC,
"7-16-1993 / Forest Lake, MN / Trout Air *Temple of Darkness (Alley Cat AK002)",AUD,FLAC,
"8-29-1993 / Dronten, Netherlands / Biddinghuizen - Lowlands Paradise Festival - ANA(1) (r. huizinga)",AUD,FLAC,
"8-29-1993 / Dronten, The Netherlands / Lowlands Festival *Westwood One ""In Concert""",preFM,FLAC,
"10-10-1993 / Mountain View, CA / Shoreline Amphitheater (Schoeps MK4) (nick c transfer)",AUD,FLAC,
"10-15-1993 / Phoenix, AZ / Arizona State Fair - DAT(M) (david homes) (krw&co transfer)",AUD,FLAC,
"10-15-1993 / Phoenix, AZ / Arizona State Fair, Phoenix (PC-62) (kingsrue transfer)",AUD,FLAC,
"11-20-1993 / New York, NY / Saturday Night Live (2021 rebroadcast)",TV,TS,
,,,
[1994],,,
"XX-XX-1994 / New York, NY / Unknown Venue",AUD,FLAC,
"7-20-1994 / Las Vegas, NV / Aladdin Theater (Sony stereo mic) (scott tillotson)",AUD,FLAC,
"8-12-1994 / Chicago, IL / UIC Pavilion - ANA(2) (unk) (mats666 transfer)",AUD,FLAC,
"8-22-1994 / Worcester, MA / The Centrum (WW1 - 97-23)",preFM,FLAC,
"8-23-1994 / New Haven, CT / New Haven Veterans Memorial Coliseum  (Aiwa M30A Mic) (unk)",AUD,FLAC,
"11-1-1994 / Amsterdam, Netherlands / ANA(1) (unk) (r. huizinga) (mats666 transfer)",AUD,FLAC,
"12-10-1994 / Los Angeles, CA / KROQ Acoustic X-mas (Sony D3)",FM,FLAC,
"12-10-1994 / Universal City, CA / Universal Amphitheatre ",FM,FLAC,
"12-19-1994 / Los Angeles, CA / Universal Amphitheater - KROQ's Almost Acoustic Christmas *Unplugged and More (CH004)",Silver CD,FLAC,
,,,
[1996],,,
"11-4-1996 / Universal City, CA / Universal Amphitheatre - ANA(M) (unk)",AUD,FLAC,
"11-9-1996 / San Jose, CA / San Jose Arena",SBD,FLAC,
"11-9-1996 / San Jose, CA / HP Pavilion (Shark Tank) (Sony ECM-727) (don)",MTX,FLAC,
"11-21-1996 / West Palm Beach, FL / Coral Sky Amphitheatre - DAT(M) (datfly)",AUD,FLAC,
"11-25-1996 / New York, NY / Madison Square Garden - ANA(M) (Aiwa) (unk)",AUD,FLAC,
