Sufjan Stevens,Versions,File Type
Drive - D,,
,,
,,
[2004],,
"10-1-2004 / Santa Maria da Feira, Portugal / Teatro Antunio Lamoso - Festival Para Gente Sentada (unk)",AUD,FLAC
"11-16-2004 / Toronto, Ontario / Lee's Palace",WEB,FLAC
,,
[2005],,
"7-14-2005 / Los Angeles, CA / KCRW",FM,FLAC
"7-16-2005 / Los Angeles, CA / El Rey Theatre",AUD,FLAC
"7-23-2005 / Seattle, WA / The Triple Door - KEXP",preFM,FLAC
"7-29-2005 / Denver, CO / Bluebird Theater (CSB) (fatah ruark)",AUD,FLAC
"7-30-2005 / Aspen, CO / Belly Up (CSB) (fatah ruark)",AUD,FLAC
"9-8-2005 / Somerville, MA / Somerville Theatre (CSB) (unk)",AUD,FLAC
,,
[2006],,
"10-13-2006 / Portland, OR / Crystal Ballroom (AKG C1000s + SBD) (thir13en productions)",MIX,FLAC
"10-14-2006 / Vancouver, BC / St. Andrews Wesley Church - WAV(M) (DPA 4061) (unk)",AUD,FLAC
,,
[2010],,
"10-15-2010 / Chicago, IL / The Chicago Theatre (CA-14s) (brian emerick)",AUD,FLAC
"11-6-2010 / Atlanta, GA / The Tabernacle (Tascam DR-70) (doc)",AUD,FLAC
,,
[2011],,
"2-4-2011 / Perth, Australia / Regal Theatre (Yoga EM-8) (eclect)",AUD,FLAC
"5-27-2011 / Barcelona, Spain / Primavera Festival (DPA 4061) (unk)",AUD,FLAC
,,
[2012],,
"4-8-2012 / Amsterdam, The Netherlands / Muziektheater - Planetarium (DPA 4060s) (ian macdonald)",AUD,FLAC
"11-23-2012 / Philadelphia, PA / Union Transfer (unk)",AUD,FLAC
,,
[2015],,
"4-9-2015 / Philadelphia, PA / Academy of Music (Tascam DR-40) (unk)",AUD,FLAC
"4-10-2015 / Philadelphia, PA / Academy of Music (Tascam DR-40) (docrupard)",AUD,FLAC
"5-2-2015 / Brooklyn, NY / Kings Theatre (Tascam DR-40) (doc)",AUD,FLAC
"5-12-2015 / Austin, TX / Bass Concert hall (Tascam DR-07MKII) (unk)",AUD,FLAC 24
"7-18-2015 / Eau Claire, WI / Eaux Claires Festival (Zoom H1) (fireworksordie)",AUD,FLAC
"8-30-2015 / Edinburgh, Scotland / Edinburgh Playhouse (CA-11) (rairun)",AUD,FLAC
"8-31-2015 / Manchester, UK / Manchester Apollo (CA-11) (rairun)",AUD,FLAC
"9-3-2015 / London, UK / Royal Festival Hall (CA-11) (rairun)",AUD,FLAC
"9-4-2015 / Brighton, UK / Brighton Dome (CA-11) (rairun)",AUD,FLAC
"9-6-2015 / Briston, UK / Colston Hall (CA-11) (rairun)",AUD,FLAC
"9-16-2015 / Berlin, Germany / Admiralspalast (DPA 4061) (hanno)",AUD,FLAC
"9-29-2015 / Barcelona, Spain / Auditori Forum (CA-11) (rairun)",AUD,FLAC
"9-30-2015 / Madrid, Spain / Teatro Circo Price (CA-11) (rairun)",AUD,FLAC
,,
[2016],,
"4-15-2016 / Indio, CA / Empire Polo Grounds - Coachella",Webcast,TS
"7-16-2016 / Chicago, IL / Union Park - Pitchfork Music Festival",Webcast,TS
"7-18-2016 / Denver, CO / Red Rocks Amphitheatre (CA-11) (rairun)",AUD,FLAC
"8-6-2016 / San Francisco, CA / Golden Gate Park - Outside Lands Music & Arts Festival",Webcast,TS
,,
[2017],,
"7-10-2017 / Paris, France / Philharmonie de Paris - Planetarium (CA-11) (rairun)",AUD,FLAC
"7-10-2017 / Paris, France / Philharmonie de Paris - Planetarium (rairun)",AUD,MP4
,,
[2018],,
"4-21-2018 / New York, NY / The Town Hall - Live from Here with Chris Thile",PRO,MP4
