Eels,Versions,File Type
Drive - B,,
,,
,,
[1994],,
"9-25-1994 / Santa Monica, CA / ""Brave New World"" Session - KCRW-FM (Mark Oliver Everett Solo)",FM,FLAC
,,
[1996],,
"8-31-1996 / Philadelphia, PA / Trocadero (SS-DSM6S) (jlizard)",AUD (48k),FLAC
"10-29-1996 / Hollywood, CA / Roxy (M) (Sony ECM-909A) (marco moir) ",AUD,FLAC
"11-15-1996 / Essen, Germany / Grughalle (WDR ROckpalast German TV)",PRO #1a,DVD
,,
[1997],,
"4-27-1997 / Rotterdam, The Netherlands / Nighttown (ECM-MS907) (unk)",AUD,FLAC
"4-30-1997 / London, UK / Shepherd's Bush Empire (BBC Radio1) - DAT(M)",FM,FLAC
"8-15-1997 / St Malo, France / La Route du Rock (smog31)",FM,FLAC
"8-24-1997 / Biddinghuizen, The Netherlands / Lowlands (FM & Sony MZ-R30)",MTX,FLAC
,,
[1998],,
"9-28-1998 / London, UK / Royal Festival Hall - ANA(M) (CSB) (unk)",AUD,FLAC
"10-2-1998 / Utrecht, The Netherlands / Vredenburg",FM,FLAC
"10-5-1998 / Stockholm, Sweden / Södra Teatern",FM,FLAC
"10-19-1998 / Santa Monica, CA / KCRW Morning Becomes Eclectic",FM,FLAC
,,
[1999],,
"9-17-1999 / Los Angeles, CA / Largo (unk) (E Solo) ",AUD,FLAC
,,
[2000],,
"3-13-2000 / London, UK / Dominion Theatre (Sony ECM-MS907) (unk)",AUD,FLAC
"3-15-2000 / Antwerp, Belgium / Koningin Elisabethzaal - MD(M) (Sony ECM-MS907) (unk)",AUD,FLAC
"3-17-2000 / Paris, France / La Cigale (unk)",AUD,FLAC
"3-19-2000 / Hamburg, Germany / Markethalle (unk)",AUD,FLAC
"3-20-2000 / Berlin, Germany / Passionskirche (unk)",AUD,FLAC
"3-23-2000 / Paris, France / Maison de la Radio - Studio 105 (Black Session #158) (smog31)",FM,FLAC
"3-26-2000 / Groningen, The Netherlands / Oosterpoort - MD(M) (Sony ECM-MS907) (unk)",AUD,FLAC
"5-24-2000 / Lisboa, Portugal / Lux - ANA(M) (z)",FM,FLAC
,,
[2001],,
"8-24-2001 / Reading, England / Main Stage - Reading Festival - DAT(M) (EM-8) (gary watson)",AUD #1,FLAC
"8-28-2001 / London, UK / The Forum",AUD,FLAC
"11-16-2001 / Vienna, Austria / Planet Music",FM,FLAC
,,
[2002],,
"3-16-2002 / Austin, TX / La Zona Rosa (DSM-6S) (andrew fogelsong)",AUD,FLAC
,,
[2003],,
"9-16-2003 / Perth, Australia / The Globe (unk)",AUD,FLAC
"11-1-2003 / Clifton Park, NY / Northern Lights (Core Sound HEB) (smores)",AUD,FLAC
,,
[2005],,
"5-9-2005 / Santa Monica, CA / KCRW - Morning Become Eclectic",FM,FLAC
"6-4-2005 / Berlin, Germany / Postbahnhof",AUD,FLAC
"6-11-2005 / Santa Monica, CA / KCRW Morning Becomes Eclectic",FM,FLAC
"6-27-2005 / Philadelphia, PA / World Cafe (Panasonic Binaurals) (unk)",AUD,FLAC
,,
[2006],,
"4-6-2006 / Seattle, WA / Showbox - DAT(M) (unk)",AUD,FLAC
"6-30-2006 / Gallen, Switzerland / Open Air Stadium",FM,FLAC
,,
[2008],,
"2-19-2008 / London, UK / BBC Session (E Solo) (tommymc)",FM,FLAC
"2-25-2008 / London, UK / Royal Festival Hall (SP-CMC-8) (unk)",AUD,FLAC
"3-1-2008 / Gateshead, England / The Sage (MM-MCSM-3) (netheredgeman)",AUD,FLAC
"4-2-2008 / New York, NY / Highline Ballroom (DPA 4061s) (spitback)",AUD,FLAC
"4-15-2008 / Santa Monica, CA / KCRW In session (nibbler)",FM,FLAC
"4-27-2008 / Sydney, Australia / Enmore Theatre (CA-11) (exileded)",AUD,FLAC
,,
[2010],,
"10-13-2010 / Santa Monica, CA / KCRW Radio - Morning Becomes Eclectic (nibbler)",FM,FLAC
,,
[2013],,
"8-25-2013 / Parc National de Saint-Cloud, France / Rock en Seine (netspy)",PRO,TS
,,
[2018],,
"5-24-2018 / Santa Monica, CA - Morning Becomes Eclectic - KCRW",FM,FLAC
"6-2-2018 / Seattle, WA / Showbox (Shure MV88) (unk)",AUD,FLAC
"6-9-2018 / Brooklyn, NY / Brooklyn Steel (Schoeps MK41s) (spitback)",AUD,FLAC
"6-16-2018 / Paris, France / La Maison de la Radio ""Very Good Trip""",FM,FLAC
,,
[2019],,
"5-12-2019 / Los Angeles, CA / Theatre at Ace Hotel (SP-CMC-4U) (unk)",AUD,FLAC
"8-17-2019 / Hasselt, Belgium / Pukkelpop (trebor)",FM,FLAC
"8-17-2019 / Hasselt, Belgium / Pukkelpop",TV,FLAC
"8-23-2019 / Saint Cloud, France / Rock en Seine (SP-CMC-8) (unk)",AUD,FLAC
"8-24-2019 / Amstelveen, The Netherlands / Amsterdamse Bos - Once in a Blue Moon Festival (SP-CMC-8) (dutchbird)",AUD,FLAC
"9-10-2019 / Lyon, France / Radiant Bellevue (DPA 4061s & IEM) (a&j&h)",MTX,FLAC
,,
[2021],,
"1-29-2021 / Santa Monica, CA / KCRW Morning Becomes Eclectic",FM,FLAC
,,
[2023],,
"4-11-2023 / Luxembourg, Luxembourg / Den Atelier (CSB) (unk)",AUD,FLAC
,,
[MISC],,
"Useless Trinkets - B-sides, Soundtracks, Rarities and Unreleased (1999-2006)",Silver CD,FLAC
