The Jayhawks,Versions,File Type,
Drive - E,,,
,,,
[1985],,,
"XX-XX-1985 / Minneapolis, MN / MCAD Studio Demos",SBD,FLAC,
"9-XX-1985 / Minneapolis, MN / Uptown Bar",AUD,FLAC,
,,,
[1989],,,
"11-2-1989 / Minneapolis, MN / KABL Radio",FM,FLAC,
,,,
[1990],,,
"5-26-1990 / East Orange, NJ / Music Faucet - WFMU",FM,FLAC,
"6-20-1990 / Iowa City, IA / Gabe's Oasis",SBD,FLAC,
"6-30-1990 / Madison, WI / Memorial Union Terrace",FM,FLAC,
"9-1-1990 / Minneapolis, MN / Hyatt Hotel",SBD,FLAC,
,,,
[1991],,,
"7-16-1991 / Hoboken, NJ / Maxwell's",SBD,,
"9-27-1991 / Minneapolis, MN / Uptown Bar",SBD,,
,,,
[1992],,,
XX-XX-1992 / Minnesota Musicians - KTCA Cities 97 Simulcast,FM,FLAC,
"10-24-1992 / Santa Monica, CA / KCRW Studios - Glboal Gumbo",FM,FLAC,
,,,
[1993],,,
"2-14-1993 / Chicago, IL / The Metro",SBD,FLAC,
"3-23-1993 / Amsterdam, The Netherlands / Unknown Venue",SBD,FLAC,
"3-28-1993 / Copenhagen, Denmark / Pumpehuset",FM,FLAC,
"3-30-1993 / Oslo, Norway / Saturn Club",MTX,SHN,
"5-14-1993 / New Haven, CT / Toad's Place",SBD,FLAC,
"10-2-1993 / San Francisco, CA / Slim's - ANA(M) (ECM-909) (tjcruz)",AUD,FLAC,
,,,
[1995],,,
"2-12-1995 / Ames, IA / People's Bar & Grill  (mr. sifter remaster)",SBD,FLAC,
"10-20-1995 / San Francisco, CA / The Fillmore (unk) (neekrive) ",AUD,FLAC,
"10-22-1995 / West Hollywood, CA / The Troubadour (unk)",AUD,FLAC,
,,,
[2000],,,
"11-11-2000 / Philadelphia, PA / Theater of the Living Arts (Schoeps MK4vs) (bill haegele)",AUD,FLAC 24,
,,,
[2015],,,
"1-11-2015 / Solana Beach, CA / Belly Up,  (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[2018],,,
"7-16-2018 / Minneapolis, MN / Electric Fetus (AKG CK63)",AUD,FLAC,
,,,
[2020],,,
"3-8-2020 / Northampton, MA / Academy of Music Theatre (notarydpo)",AUD,FLAC,
,,,
[2019],,,
"6-15-2019 / Ardmore, PA / Ardmore Music Hall (SBD + Neumann KM84s) (julsay)",MIX,FLAC,
,,,
[2021],,,
"10-8-2021 / Washington, D.C. / The Hamilton (Gefell M21) (alex leary)",AUD,FLAC 24,
"10-24-2021 / San Francisco, CA / The Chapel (Schoeps CCM4) (unk) ",AUD,FLAC  ,
,,,
[2022],,,
"9-4-2022 / St. Paul, MN / Minnesota State Fair (ATM-11 SM) (mike mahoney)",AUD,FLAC,
,,,
[2023],,,
"4-12-2023 / Malmo, SWE / Slagthuset (CA14s) (Sony PCM-M10) (unk)",AUD,FLAC,
,,,
[2024],,,
"2-24-2024 / Evanston, IL / S.P.A.C.E. (Late Show) (DPA 4060) (ademotte)",AUD,FLAC 24,
"2-25-2024 / Evanston, IL / S.P.A.C.E. (Edirol R-07) (lucca)",AUD,FLAC,
"5-3-2024 / Hartford, CT / Infinity Music Hall (DPA 4061s + CSBs) (km)",MIX,FLAC 24,
"5-3-2024 / Hartford, CT / Infinity Hall (Tascam DR22) (john lombardi) (inc) ",AUD,FLAC,
,,,
[2025],,,
"8-3-2025 / Chesterfield, MO / The Factory (Sony PCM-A10) (shane e. calhoon)",AUD,FLAC 24,
"8-7-2025 / Chicago, IL / The Salt Shed (iPhone) (ryan fisher) ",AUD,FLAC,
"9-26-2025 / Ardmore, PA / Ardmore Music Hall (AKG C414B) (jamie burks)",AUD,FLAC 24,
"11-22-2025 / Tarrytown, NY / Tarrytown Music Hall (Instamic Pro Plus C) (km)",AUD,MIX 24,
,,,
[MISC],,,
The Jayhawks - Hollywood Town Hall Demos (1981-2024) (Remaster),,FLAC,
