The Offspring,Versions,File Type
Drive - C,,
,,
,,
[1991],,
"2-2-1991 / Berkeley, CA / 924 Gilman Street *Out of Control (OSE 788)",Silver CD,FLAC
,,
[1993],,
"5-23-1993 / Rapid City, SD / Romans Ron De Vu Days Inn - VHS(x) (unk)",AUD,DVD
,,
[1994],,
XX-XX-1994 / Unknown Location *Live USA (LSD CD 152.269),Silver CD,FLAC
"8-4-1994 / Toronto, Ontario / Opera House (unk)",AUD,FLAC
"8-29-1994 / Helsinki, Finland / Lepakko - VHS(1) (travisbickle1963 transfer)",AUD,MKV
"9-1-1994 / Copenhagen, Denmark / Ungdom Huset  (unk)",AUD,DVD
"9-25-1994 / Leicester, UK / The Charlotte *The Year that Punk Broke",Silver CD,FLAC
"11-1-1994 / Jacksonville, FL / The Edge *Rebelling Teens",Silver CD,FLAC
"11-4-1994 / Memphis, TN / New Daisy Teatre *Nitro (MECD 1190)",Silver CD,FLAC
,,
[1995],,
"1-21-1995 / VIC, Australia / The Palace (Triple J Broadcast) ",FM,FLAC
"1-26-1995 / Sydney, Australia / Big Day Out (unk)",AUD,DVD
"4-25-1995 / Nottingham, England / Rock City - VHS(1) (travisbickle1963 transfer)",AUD,MKV
"5-24-1995 / Springfield, IL / Fairgrounds Coliseum (unk)",AUD,DVD
"6-17-1995 / Pilton, England / Worthy Farm - Glastonbury Festival",FM,FLAC
"6-23-1995 / Pilton, England / Worthy Farm - Glastonbury Festival",PRO,DVD
"6-23-1995 / Pilton, England / Glastonbury Festival - Worthy Farm - VHS(1) (travisbickle1963) ",AUD,MKV
,,
[1997],,
"3-30-1997 / Dusseldorf, Germany / Philipshalle (unk)",AUD,FLAC
"3-30-1997 / Dusseldorf, Germany / Philipshalle",PRO,DVD
"6-14-1997 / Irvine, CA / Irvine Meadows",FM,FLAC
"6-14-1997 / Irvine, CA / Irvine Meadows",PRO,DVD
"6-14-1997 / Irvine, CA / Irvine Meadows - ANA(M) (unk)",AUD,FLAC
"7-20-1997 / Montreal, Quebec / Montreal Hippodrom - Warped Tour (unk)",AUD,FLAC
"8-2-1997 / Bremerton, WA / Kitsap County Fairgrounds - Endfest (unk)",AUD,FLAC
"10-3-1997 / Rochester, NY / Harro East Ballroom (CSB) (mh)",AUD,FLAC
"10-17-1997 / Austin, TX - MTV Sports and Music Fest (unk)",TV,DVD
,,
[1998],,
"5-31-1998 / Mansfield, MA / Great Woods P.A.C. *WBCN River Rave (Boston 104.1)",FM,FLAC
"5-31-1998 / Mansfield, MA / Great Woods - River Rave (2021 transfer)",FM,FLAC
"11-23-1998 / Las Vegas, NV / Joint - DAT(M) (CSC) (gc)",AUD,FLAC
,,
[1999],,
"3-4-1999 / Montreal, Quebec / Molson Centre - VHS(x) (unk)",AUD,DVD
"5-28-1999 / Pittsburgh, PA / Star Lake Amphitheater - DAT(M) (Schoeps CCM4)  (mw)",AUD,FLAC
"6-5-1999 / Atlanta, GA / Atlanta Motor Speedway",FM,FLAC
