The Shins,Versions,File Type
Drive - B,,
,,
,,
[2000],,
"12-20-2000 / Winooski, VT / Higher Ground (Sony ECM-MS907)",AUD,FLAC
,,
[2001],,
"11-13-2001 / Carrboro, NC / Cat's Cradle (CSB/mod)",AUD,FLAC
,,
[2002],,
"7-13-2002 / Austin, TX / Stubb's BBQ (Oktava MC012) (mark phillips)",AUD,FLAC
,,
[2003],,
"11-14-2003 / Minneapolis, MN / First Avenue (chris gacek)",SBD,FLAC
,,
[2004],,
"2-1-2004 / Seattle, WA / The Showbox (AKG 480s) (unk)",AUD,FLAC
"2-6-2004 / Los Angeles, CA / Henry Fonda Theatre - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC
"2-8-2004 / Mission Beach, CA / Canes Ballroom (AT831s) (tyler huff)",AUD,SHN
"2-10-2004 / Washington, D.C. / Black Cat (MBHO 603a/KA2000n) (scott)",AUD,SHN
"7-7-2004 / Gothenburg, Sweden / Accelerator Festival - Trädgår'n",SBD,FLAC
"10-10-2004 / Laguna Beach, CA / Acoustic X-Mas (James Mercer Solo) (AT831) (ljsurfer2002)",FM,FLAC
"12-11-2004 / Universal City, CA / KROQ Almost Acoustic Christmas - Gibson Amphitheatre",FM,FLAC
,,
[2005],,
"4-11-2005 / Minneapolis, MN / First Avenue (SR-71s) (dan lang)",AUD,FLAC
"4-12-2005 / Minneapolis, MN / 89.3 KCMP Studios (chris)",FM,FLAC
"4-17-2005 / Toronto, Ontario / The Kool Haus (Schoeps CCM41) (fares halteh)",AUD,FLAC
"5-13-2005 / Seattle, WA / Hec Ed Pavilion - University of Washington (SP-CMC-2) (mycarrion)",AUD,FLAC
,,
[2006],,
"8-6-2006 / Chicago, IL / Grant Park - Lollapalooza (unk)",AUD,FLAC
"8-23-2006 / Brooklyn, NY / McCarren Pool (Schoeps MK64) (vg/bel)",AUD,FLAC
"11-3-2006 / New York, NY / Gigantic Studios (dave caley)",Webcast,FLAC
,,
[2007],,
"1-26-2007 / Santa Monica, CA / KCRW Studios",FM,FLAC
"3-11-2007 / Washington, D.C. / DAR Constitution Hall (CA-STC-11s) (unk)",AUD,FLAC
"3-17-2007 / Toronto, Ontario / Kool Haus (CSC) (unk)",AUD,FLAC
"8-9-2007 / Sydney, Australia / Enmore Theatre  (Sony STR-DE598) (franger)",FM,FLAC
"10-5-2007 / Berkeley, CA / Greek Theatre (Schoeps CMC34) (unk)",AUD,FLAC
,,
[2009],,
"5-20-2009 / Boston, MA / Orpheum Theatre (Zoom H2) (happy jack)",AUD,FLAC
,,
[2012],,
3-28-2012 / Germany / Berlin Huxley's Neue Welt (Nokia dbox2) (elaljoscha),FM,FLAC
"5-3-2012 / Santa Monica, CA / KCRW Morning Becomes Eclectic - Apogee Studio",FM,FLAC
"6-10-2012 / Manchester, TN / Bonnaroo Festival - What Stage (SP-CMC-2) (billfloyd)",AUD,FLAC 24
"7-27-2012 / Byron Bay, Australia / Splendour in the Grass Festival (roman79 conversion)",FM,FLAC
"12-6-2012 / Las Vegas, NV / Joint (Edirol R09) (luke freteluco)",AUD,FLAC
,,
[2016],,
"9-2-2016 / London, England / Village Underground (Schoeps CCM5) (duncan)",AUD,FLAC 24
,,
[2017],,
"7-9-2017 / Milwaukee, WI / Summerfest - BMO Harris Pavilion (Sony PCM-M10) (jot)",AUD,FLAC
"11-3-2017 / Brooklyn, NC / Kings Theatre (CA-14s) (larryrulz)",AUD,FLAC
