Smashing Pumpkins,Versions,File Type,
Drive - B,,,
,,,
,,,
[1988],,,
XX-XX-1988 / The Ignoffo Tape (Studio) - DAT(M)>ANA(2),SBD,FLAC,
"8-10-1988 / Chicago, IL / Avalon",SBD,FLAC,
"8-10-1988 / Chicago, IL / Avalon (re-up)",SBD,FLAC,
"8-10-1988 / Chicago, IL / Avalon (thir13en remaster)",SBD,FLAC,
"10-5-1988 / Chicago, IL / Cabaret Metro (CR05)",Silver CD,SHN,
"11-19-1988a / Evanston, IL / Annie May Swift Hall (Interview)",preFM,SHN,
"11-19-1988 / Roselle, IL / Roselle Music (VID sourced)",preFM,FLAC,
"11-20-1988 / Chicago, IL / Exit (inc) - DAT(M)>ANA(1)",AUD,FLAC,
"11-23-1988 / Chicago, IL / The Metro (Nakamichi 300 or 500)",AUD,SHN,
,,,
[1989],,,
"XX-XX-1989 / Chicago, IL / Metro - VHS(1/2) (pshyco tape upgrade) (martin donohoe extraction)",AMT,FLAC,
"3-16-1989 / Chicago, IL / WZRD Radio Show - ANA(2) (Studio R2R mix)",FM,FLAC,
"3-16-1989 / Chicago, IL / WZRD Radio Show (thir13en remaster)",FM,APE,
"3-16-1989 / Chicago, IL / WZRD Radio Show - ANA(2) (Studeio R2R mix)",FM,SHN,
"4-30-1989 / Chicago, IL / The Metro (Nakamichi 300) - ANA(1)",AUD,SHN,
"10-31-1989 / Chicago, IL / The Metro - VHS(4)",AUD,FLAC,
,,,
[1990],,,
"3-30-1990 / Madison, WI / O'Cayz Corral - ANA(M) (lav mic) (matthew rogers)",AUD #1,FLAC,
"6-16-1990 / Madison, WI / Club de Wash - ANA(1)",FM,FLAC,
"8-25-1990 / Chicago, IL / The Metro (unk)",PRO,DVD,
"9-13-1990 / Cincinnati, OH / Shorty's Underground - ANA(M)",AUD,FLAC,
"12-31-1990 / Chicago, IL / Metro - ANA(2)",SBD,SHN,
"12-31-1990 / Chicago, IL / Metro - ANA-L (dan elsen) (upgrade)",SBD,FLAC,
,,,
[1991],,,
"2-8-1991 / Hoboken, NJ / Maxwell's Pub - ANA(M)",AUD,FLAC,
"2-8-1991 / Hoboken, NJ / Maxwell's Pub - ANA(M) (Walkman) (unk)",AUD,SHN,
"2-9-1991 / Cambridge, MA / TT The Bear's Place *Tribute to B.O.C. - Live Storm (LSCD 51510)",Silver CD,FLAC,
"2-12-1991 / New York, NY / CBGB's *Party All Night",Silver CD,FLAC,
"2-12-1991 / New York, NY / CBGB's *Party All Night (International Broadcast Recordings 2095) (dome rework)",Silver CD,FLAC,
"2-12-1991 / New York, NY / CBGB's - ANA(2) (unk) (ns transfer)",AUD #1,FLAC,
