Thelonious Monk,Versions,File Type
Drive - D,,
,,
,,
[1955],,
"6-10-1955 / New York, NY / Tonight Starring Steve Allen - Hudson Theatre",TV,FLAC
"6-10-1955 / New York, NY / 'Tonight Starring Steve Allen', WNBC (Goody Remaster)",TV,FLAC
,,
[1956],,
"11-17-1956 / Philadelphia, PA / Blue Note",AUD,FLAC
,,
[1961],,
"4-15-1961 / Amsterdam, The Netherlands / Concertgebouw *The First European Concert '61",Silver CD,FLAC
"4-16-1961 / Amsterdam, The Netherlands / Concertgebouw",FM,FLAC
"4-18-1961 / Paris, France / VanGelder Studios",FM,FLAC
"4-18-1961 / Paris, France / Olympia Theater *Thelonious Monk In Europe Vol. 3",Silver CD,FLAC
"5-6-1961 / Manchester, UK / Unknown Venue",FM,FLAC
"5-10-1961 / Bern, Switzerland / Casino",FM,FLAC
"5-16-1961 / Stockholm, Sweden / Konserthuset",FM,FLAC
,,
[1962],,
"11-12-1962 / New York, NY / Village Gate",SBD,FLAC
,,
[1963],,
"3-2-1963 / Baden, Germany / Baden",TV,FLAC
"3-5-1963 / Stockholm, Sweden / Unknown Venue",preFM,FLAC
"3-9-1963 / Paris, France / Olympia Theater",SBD,FLAC
"5-23-1963 / Tokyo, Japan / TBS-TV Studio G",SBD,FLAC
,,
[1964],,
"2-21-1964 / Copenhagen, Denmark / Tivoli Konserthal",FM,FLAC
"2-22-1964 / Paris, France / Alhambra",SBD,FLAC
"2-23-1964 / Paris, France / *Live in Paris 1964",Silver CD,SHN
"2-26-1964 / Zurich, Switzerland / Volkshaus",FM,FLAC
,,
[1965],,
"3-8-1965 / Bremen, Germany / Sendesaal Radio",FM,FLAC
"8-21-1965 / Montreal, Canada / Palace des Arts",SBD,FLAC
,,
[1966],,
"3-20-1966 / Paris, France / Radio - Sound A",FM,FLAC
"4-17-1966 / Copenhagen, Denmark / Tivolis Konserthal",FM,FLAC
"7-2-1966 / Newport, RI / Newport Jazz Festival",FM,FLAC
,,
[1967],,
"11-5-1967 / Paris, France / Salle Pleyel",SBD,FLAC
"11-8-1967 / Mainz, Germany / Liederhalle",FM,FLAC
"11-28-1967 / Rotterdam, Holland / Unknown Venue",FM,FLAC
,,
[1969],,
"11-7-1969 / Berlin, Germany / Philharmonie in Berlin - Jazztage",FM,FLAC
"12-2-1969 / Cologne, Germany / Sartory",AUD,FLAC
,,
[1971],,
"10-20-1971 / Milano, Italy / Giants of Jazz",FM,FLAC
"11-7-1971 / Boblingen, Germany / Kongresshalle",FM,FLAC
,,
[1972],,
"10-27-1972 / Paris, France / Unknown Venue",FM,FLAC
,,
[1975],,
"7-3-1975 / New York, NY / Philharmonie Hall",SBD,FLAC
,,
[MISC],,
Giants of Jazz - Unissued in Europe 1971 (w/ Dizzy Gillespie),Silver CD,FLAC
2-9&16-1963 - Birdland,FM,FLAC
