Toad the Wet Sprocket,Versions,File Type
Drive - F,,
,,
,,
[1986],,
"11-29-1986 / Santa Barbara, CA / Pat's Grass Shack (unk) (chris berryman transfer)",AUD,SHN
,,
[1988],,
"5-14-1988 / Santa Barbara, CA / Oscar's (unk) (paul covington)",AUD,SHN
,,
[1989],,
"2-1-1989 / Ventura, CA / Charlie's - VID(2) (unk) (ben wallis transfer)",AUD,FLAC
"9-27-1989 / Santa Barbara, CA / KCRW-FM",FM,FLAC
"12-5-1989 / Cudahy, WI / The Grand Ballroom - ANA(x) (unk)",AUD,FLAC
"12-2-1989 / Cleveland, OH / Cleveland Music Hall - ANA(x) (unk)",AUD,FLAC
,,
[1990],,
"4-11-1990 / Chicago, IL / Park West *Westwood One Promo CD",Silver CD,FLAC
"9-4-1990 / Ventura, CA / Charlie's - VID(2) (unk) (ben wallis transfer)",AUD,FLAC  
"9-18-1990 / Ventura, CA / Charlie's (unk) (ben wallis transfer)",AUD,FLAC
"11-27-1990 / Santa Barbara, CA / Shake - CASS(M) (michael greene)",AUD,FLAC
"11-30-1990 / Santa Barbara, CA / The Graduate - CASS(M) (michael greene)",AUD,FLAC
"12-15-1990 / Santa Barbara, CA / Alex's Cantina - ANA(x) (unk) (ben wallis transfer)",AUD,FLAC
,,
[1991],,
"5-9-1991 / Santa Barbara, CA / Zelos - ANA(x) (unk) ",AUD,FLAC
"5-11-1991 / La Jolla, CA / Price Center Plaza UC San Diego",SBD,FLAC
"5-31-1991 / Davis, CA / Live at the Quad UC Davis - CASS(x) (Sony ECM909) (unk)",AUD,FLAC
"6-14-1991 / Santa Barbara, CA / The Shack - 8MM(x) (unk)",AUD,FLAC
"7-19-1991 / Santa Barbara, CA / Victoria Street Theater - VHS(M) (michael greene)",AUD,FLAC
"8-1-1991 / Santa Barbara, CA / Fiesta Carnival - VID(x) (unk)",AUD,FLAC
"8-29-1991 / Isla Vista, CA / CD & Tape Store - VHS(M) (michael greene)",AUD,FLAC
"10-18-1991 / Chicago, IL / Live on WCBR FM (ben wallis transfer)",FM,FLAC
"11-10-1991 / Baltimore, MD / Andie Muzik - ANA(x) (unk)",AUD,FLAC
"11-14-1991 / Charlottesville, VA / Trax - ANA(x) (unk)",AUD,FLAC
"11-14-1991 / Charlottesville, VA / Trax - ANA(x) (unk)",FM,FLAC
"11-19-1991 / Philadelphia, PA / WXPN FM",FM,FLAC
"12-20-1991 / Bakersfield, CA / Mannequins (unk)",AUD,FLAC
"12-21-1991 / Santa Barbara, CA / Anaconda Theater",SBD,SHN
"12-22-1991 / San Francisco, CA / Hyatt Regency Hotel - Live 105 Christmas Show",FM,SHN
,,
[1992],,
"2-13-1992 / Salt Lake City, UT / Live at a Radio Station Venue - VID(x) (unk)",AUD,FLAC
"3-8-1992 / Charleston, WV / Mountain Stage - ANA(x) (unk)",AUD,FLAC
"3-28-1992 / New Britain, CT / The Sting (unk)",AUD,FLAC
"3-30-1992 / Virginia Beach, VA / Club Rogues - ANA(x) (unk) ",AUD,FLAC
"4-11-1992 / Cincinnati, OH / Bogart's - ANA(x) (unk)",AUD,FLAC
"4-13-1992 / Chicago, IL / Park West - ANA(x) (unk) ",AUD,FLAC
"4-29-1992 / Los Angeles, CA / The Palace",AUD,FLAC
"7-28-1992 / New York, NY / Austin J. Tobin Plaza at the World Trade Center - ANA(x) (unk)",AUD,FLAC
"8-1-1992 / Santa Barbara, CA / KTYD FM",FM,FLAC
"8-29-1992 / Asbury Park, NJ / Fastlane",AUD,FLAC
"9-1-1992 / Washington, D.C. / Lisner Auditorium",SBD,FLAC
"9-2-1992 / Norfolk, VA / The Boathouse - VID(x) (unk)",AUD,FLAC
"9-8-1992 / Columbus, OH / Newport Music Hall (Sony ECM-S220) (jb)",AUD,FLAC
"9-11-1992 / Palatine, IL / Harper College (Sony ECM-S220) (jb)",AUD,FLAC
"9-13-1992 / Dekalb, IL / Unknown Venue (Sony ECM-S220) (jb)",AUD,FLAC
"9-16-1992 / Boulder, CO / Fox Theater",SBD,SHN
"9-20-1992 / San Francisco, CA / Golden Gate Park - ANA(x) (unk)",AUD,FLAC
"9-25-1992 / Los Angeles, CA / Wiltern Theater - DAT(M) SS-DSM6) (jeff lester)",AUD,FLAC
"11-30-1992 / New Orleans, LA / Tipitina's (WTUL 91.5) - ANA(x) (unk)",FM,FLAC
,,
[1993],,
"2-18-1993 / London, England / Camden Underworld - ANA(x) (unk)",AUD,FLAC
"3-27-1993 / East Lansing, MI / MSU Auditorium (Sony ECM-S220) (jb)",AUD,FLAC
"4-3-1993 / Santa Barbara, CA / Brewhouse - ANA(1) (unk)",AUD,FLAC
"4-18-1993 / Harrisonburg, VA / James Madison University - ANA(x) (unk)",AUD,FLAC
"7-24-1993 / Santa Barbara, CA / Santa Barbara Polo Grounds",SBD,FLAC
,,
[1994],,
"5-17-1994 / Los Angeles, CA / Capitol Studios - Modern Rock Live - ANA(x)",FM,FLAC
"5-28-1994 / Goleta, CA / Rape Crisis Benefit #2 - CASS(M) (michael greene)",AUD,FLAC
"6-10-1994 / Mountain View, CA / Shoreline Amphitheater",FM,SHN
"6-30-1994 / Detroit, MI / Saint Andrew's Hall - ANA(x) (unk)",AUD,FLAC
"7-7-1994 / New York, NY / Roseland Ballroom - ANA(x) (unk)",AUD,FLAC
"7-10-1994 / Washington, DC / WUST Radio Music Hall - ANA(x) (unk)",AUD,FLAC
"7-13-1994 / Pittsburgh, PA / Metropol - ANA(x) (unk) ",AUD,FLAC
"7-21-1994 / Chicago, IL / Cabaret Metro",TV,SHN
"7-21-1994 / Chicago, IL / Cabaret Metro",AUD,SHN
"8-1-1994 / Tempe, AZ / Club Rio - ANA(x) (unk) ",AUD,FLAC
"8-8-1994 / Seattle, WA / DV8 - ANA(x) (unk)",AUD,FLAC
"8-8-1994 / Seattle, WA / Live on KMTT FM (ben wallis transfer)",FM,FLAC
"8-8-1994 / Seattle, WA / Live on KNDD FM (ben wallis transfer) ",FM,FLAC
"8-14-1994 / Sausalito, CA / The Plant - ANA(x) (unk)",AUD,FLAC
"9-7-1994 / Copenhagen, Denmark / Pumpehuset - ANA(x) (unk)",AUD,SHN
"9-25-1994 / Newcastle Upon Tyne, England / Riverside - ANA(x) (unk)",AUD,FLAC
"10-4-1994 / Santa Ana, CA / Galaxy Theater",AUD,FLAC
"10-15-1994 / Lan Luis Obispo, CA / CA Polytechnic State University - ANA(x) (unk)",AUD,FLAC
"10-17-1994 / Tucson, AZ / The Rock - ANA(x) (unk)",AUD,SHN
"10-21-1994 / Denver, CO / University of Denver - ANA(x) (unk)",AUD,FLAC
"10-28-1994 / Macomb, IL / Western IL University - ANA(x) (unk)",AUD,FLAC
"10-29-1994 / Northfield, MN / St. Olaf College - ANA(x) (unk)",AUD,FLAC
"11-2-1994 / Green Bay, WI / Weidner Center For The Performing Arts - ANA(x) (unk) ",AUD,FLAC
"11-5-1994 / Champaign, IL / University of IL - Foellinger Auditorium - ANA(x) (unk)",AUD,SHN
"11-9-1994 / Grand Rapids, MI / The Orbit Room - ANA(x) (unk)",AUD,FLAC
"11-11-1994 / Bloomington, IN / Indiana University Auditorium - ANA(x) (unk)",AUD,FLAC
"11-19-1994 / New Britain, CT / Central CT State University- ANA(x) (unk)",AUD,FLAC
,,
[1995],,
"2-15-1995 / Houston, TX / KRBE-FM",FM,FLAC
"2-15-1995 / Pittsburgh, PA / WYEP-FM ",FM,FLAC
"3-1-1995 / Los Angeles, CA / KLOS FM - Mark and Brian Show",FM,FLAC
"3-2-1995 / Santa Barbara, CA / Arlington Theater",AUD,FLAC
"3-6-1995 / Berkeley, CA / Berkeley Community Theatre - ANA(x) (unk)",AUD,FLAC
"3-10-1995 / Seattle, WA / The Moore Theater (unk) ",AUD,FLAC
"3-11-1995 / Seattle, WA / Moore Theatre",AUD,FLAC
"3-17-1995 / Davenport, IA / Palmer Auditorium  - ANA(x) (unk)",AUD,FLAC
"3-20-1995 / Madison, WI / Madison Civic Center (Sony ECM-S220) (jb)",AUD,FLAC
"3-20-1995 / Madison, WI / Live on WMAD FM (ben wallis transfer)",FM,FLAC
"3-28-1995 / Detroit, MI / State Theater",AUD,FLAC
"3-30-1995 / Indianapolis, IN / Murat Theatre - ANA(x) (unk)",AUD,FLAC
"3-30-1995 / Indianapolis, IN / WFBQ (with Hootie & the Blowfish) (unk)",FM,FLAC
"4-1-1995 / Cincinnatti, OH / Taft Theatre - ANA(x) (unk)",AUD,FLAC
