Tom Petty & the Heartbreakers,Versions,,,,File Type,
Drive - F,,,,,,
,,,,,,
,,,,,,
[1973],,,,,,
"1-14-1973 / Gainesville, FL / The Rathskeller (w/ the Mudcrutch) - ANA(1)",AUD,,,,FLAC,
,,,,,,
[1976],,,,,,
"12-12-1976 / Boston, MA / Paul's Mall *Official Live Leg (LP)",SBD,,,,FLAC,
,,,,,,
[1977],,,,,,
"2-23-1977 / Chicago, IL / Ivanhoe Theatre - ANA(x) (unk) ",AUD,,,,FLAC,
"3-5-1977 / Royal Oak, MI / Royal Oak Theatre (Cheap Trick) - ANA(M) (Radioshack with built-in) (friend of jems)",AUD,,,,FLAC,
"4-XX-1977 / San Francisco, CA / Unknown Venue - ANA(1)",FM,,,,FLAC,
"4-23-1977 / Sausalito, CA / Record Plant *Wild One Forever",FM,,,,FLAC,
"4-23-1977 / Sausalito, CA / The Record Plan (KSAN FM) (Source 2)",FM,,,,FLAC,
"5-30-1977 / Geleen, The Netherlands / Pinkpop Festival (hans de vente)",FM,,,,FLAC,
"5-31-1977 / Brussels, Belgium / Cirque Royal (mauro)",AUD,,,,FLAC,
6-XX-1977 /  Essen Gruga Halle / Rockpalast (mauro),SBD,,,,FLAC,
"6-14-1977 / Koln, Germany / Studio L",SBD,,,,FLAC,
"6-14-1977 / Cologne, Germany / WDR TV Studio L (inc) (Source 2)",SBD,,,,FLAC,
"6-14-1977 / Cologne, Germany / Studio L - CASS(K) (Source 3)",SBD,,,,FLAC,
"9-25-1977 / San Francisco, CA / Rock Around the World (moosetrack)",preFM,,,,FLAC,*Includes 1978-02-12
"10-1-1977 / San Francisco, CA / Rock Around the World Broadcast (Promo BBC)",FM,,,,FLAC,
"11-11-1977 / Passaic, NJ / Capitol Theater - Studio A",FM,,,,FLAC,
"11-11-1977 / Hollywood, CA / Capitol Records Tower - Studio A (krw_co transfer) (Source 2)",FM,,,,FLAC,
"11-29-1977 / Roslyn, NY / My Father's Place *Don't Bring Me Down + Demos '74-'78",,,,,SHN,
,,,,,,
[1978],,,,,,
"XX-XX-1978 / Boston, MA / Paradise Theater (WBCN)",preFM,,,,SHN,*Might be 7-14-1998
"2-12-1978 / San Francisco, CA / Rock Around the World (moosetrack)",SBD,,,,FLAC,*Includes 1977-09-25
"4-22-1978 / New York, NY / Record Plant Studios (with Al Kooper)",SBD,,,,FLAC,
"4-22-1978 / New York, NY / Record Plant Studio (Source 2) ",SBD,,,,FLAC,
"6-20-1978 / London, UK / BBC2 Studio B",TV,,,,FLAC,
"7-12-1978 / Detroit, MI / Cobo Arena - ANA(M) (unk) (jems master)",AUD,,,,FLAC 24,
"7-14-1978 / New York, NY / The Palladium",AUD,,,,FLAC,
"7-16-1978 / Boston, MA / Paradise Rock Club *Breakdown",FM,,,,FLAC,
"7-16-1978 / Boston, MA / Paradise Rock Club  (WMET FM Chicago Broadcast) (r.j.p.)",FM,,,,FLAC 24,
"8-3-1978 / New Orleans, LA / The Warehouse - CASS(M) (freezer)",AUD,,,,FLAC,
"12-30-1978 / San Francisco, CA / Winterland",SBD,,,,FLAC,
"12-31-1978 / Santa Monica, CA / Civic Auditorium - New Year's Eve Show",SBD,,,,FLAC,
,,,,,,
[1979],,,,,,
"7-23-1979 / Salinas, CA / Sherwood Hall",SBD,,,,FLAC,
"7-24-1979 / Santa Cruz, CA / Civic Auditorium",SBD,,,,FLAC,
"7-25-1979 / Sacramento, CA / Community Theatre",SBD,,,,FLAC,
"9-22-1979 / New York, NY / Madison Square Garden - ANA(1) (Hand held Walkman) (stonecutter collection)",AUD,,,,FLAC,
"9-22-1979 / New York, NY / Madison Square Garden (unk)",AUD,,,,FLAC,
"9-23-1979 / New York, NY / Madison Square Garden",FM,,,,FLAC,
"11-11-1979 / NYC, NY / The Palladium - ANA(M) unk) (elegymart)",AUD,,,,FLAC,
"11-11-1979 / New York, NY / The Palladium (Panasonic) (nevinsrip) (glasnostrd remaster)",AUD,,,,FLAC,
"11-13-1979 / Upper Darby, PA / Tower Theater - ANA(M) (the big a)",AUD,,,,FLAC,
"11-16-1979 / Detroit, MI / Masonic Temple - ANA(1) (ds archives) ",AUD,,,,FLAC,
"11-18-1979 / Toronto, ON - Seneca Gym (Sony TC-110) (sf tapes) (jems) ",AUD,,,,FLAC,
"11-19-1979 / Boston, MA / Orpheum Theater - CASS(1) (unk)",AUD,,,,FLAC,
"12-6-1979 / Houston, TX / Houston Music Hall (unk)",FM,,,,FLAC,
XX-XX-1979 / Retro Rock Radio Broadcast,FM,,,,FLAC,
,,,,,,
[1980],,,,,,
"1-21-1980 / Los Angeles, CA / Whiskey (Panasonic) (scott s. transfer)",AUD,,,,FLAC,
"3-6-1980 / London, England / King Biscuit Flower Hour ",FM,,,,FLAC,
"3-(6-7)-1980 / London, England / Hammersmith Odeon ",FM,,,,FLAC,
"3-7-1980 / London, England / Hammersmith Odeon",FM,,,,FLAC,
"3-7-1980 / London, England / Hammersmith Odeon (Source #2) ",FM,,,,FLAC,
"3-18-1980 / Paris, France / Live at Chorus - Theatre De L'Empire (French TV)",PRO,,,,DVD,
"3-24-1980 / Oxford, England / Oxford Polytechnic",FM,,,,FLAC,
"3-24-1980 / Oxford, England / Oxford Polytechnic - BBC4",TV,,,,DVD,
"4-17-1980 / Nagoya, Japan / Kinro Kaikan - ANA(2) (Sony D5) ",AUD,,,,FLAC,
"4-27-1980 / Sydney, Australia / Capitol Theatre (unk) (biccio59)",AUD,,,,FLAC,
"6-3-1980 / London, England / Hammersmith Odeon (KBFH/WXCD  94.7) - DAT(M) (krw_co)",FM,,,,FLAC,
"7-4-1980 / New York, NY / The Palladium (unk) ",AUD,,,,FLAC,
"7-5-1980 / New York, NY / The Palladium (gene poole collection)",AUD,,,,FLAC,
"7-6-1980 / New York, NY / The Palladium (gene poole collection)",AUD #1,,,,FLAC,
"7-6-1980 / New York, NY / The Palladium (gene poole collection)",AUD,,,,FLAC,
"7-9-1980 / Philadelphia, PA / Spectrum",AUD,,,,FLAC,
"7-9-1980 / Philadelphia, PA / The Spectrum",FM,,,,FLAC,
"11-10-1980 / New York, NY / Saturday Night Live TV ",TV,,,,FLAC,
,,,,,,
[1981],,,,,,
"6-17-1981 / Rosemont, IL / Rosemont Horizon",AUD,,,,FLAC,
"6-18-1981 / Detroit, MI / Cobo Arena - ANA(M) (Teac M-100) (krw_co transfer)",AUD,,,,FLAC,
"6-30-1981 / Inglewood, CA / Forum (Millard Master via JEMS Vol. 67)",AUD,,,,FLAC,
"7-5-1981 / Seattle, WA / HEC Edmundson Pavillion (Nak. 700s) (ms)",AUD,,,,FLAC,
"7-5-1981 / Seattle, WA / HEC Edmundson Pavilion (JEMS master) ",AUD,,,,FLAC,
"8-3-1981 / Bethlehem, PA / Stabler Arena, - ANA(M) Iunk) (luvsufo)",AUD,,,,FLAC 24,
"8-7-1981 / Boston, MA / The Boston Garden ",AUD,,,,FLAC,
"9-6-1981 / Sacramento, CA / Cal Expo Racetrack (Electrovoice RE's)",AUD,,,,FLAC,
"9-18-1981 / Irvine, CA / Irvine Meadows - ANA(1) (CM300) (persic)",AUD,,,,FLAC,
"9-19-1981 / Irvine, CA / Irvine Meadows - ANA(1) (CM300) (persic)",AUD,,,,FLAC,
"10-2-1981 / Lakeland, FL / Lakeland Civic Center (unk)",AUD,,,,FLAC,
"10-6-1981 / St. Petersburg, FL / Bay Front Center (inc)",AUD,,,,FLAC,
"10-8-1981 / Gainesville, FL / Stephen C. O'Connell Center",AUD,,,,FLAC,
,,,,,,
[1982],,,,,,
"9-1-1982 / Santa Cruz, CA / Civic Center (M) (kirit kapadia)",AUD,,,,FLAC,
"12-3-1982 / Nogent-sur-Marne, France / Pavillon Baltard (unk) (biccio59)",AUD,,,,FLAC,
"12-4-1982 / Utrecht, Netherlands / Vredenurg *Straight Into Darkness",SBD,,,,FLAC,
"12-10-1982 / Coventry, UK / Apollo Theater (unk)",AUD,,,,FLAC,
"12-12-1982 / London, England / Wembley Arena",FM,,,,FLAC,
"12-14-1982 / Munchen, Germany / Deutsches Museum Kongresshalle - ANA(1) (ph)",AUD,,,,FLAC,
,,,,,,
[1983],,,,,,
"2-17-1983 / Bethlehem, PA / Stabler Arena - ANA(M) (luvsufo) (krw_co transfer) ",AUD,,,,FLAC 24,
"3-5-1983 / Kansas City, MO / Municipal Auditorium - ANA(1)",AUD,,,,FLAC,
