Tool,Versions,File Type,
Drive - D,,,
,,,
,,,
[1991],,,
"9-5-1991 / Los Angeles, CA / The Jello Loft",SBD,FLAC,
,,,
[1992],,,
"4-23-1992 / Boston, MA / The Rat (Aiwa HS-M2) (unk)",AUD,FLAC,
"4-25-1992 / New York, NY / CBGB's (Sony ECM-909)",AUD,FLAC,
"5-1-1992 / Providence, RI / Club Babyhead (unk video source)",AUD,FLAC,
"5-2-1992 / Philadelphia, PA / JC Dobbs (unk video source)",AUD,FLAC,
"5-2-1992 / Philadelphia, PA / JC Dobbs",AUD,DVD,
"5-3-1992 / New York, NY / The Limelight (unk video source)",AUD,FLAC,
"5-3-1992 / New York, NY / The Limelight (Sony DCR-TR7) (M) (unk)",AUD,DVD,
"6-23-1992 / Phoenix, AZ / Mason Jar (unk video source)",AUD,FLAC,
"7-21-1992 / Hollywood, CA / Fairfax High School Gym - ANA(M)",AUD,FLAC,
"7-25-1992 / Hollywood, CA / Hollywood Palladium (unk)",AUD,FLAC,
"8-1-1992 / Phoenix, AZ / Mason Jar (unk video source)",AUD,FLAC,
"8-7-1992 / Costa Mesa, CA / Newport Roadhouse - ANA(1) (unk)",AUD,FLAC,
"8-18-1992 / Spokane, WA / Gatsby's (unk video source)",AUD,FLAC,
"8-18-1992 / Spokane, WA / Gatsby's Club - VHS(4) (unk)",AUD,DVD,
,,,
[1993],,,
"1-27-1993 / Frankfurt, Germany / Batschkapp",SBD,FLAC,*Possible this is actually 9-6-1993
"2-1-1993 / Oslo, Norway / Rockefeller (3rd gen)",SBD,FLAC,
"2-4-1993 / Berlin, Germany / The Loft",SBD,FLAC,
"2-4-1993 / Berlin, Germany / The Loft (3rd gen) (pesky pesky remaster)",SBD,FLAC,
"2-10-1993 / Cologne, Germany / Club Luxor",SBD,FLAC,
"2-11-1993 / Zurich, Switzerland / Electric Ballroom",SBD,FLAC,
"2-23-1993 / Newcastle, England / The Riverside",SBD,FLAC,
"4-19-1993 / Santa Clara, CA /  One Step Beyond (Sony ECM-909)",AUD,FLAC,
"4-19-1993 / Santa Clara, CA /  One Step Beyond *Sober 93'",AUD,FLAC,
"5-22-1993 / Nottingham, England / Rock City (unk video source)",AUD,FLAC,
"5-24-1993 / Glasgow, Scotland / Glasgow Barrowlands",SBD,FLAC,
"5-25-1993 / Manchester, England / Ritz",SBD,FLAC,
"5-27-1993 / Newcastle, England / Newcastle Mayfair (Realistics)",AUD,FLAC,
"5-27-1993 / Newcastle, England / Newcastle Mayfair (inc)",SBD,FLAC,
"5-28-1993 / London, England / Brixton Academy (Realistics)",AUD,FLAC,
"6-4-1993 / Amsterdam, Netherlands / Paradiso",SBD,FLAC,
"6-7-1993 / Paris, France / Le Zenith",SBD,FLAC,
"6-9-1993 / Zurich, Switzerland / Volkshaus ",SBD,FLAC,
"6-11-1993 / Geneve, Switzerland / Palladium (Aiwa CM30) (stephane d.)",AUD,FLAC,
"6-11-1993 / Geneve, Switzerland / Palladium",SBD,FLAC,
"6-18-1993 / Vancouver, BC / University of BC Fieldhouse (Lollapalooza) (inc)",SBD,FLAC,
"6-19-1993 / Seattle , WA / The Gorge (Lollapalooza)",SBD,FLAC,
"6-20-1993 / Portland, OR / Portland Meadows (Lollapalooza) (inc)",SBD,FLAC,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (Sony ECM-MS909)",AUD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) ",SBD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (Sony ECM 909)",AUD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (Sony ECM 909 > WM-D3)",AUD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheater (Lollapalooza) (Sony PC-62)",AUD,FLAC,
"6-26-1993 / Denver, CO / Fiddler's Green Amphitheatre (Lollapalooza)",SBD,FLAC,
"6-28-1993 / Des Moines, IA / Fairgrounds (Lollapalooza) - DAT(x)",SBD,FLAC,
"7-1-1993 / Maryland Heights, MO / Riverport Amphitheatre (Lollapalooza) (inc)",SBD,FLAC,
"7-2-1993 / Tinley Park, IL / World Music Amphitheatre (Lollapalooza) - SBD-M > ANA(2)",SBD,FLAC,
"7-6-1993 / Antioch, TN / Starwood Amphitheatre (Lollapalooza)",SBD,FLAC,
7-9-1993 / Milan MI / Milan Dragway (Lollapalooza) - CASS(M) (Aiwa CM30),AUD,FLAC,
"7-10-1993 / Barrie, Ontario / Molson Park (Lollapalooza) (unk)",AUD,FLAC,
"7-10-1993 / Barrie, Ontario / Molson Park (Lollapalooza)",SBD,FLAC,
"7-16-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza) - ANA(1) (Sony PC-62)",AUD,FLAC,
"7-16-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza)",SBD,FLAC,
"7-18-1993 / Philadelphia, PA / JFK Stadium Site (Lollapalooza) - DAT(M) (Schoeps MK4) (billydee)",AUD,FLAC,
"7-20-1993 / Charleston, WV /  Shenandoah Downs (Lollapalooza)",SBD,FLAC,
"7-23-1993 / Raleigh, NC / Walnut Creek Amphitheater (Lollapalooza)",SBD,FLAC,
"7-24-1993 / Charlotte, NC / Blockbuster Amphitheatre (Lollapalooza)",SBD,FLAC,
"7-25-1993 / Atlanta, GA / Lakewood Amphitheatre (Lollapalooza)",SBD,FLAC,
"7-30-1993 / New Orleans, LA / University of New Orleans (Lollapalooza)",SBD,FLAC,
"7-31-1993 / Houston, TX / Houston Raceway (Lollapalooza)",SBD,FLAC,
"8-1-1993 / Dallas, TX / Starplex Amphitheatre (Lollapalooza)",SBD,FLAC,
"8-4-1993 / Phoenix, AZ / Compton Terrace (Lollapalooza)",SBD,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza)",FM,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza) (WW1 FM Radio Broadcast ""Absolutely Live"")",Silver CD,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza) (WW1 FM Radio Broadcast ""Absolutely Live"")",Silver CD,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza) (unk) (WM-D3 Master) ",AUD,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza) - DAT(M) (unk) *Tool Looza Show",SBD,FLAC,
"8-7-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza) (unk)",AUD,FLAC,
