Tori Amos,Versions,,,,File Type
Drive - E,,,,,
,,,,,
,,,,,
[1991],,,,,
"7-3-1991 / Montreux, Switzerland / Montreux Jazz Festival",,,,,SHN
12-12-1991 / Toscas Sunderland (Radio show),FM,,,,FLAC
,,,,,
[1992],,,,,
"1-30-1992 / London, England / Shaw Theatre",AUD,,,,FLAC
"2-21-1992 / Sheffield, England / Sheffield University",AUD,,,,FLAC
"4-10-1992 / Manchester, England / Free Trade Hall",AUD,,,,FLAC
"4-20-1992 / New York City, NY / Bottom Line (Early and Late Shows",AUD,,,,FLAC
"4-25-1992 / Toronto, Ontario / Rivoli Tavern",AUD,,,,FLAC
"4-28-1992 / Cambridge, MA / Night Stage",AUD,,,,FLAC
"5-6-1992 / Ballard, WA / Backstage Tavern *A Kiss On the Glass",Silver CD,,,,FLAC
"6-7-1992 / Frankfurt, Germany / Alte Oper *Pieces of Me",Silver CD,,,,FLAC
6-16-1992 / BBC Radio 2 - Steve Wright in the Afternoon Show,FM,,,,FLAC
"7-7-1992 / Montreux, Switzerland / Montreux Jazz Festival *Live in Montreux 1992",Silver CD,2 sources,,,SHN
"8-16-1992 / West Palm Beach, FL / Carefree Theatre *Blooming",AUD,,,,FLAC
"8-24-1992 / Los Angeles, CA / Fonda Theatre",AUD,,,,FLAC
"8-28-1992 / Portland, OR / Roseland Theatre",AUD,,,,FLAC
"8-29-1992 / Seattle, WA / Moore Theatre *Me And A Piano",Silver CD,2 sources,,,FLAC
"9-2-1992 / San Francisco, CA / Palace of Fine Arts",AUD,,,,SHN
"9-4-1992 / San Juan Capistrano, CA / Coach House *After the Rain",Silver CD,,,,FLAC
"9-4-1992 / San Juan Capistrano, CA / *Years of Silence",Silver CD,,,,FLAC
"9-20-1992 / Charleston, WV / Mountain Stage",FM,,,,FLAC
"10-11-1992 / Red Bank, NJ / Count Basie Theatre",AUD,,,,FLAC
"10-25-1992 / Amherst, MA / Buckley Recital Hall",AUD,,,,FLAC
"10-28-1992 / Toronto, Ontario / Phoenix Concert Theatre",FM,4 sources,,,FLAC
"10-30-1992 / Detroit, MI / St Andrew's Hall",AUD,,,,FLAC
"11-8-1992 / Albany, NY / Page Hall *I Like Led Zeppelin and I Love the Stones (SC 52018)",Silver CD,,,,FLAC
"11-9-1992 / New Haven, CT / Toad's Place",AUD,,,,SHN
,,,,,
[1993],,,,,
"3-3-1993 / Chicago, IL / WKQX",Silver CD,,,,FLAC
,,,,,
[1994],,,,,
"2-5-1994 / London, England / Johnny Walker Show - Radio 1",FM,,,,FLAC
"2-10-1994 / San Francisco, CA / 105 Radio FM",FM,,,,FLAC
"2-10-1994 / San Francisco, CA / KFOG Studios - ANA(x) (wally breese) ",FM,,,,FLAC
"3-6-1994 / London, England *Her Majesty's Theatre",AUD,,,,FLAC
"3-13-1994 / Tokyo, Japan / HMV",UNK,,,,FLAC
"3-20-1994 / Seattle, WA / Meany Hall at the University of WA *Rhapsody In Pink",Silver CD,,,,FLAC
"3-20-1994 / Seattle, WA / Meany Hall at the University of WA",AUD,,,,FLAC
"3-22-1994 / Los Angeles, CA / Wadsworth Theatre - UCLA  *Space Doggin' Bruins",Silver CD,,,,FLAC
"3-24-1994 / Chicago, IL / Vic Theatre",AUD,,,,FLAC
"3-26-1994a / Toronto, Ontario / CFNY-FM Inteview and Performance",FM,,,,FLAC
"3-26-1994 / Toronto, Ontario / Convocation Hall",AUD,,,,FLAC
"3-29-1994 / New York City, NY / Symphony Space *Spirit in the Sky",Silver CD,,,,FLAC
"3-31-1994 / Cambridge, MA / *Dreaming",Silver CD,,,,FLAC
"4-1-1994 / Atlanta, GA / Cente Stage *Tori the Fox",Silver CD,,,,FLAC
"4-2-1994 / Montreal, Quebec / Olympic Theatre *Canadien Spring",Silver CD,,,,FLAC
4-9-1994 / Berlin / Trinitatiskrine Cathedral *Summertime,preFM,,,,SHN
"4-10-1994 / Hamburg, Germany / CCH2 *Under the Pink Tour 1994",Silver CD,,,,FLAC
"4-13-1994 / Dusseldorf, Germany / Robert Schumann Saal",AUD,,,,FLAC
"4-14-1994 / Stuttgart, Germany / Kleine Liedehalle",Silver CD,,,,FLAC
"4-18-1994 / Milan, Italy / *Live Storm",Silver CD,,,,FLAC
"4-18-1994 / Milan, Italy / *Milan 1994",Silver CD,,,,FLAC
"4-19-1994 / Rome, Italy / The Palladium *A Woman On A Mission",Silver CD,,,,FLAC
"4-20-1994 / New York, NY / Bottom Line (Early and Late Show)",AUD,,,,FLAC
"4-21-1994 / Portsmouth, UK / Guild Hall",AUD,,,,FLAC
"4-24-1994 / York, UK / Barbicon",AUD,,,,FLAC
4-26-1994 / Cardiff Wales / St. David Hall,AUD,,,,FLAC
"4-28-1994 / London, UK / The Palladium",AUD,,,,FLAC
"4-29-1994 / London, UK / The Palladium *Anything But Honey",Silver CD,,,,FLAC
"5-2-1994 / Wolverhampton, UK / Civic Hall *I Love Toffee Apples",Silver CD,,,,FLAC
"5-7-1994 / Maastricht, The Netherlands / Mecc",AUD,,,,FLAC
"6-15-1994 / New York, NY / Beacon Theater *Perfect Girl",AUD,,,,FLAC
"6-25-1994 / Portland, ME / State Theatre",AUD,,,,FLAC
"6-26-1994 / Burlington, VT / Flynn Theater",AUD,,,,FLAC
"7-2-1994 / Detroit, MI / State Theatre",AUD,,,,SHN
"7-4-1994 / Detroit, MI / State Theatre",AUD,,,,FLAC
"7-29-1994 / Raleigh, NC / Raleigh Memorial Auditorium *Childhood Memories",Silver CD,,,,FLAC
"8-3-1994 / Tampa, FL / Tampa Theatre *Anything But Honey",Silver CD,,,,FLAC
