Weezer,Versions,File Type,
Drive - C,,,
,,,
,,,
[1993],,,
"4-29-1993 / West Hollywood, CA / Club Dump - ANA(x) (unk) ",AUD,FLAC,
,,,
[1994],,,
"XX-XX-1994 / Atlanta, GA / Cat's Paw Studios - ANA(1) (ben jenkins)",FM,FLAC,
"7-8-1994 / Visalia, CA / Cody's (unk)",AUD,FLAC,
"7-27-1994 / Cleveland, OH / The Odeon - ANA(x) (unk) (qew transfer) ",AUD,FLAC 24,
"8-12-1994 / New Orleans, LA / Tipitina's - ANA(x) (unk) (matt hunter) ",AUD,FLAC,
"8-16-1994 / Boston, MA / Avalon (Sony ECM-909) (unk)",AUD,FLAC,
"8-18-1994 / New York, NY / Manhattan Center Ballroom - ANA(M) (Sony ECM-929) (scott simpson)",AUD,FLAC,
"8-31-1994 / St. Louis, MO / Otherworld",AUD,FLAC,
"8-31-1994 / St. Louis, MO / Otherworld *American Holiday",AUD,FLAC,
"9-9-1994 / Minneapolis, MN / First Avenue (unk)",AUD,FLAC,
"9-25-1994 / Boston, MA / Local 186 - ANA(M) (unk) (rocio aracelis)",AUD,FLAC,
"11-22-1994a / Lynn, MA / 101.7 WFNX",FM,FLAC,
12-XX-1994 / Modern Rock Live,FM,MP3,
"12-4-1994 / New Britain, CT / The Sting *Geezer (KTS-026A)",Silver CD,FLAC,
"12-5-1994 / New York, NY / Madison Square Garden",AUD,FLAC,
"12-5-1994 / New York, NY / Madison Square Garden *American Holiday",AUD,FLAC,
"12-11-1994 / Burbank, CA / Universal Amphitheatre / KROQ Acoustic X-mas - FM(M) (dubwise)",FM,FLAC,
,,,
[1995],,,
"1-XX-1995 / London, England / BBC Sessions",FM,FLAC,
"1-30-1995 / London, England / Splash Club",AUD,FLAC,
"2-5-1995 / Amsterdam, The Netherlands / Melkweg (unk)",AUD,FLAC,
"2-16-1995 / Frankfurt, Germany / Negativ (Sony TCD-D7 with Aiwa CM30) (colonelparker)",AUD,FLAC,
"2-18-1995 / Milan, Italy / The Factory",AUD,DVD,
"2-21-1995 / Paris, France / Maison de la Radio - Studio 105 (dimitroy)",FM,FLAC,
"2-26-1995 / London, England / The Underworld (unk)",AUD,FLAC,
"2-26-1995 / London, England / The Underworld *London Underworld",AUD,FLAC,
"3-18-1995 / Denver, CO / The Ogden",AUD,MP3,
"4-1-1995 / Atlanta, GA / Cat's Paw Studios (ben jenkins)",FM,FLAC,
"4-3-1995 / Atlanta, GA / Cat Paw Studios (99x Broadcast)",FM,FLAC,
"4-4-1995 / Dallas, TX / Trees (SS DSM6) (chris m.)",AUD,FLAC,
"6-24-1995 / Glastonbury, England / Glastonbury Festival - VHS(2) (graeme stevenson)",PRO,DVD,
"7-2-1995 / Roskilde, Denmark / Dyrskuepladsen - Roskilde Festival (willers archives #52)",AUD,FLAC,
"7-8-1995 / Hedemora, Sweden / Dalarock Festival - VHS(1) (travisbickle1963 transfer)",AUD,MKV,
