Wilco,Versions,,,,File Type,,
Drive - E,,,,,,,
,,,,,,,
,,,,,,,
[1994],,,,,,,
"11-17-1994 / St. Louis, MO / Cicero's",SBD,,,,FLAC,,
"11-21-1994 / Minneapolis, MN / 7th Street Entry - ANA(M?) (unk)",AUD,,,,FLAC,,
"11-23-1994 / Chicago, IL / Lounge Ax (unk)",AUD,,,,FLAC,,
"11-23-1994 / Chicago, IL / Lounge Ax (Shure VP88) (jeff s. master)",AUD,,,,FLAC,,
"11-23-1994 / Chicago, IL / Lounge Ax (Source 2) (CSB) (mr. pember master)",AUD,,,,FLAC,,
"12-16-1994 / New York, NY / Mercury Lounge (unk)",SBD,,,,FLAC,,
"12-23-1994 / St. Louis, MO / Mississippi Nights (CSB) (mrpember)",AUD,,,,FLAC,,
,,,,,,,
[1995],,,,,,,
"3-18-1995 / Austin, TX / SXSW Showcase (Sonic Studios) (markp)",AUD,,,,FLAC,*Also includes SXSW In-store performance at Waterloo Records,
"4-24-1995 / Ames, IA / People's Bar & Grill",SBD,,,,FLAC,,
"4-28-1995 / St. Louis, MO / Mississippi Nights",SBD,,,,FLAC,,
"5-12-1995 / Santa Monica, CA / Morning Becomes Eclectic - KCRW Studios (markp)",FM,,,,FLAC,,
"5-12-1995 / W. Hollywood, CA / Whisky A Go Go (Sonic Studios) (markp)",AUD,,,,FLAC,,
"5-13-1995 / Westwood, CA / Rhino Records - ANA(M) (Aiwa CM-30) (little guy)",AUD,,,,FLAC,,
"5-23-1995 / Boulder, CO / The Fox Theatre",SBD,,,,SHN,,
"5-23-1995 / Boulder, CO / The Fox Theatre",,,,,DVD,,
"5-25-1995 / Minneapolis, MN / First Avenue (unk)",AUD,,,,FLAC,,
"5-26-1995 / Minnapolis, MN / Let It Be Record Store (in-store perf)",AUD,,,,FLAC,,
"6-8-1995a / Philadelphia, PA / WMMR Studios",FM,,,,FLAC,,
"6-8-1995 / Philadelphia, PA / Theatre of Living Arts",AUD,,,,FLAC,,
"6-9-1995 / New York, NY / Tramps",AUD,,,,FLAC,,
"6-9-1995 / New York, NY / Tramps",AUD,,,,FLAC,,
"6-12-1995 / Washington, D.C. / 9:30 Club",SBD,,,,FLAC,,
"7-5-1995 / Cologne, Germany - MTC (unk) (bobfather)",AUD,,,,FLAC,,
"7-20-1995 / Nashville, TN / Dancing in the District",SBD,,,,FLAC,*Includes Soundcheck,
"7-20-1995 / Nashville, TN / Dancing in the District (kerouacaw 2022 transfer)",SBD,,,,FLAC,,
"7-28-1995 / Winston-Salem, NC / Ziggy's",AUD,,,,FLAC,,
"7-30-1995 / Charleston, WV / Mountain Stage *In Your Ear OR *Wilco Roger and Out",FM,SBD,,,FLAC,*Tracks 8-14,**Also includes 2-14-1997
"8-1-1995 / Richmond, VA / Flood Zone",SBD,,,,FLAC,*Also includes 8-1-1995 / WVGO Studios (Tracks 17-21),
"8-17-1995 / Cincinnati, OH / River Bend Music Center",SBD,,,,FLAC,,
"8-18-1995 / Chicago, IL / World Music Theater",SBD,,,,FLAC,,
"8-19-1995 / Milwaukee, WI / Marcus Amphitheater",SBD,,,,FLAC,,
"8-24-1995 / Philadelphia, PA / Mann Music Center",SBD,,,,FLAC,,
"8-27-1995 / Atlanta, GA / Lakewood Amphitheater",SBD,,,,FLAC,,
"8-30-1995 / Dallas, TX / Starplex Amphitheater",AUD,,,,FLAC,,
"9-3-1995 / Mountain View, CA / Shoreline Amphitheatre (unk) (neekrive)",AUD,,,,FLAC,,
"9-4-1995 / San Francisco, CA / Great American Music Hall (CSB) (tjcruz) ",AUD,,,,FLAC,,
"9-9-1995 / Minneapolis, MN / First Avenue",SBD,,,,FLAC,,
"9-10-1995 / Minneapolis, MN / First Avenue",SBD,,,,FLAC,,
"10-7-1995 / Columbia, MO / The Courtyard",SBD,2 sources,,,FLAC,,
"10-20-1995 / Winston-Salem, NC / Ziggy's",AUD,,,,FLAC,,
"10-25-1995 / Hoboken, NJ / Maxwell's",SBD,,,,FLAC,,
"10-25-1995 / Hoboken, NJ / Live at Maxwell's (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"10-26-1995a / New York, NY / Static Cable Radio Show (Prior to Irving show)",FM,,,,FLAC,,
"11-22-1995 / St. Louis, MO / American Theater",AUD,,,,FLAC,,
,,,,,,,
[1996],,,,,,,
"7-2-1996 / Milwaukee, WI / Henry Maier Festival Park - Summerfest (unk)",AUD,,,,FLAC,,
"7-4-1996 / Chicago, IL / Grant Park ",FM,,,,FLAC,,
"9-7-1996 / New York, NY / Irving Plaza",AUD,,,,FLAC,,
"10-31-1996 / Raleigh, NC / The Ritz - DAT(M) (unk) (blg mastering)",AUD,,,,FLAC,,
"11-5-1996 / Austin, TX / Liberty Lunch (Nugs.net)",SBD,,,,FLAC,Official Bootleg,
"11-5-1996 / Austin, TX / Liberty Lunch",SBD,,,,FLAC,,
"11-11-1996 / W. Hollywood, CA / The Troubadour",AUD,,,,FLAC,,
"11-12-1996 / W. Hollywood, CA / The Troubadour",preFM,,,,FLAC,,
"11-13-1996 / Santa Monica, CA / KCRW Studios - Morning Becomes Eclectic",FM,,,,FLAC,,
"11-14-1996 / San Francisco, CA / Great American Music Hall - DAT(M)",AUD,,,,FLAC,,
"11-15-1996 / San Francisco, CA / Great American Music Hall - DAT(M)",AUD,,,,FLAC,,
"12-2-1996 / New York, NY / Mercury Lounge",AUD,,,,FLAC,,
"12-6-1996 / Cologne, Germany / Luxor",AUD,,,,FLAC,,
"12-8-1996 / Berlin, Germany / Loft",AUD,,,,FLAC,,
"12-9-1996 / Hamburg, Germany / Knust",SBD,,,,FLAC,,
